Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
고효준,0.36,45,0,45,6,0,0,1,0,0,7,38.2,16,18,21.1,174,35,6,2,1,20,2,2,35,5,0,7,3.72,4.19,4.91,4.84,3.51,1.42,8.15,4.66,1.75,0.23,20.1,11.5,8.6,0.298,69.6,3.28,4.37,0.21,87.96,102.18,82.96,0.235,0.331,0.322,0.653,740,16.4,19.1,4.25,0,,0,,0,0,0,18,,0,0,,0,0,23,9,39.1,,,,,,10,1,7,0,7,1,0,1,87.5,0,3,1,0,11,9,34,14,41.2,23,9,39.1,0.86,16.44,1.09,0.36,0.298,114,51.3,4.3,41,45.3,3.4,1.1,1.9,5.7
서동민,0.32,20,0,20,2,0,0,1,1,0,5,21,6,11,10.65,86,13,3,0,3,11,1,0,19,2,0,3,2.57,4.71,4.56,4.37,4.99,1.14,8.14,4.71,1.73,1.29,22.1,12.8,9.3,0.192,66.7,3.39,4.28,-2.42,60.73,92.12,117.95,0.176,0.291,0.338,0.629,366,18.3,17.4,4.26,0,,0,,0,0,0,7,,0,0,,0,0,7,3,42.9,,,,,,6,1,6,0,5,0,0,0,100,0,1,0,0,6,1,10,3,30,7,3,42.9,1.05,18.3,1.12,0.32,0.192,52,29.1,9.1,58.2,67.3,3.6,0.4,8.1,7.7
박민호,0.17,22,0,22,11,0,0,1,1,1,4,22,10,10,12.75,101,26,2,0,3,11,2,1,12,0,0,0,4.09,4.09,5.22,5,5.88,1.68,4.91,4.5,1.09,1.23,11.9,10.9,1,0.315,82.9,4.36,5.28,-1.78,96.62,105.41,138.76,0.295,0.386,0.42,0.806,414,18.8,18.8,4.1,0,,0,,0,0,0,8,,0,0,,0,0,10,1,10,,,,,,3,0,2,1,4,1,0,1,83.3,0,0,1,0,3,5,5,4,80,10,1,10,1,18.82,0.93,0.17,0.315,73,42.1,1.3,53.9,55.3,2.6,0.8,7.1,0
박종훈,0.15,11,11,0,0,0,0,3,5,0,0,48,32,34,32.95,220,52,4,1,6,21,8,0,40,3,0,3,6,6.38,6.18,6.03,5.06,1.52,7.5,3.94,1.9,1.13,18.2,9.5,8.6,0.324,64.4,3.65,4.36,0.94,141.72,127.11,119.54,0.28,0.373,0.409,0.782,896,81.5,18.7,4.07,2,18.2,2,18.2,5,0,0,30,5.6,6,5,54.5,0,0,7,2,28.6,4.36,81.45,45,-0.7,0.15,0,0,0,0,0,0,0,0,,0,0,0,0,4,6,0,0,,7,2,28.6,,,,,0.324,142,55,3.3,39.1,42.4,2.6,1.3,9.4,11.5
문승원,-0.01,23,0,23,7,0,0,1,1,3,3,24.2,14,15,16.2,112,32,6,0,3,7,2,0,25,1,0,0,5.11,5.47,5.91,5.57,3.83,1.58,9.12,2.55,3.57,1.1,22.3,6.3,16.1,0.397,70.3,2.47,3.47,1.28,120.65,117.59,90.43,0.317,0.373,0.465,0.838,450,19.6,18.2,4.02,0,,0,,0,0,0,21,,0,0,,0,0,2,2,100,,,,,,3,0,6,3,3,0,0,0,100,0,0,0,0,9,5,7,4,57.1,2,2,100,1.07,19.57,1.22,-0.01,0.397,73,46.2,1.3,50,51.3,2.6,0.9,7.5,0
전영준,-0.01,4,1,3,1,0,0,0,0,0,0,5,4,4,4.2,25,7,2,0,2,3,1,0,7,0,0,1,7.2,7.2,7.56,7.21,7.52,2,12.6,5.4,2.33,3.6,28,12,16,0.417,87.5,2.84,3.48,-0.32,170.06,152.13,177.71,0.333,0.44,0.714,1.154,110,27.5,22,4.4,0,0,0,0,1,0,0,8,30.9,1,0,100,0,0,1,1,100,2.33,54,45,-0.02,0.02,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,1,1,100,1,1,100,0.89,18.67,0.05,-0.03,0.417,12,50,7.1,42.9,50,0,1,28.6,0
김주온,-0.02,5,0,5,4,0,0,0,0,0,0,4,5,5,3.45,20,3,1,0,1,5,0,0,4,0,0,0,11.25,11.25,7.76,7.23,8.13,2,9,11.25,0.8,2.25,20,25,-5,0.2,42.9,5.2,6,3.12,265.72,152.59,192.12,0.2,0.4,0.467,0.867,75,15,18.8,3.75,0,,0,,0,0,0,1,,0,0,,0,0,3,3,100,,,,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,3,3,100,0.8,15,0.1,-0.02,0.2,10,72.7,0,27.3,27.3,0,2.7,33.3,33.3
이건욱,-0.04,1,1,0,0,0,0,0,1,0,0,3,3,3,3,14,2,0,0,1,4,0,0,2,0,0,0,9,9,9,8.39,10.22,2,6,12,0.5,3,14.3,28.6,-14.3,0.143,60,6.32,7.11,-1.22,212.57,176.92,241.33,0.2,0.429,0.5,0.929,70,70,23.3,5,0,0,0,0,1,0,0,2,6,0,1,0,0,0,0,0,,3,70,41,-0.09,-0.04,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0,0,,,,,,0.143,7,50,0,50,50,0,1,25,0
박시후,-0.04,2,0,2,1,0,0,0,0,0,0,1,2,2,1.5,6,3,1,0,0,0,0,0,0,0,0,0,18,18,13.5,13.65,3.78,3,0,0,,0,0,0,0,0.5,33.3,3.89,5.4,14.22,425.14,288.04,89.38,0.5,0.5,0.667,1.167,22,11,22,3.67,0,,0,,0,0,0,0,,0,0,,0,0,2,1,50,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,1,50,0.5,11,0.02,-0.04,0.5,6,66.7,0,33.3,33.3,0,2,0,0
김건우,-0.06,2,1,1,1,0,0,0,0,0,0,3,3,3,3,17,5,1,0,1,4,0,0,1,0,0,0,9,9,9,8.77,11.05,3,3,12,0.25,3,5.9,23.5,-17.6,0.364,75,7.23,7.52,-2.05,212.57,185.05,261.01,0.385,0.529,0.692,1.221,62,31,20.7,3.65,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,2,46,31,-0.14,-0.1,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0,0,,1,16,0.01,0.04,0.364,11,33.3,8.3,58.3,66.7,0,0.5,12.5,0
신헌민,-0.07,1,0,1,1,0,0,0,0,0,0,1,1,2,2,5,3,0,0,0,0,0,0,1,0,0,0,9,18,18,17.54,1.28,3,9,0,,0,20,0,20,0.75,33.3,1.34,3,7.72,212.57,370.11,30.33,0.6,0.6,0.6,1.2,20,20,20,4,0,,0,,0,0,0,1,,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,20,0.05,-0.07,0.75,4,75,0,25,25,0,3,0,0
정성곤,-0.08,2,0,2,0,0,0,0,0,0,0,2.2,3,3,3.35,13,1,0,0,1,3,1,0,3,0,0,0,10.13,10.13,11.31,10.54,10.08,1.5,10.13,10.13,1,3.38,23.1,23.1,0,0,50,5.68,5.4,0.04,239.14,222.25,238.18,0.111,0.385,0.444,0.829,46,23,17.3,3.54,0,,0,,0,0,0,2,,0,0,,0,0,0,0,,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,1,1,100,0,0,,1.33,23,0.25,-0.08,0,5,50,0,50,50,0,1,33.3,0
조요한,-0.09,23,0,23,4,0,0,2,1,0,5,19.1,14,15,13.15,89,17,1,0,2,13,4,1,15,3,0,7,6.52,6.98,6.12,5.79,5.8,1.55,6.98,6.05,1.15,0.93,16.9,14.6,2.2,0.278,61.3,4.65,5.13,0.72,153.93,122.13,137.02,0.243,0.386,0.343,0.729,326,14.2,16.9,3.66,0,,0,,0,0,0,6,,0,0,,0,0,10,5,50,,,,,,7,0,3,0,5,2,0,2,71.4,0,1,1,0,5,3,9,1,11.1,10,5,50,0.84,14.17,1.46,-0.09,0.278,54,47.4,3.5,49.1,52.6,0,0.9,6.7,5.9
윤태현,-0.1,3,0,3,1,0,0,0,0,0,0,2,2,2,2.15,10,2,0,0,0,2,0,0,2,0,1,0,9,9,9.68,10.84,4.38,2,9,9,1,0,20,20,0,0.333,50,4.44,5.4,4.62,212.57,228.78,103.55,0.25,0.4,0.25,0.65,53,17.7,26.5,5.3,0,,0,,0,0,0,2,,0,0,,0,0,2,2,100,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,2,2,100,2,2,100,0.67,17.67,0.8,-0.1,0.333,6,66.7,0,33.3,33.3,0,2,0,0
신재영,-0.15,4,0,4,2,0,0,0,0,0,0,4.1,6,6,5.8,21,9,2,0,2,0,0,0,4,0,0,1,12.46,12.46,12.05,11.47,6.97,2.08,8.31,0,,4.15,19,0,19,0.467,50,1.58,3.11,5.49,294.33,242.03,164.6,0.429,0.429,0.81,1.239,81,20.3,18.7,3.86,0,,0,,0,0,0,2,,0,0,,0,0,1,1,100,,,,,,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,2,1,50,1,1,100,1.08,20.25,0.19,-0.15,0.467,15,47.1,11.8,35.3,47.1,5.9,1,25,11.1
김상수,-0.17,8,0,8,2,0,0,0,0,1,0,8,8,8,8,37,9,2,1,2,4,1,0,3,0,0,0,9,9,9,8.58,7.76,1.63,3.38,4.5,0.75,2.25,8.1,10.8,-2.7,0.269,54.5,4.91,5.72,1.24,212.57,180.94,183.26,0.31,0.389,0.655,1.044,161,20.1,20.1,4.35,0,,0,,0,0,0,2,,0,0,,0,0,0,0,,,,,,,1,0,1,1,0,0,0,0,100,0,0,0,0,1,0,2,0,0,0,0,,1,20.13,0.47,-0.17,0.269,26,34.5,6.9,55.2,62.1,3.4,0.6,11.1,11.1
노바,-0.27,12,12,0,0,0,0,3,4,0,0,63.2,46,50,49.15,291,78,10,2,5,25,5,0,32,8,1,9,6.5,7.07,6.95,6.98,4.92,1.62,4.52,3.53,1.28,0.71,11,8.6,2.4,0.329,57.4,4.07,5.11,1.58,153.59,147.28,116.27,0.304,0.374,0.416,0.79,1046,87.2,16.4,3.59,5,41.7,3,25,1,0,0,41,5.8,6,5,54.5,0,0,6,2,33.3,5.31,87.17,40.17,-1.4,-0.27,0,0,0,0,0,0,0,0,,0,0,0,0,4,7,0,0,,6,2,33.3,,,,,0.329,222,54.6,1.7,39.3,41,4.4,1.3,5.3,9
김태훈,-0.28,9,0,9,1,0,0,0,0,1,3,5.1,6,6,6.2,30,6,1,0,2,10,0,0,1,0,0,0,10.13,10.13,10.46,10.1,13.59,3,1.69,16.88,0.1,3.38,3.3,33.3,-30,0.235,76.9,9.29,9,-3.47,239.14,213.07,320.99,0.316,0.533,0.684,1.217,118,13.1,22.1,3.93,0,,0,,0,0,0,2,,0,0,,0,0,6,1,16.7,,,,,,3,1,0,1,3,0,0,0,100,0,2,0,0,1,3,3,1,33.3,6,1,16.7,0.59,13.11,1.05,-0.28,0.235,17,15.8,10.5,73.7,84.2,0,0.2,12.5,0
한두솔,-0.57,8,0,8,3,0,0,0,0,0,0,5.1,10,10,10.85,30,10,2,0,0,4,0,0,1,0,0,1,16.88,16.88,18.31,17.32,5.64,2.63,1.69,6.75,0.25,0,3.3,13.3,-10,0.4,28.6,5.76,6.6,11.23,398.57,365.3,133.22,0.4,0.467,0.48,0.947,107,13.4,20.1,3.57,0,,0,,0,0,0,2,,0,0,,0,0,4,2,50,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,1,3,4,4,100,4,2,50,0.67,13.38,0.62,-0.57,0.4,25,52,0,48,48,0,1.1,0,10
