Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD_1,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP_2,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
김강민,-0.02,1,0,1,1,0,0,0,0,0,0,0.2,1,1,1,4,1,0,0,1,1,0,0,1,0,0,0,13.5,13.5,13.5,12.73,22.52,3,13.5,13.5,1,13.5,25,25,0,0,100,4.84,5.4,-9.02,294.19,251.95,490.68,0.333,0.5,1.333,1.833,20,20,30,5,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,0.67,20,0,-0.02,0,1,0,0,100,100,0,0,50,0,,,,,,
정영일,-0.03,1,0,1,0,0,0,0,0,0,0,2,2,2,2,9,4,1,0,1,0,0,0,0,0,0,0,9,9,9,10.32,9.72,2,0,0,,4.5,0,0,0,0.375,66.7,3.91,5.4,-0.72,196.12,204.17,211.75,0.444,0.444,0.889,1.333,39,39,19.5,4.33,0,,0,,0,0,0,1,,0,0,,0,0,0,0,,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,2,39,0.01,-0.03,0.375,8,44.4,11.1,44.4,55.6,0,0.8,20,0,,,,,,
오원석,-0.07,33,21,12,2,0,0,7,6,0,2,110,72,84,84.35,530,125,20,3,11,73,10,1,95,8,1,2,5.89,6.87,6.9,6.91,5.14,1.8,7.77,5.97,1.3,0.9,17.9,13.8,4.2,0.335,64.2,4.04,4.9,0.75,128.37,136.65,111.94,0.283,0.393,0.417,0.81,2098,63.6,19.1,3.96,5,23.8,0,0,6,0,0,88,8.7,13,7,65,0,0,14,2,14.3,4.33,83.81,41.38,-2.04,-0.43,2,0,5,0,2,0,0,0,100,0,0,0,0,5,17,9,3,33.3,14,2,14.3,1.58,28.17,0.99,0.35,0.335,340,44.9,5.1,47.2,52.3,2.8,0.9,6,8,,,,,,
조병현,-0.1,3,3,0,0,0,0,0,0,0,0,6.2,6,7,7,33,7,3,0,1,5,1,0,8,0,0,1,8.1,9.45,9.45,9.21,5.34,1.8,10.8,6.75,1.6,1.35,24.2,15.2,9.1,0.333,50,3.63,4.31,2.76,176.51,182.24,116.41,0.259,0.394,0.481,0.875,148,49.3,22.2,4.48,0,0,0,0,3,0,0,1,1.4,0,1,0,0,0,2,0,0,2.22,49.33,44.33,-0.22,-0.1,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,0,0,,2,0,0,,,,,0.333,18,52.6,0,47.4,47.4,0,1.1,11.1,0,,,,,,
강지광,-0.14,1,0,1,1,0,0,0,0,0,0,1,4,4,4,10,3,0,0,0,4,0,0,1,0,0,0,36,36,36,32.96,13.67,7,9,36,0.25,0,10,40,-30,0.6,42.9,13.84,9,22.33,784.5,652.12,297.82,0.6,0.7,0.6,1.3,42,42,42,4.2,0,,0,,0,0,0,1,,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,42,0,-0.14,0.6,5,40,20,40,60,0,0.7,0,33.3,,,,,,
이채호,-0.16,3,0,3,1,0,0,0,0,0,0,5,4,7,7.7,27,8,0,0,2,3,0,0,3,1,0,1,7.2,12.6,13.86,12.92,8.89,2.2,5.4,5.4,1,3.6,11.1,11.1,0,0.316,50,4.24,5.4,-1.69,156.9,255.7,193.66,0.348,0.407,0.609,1.016,114,38,22.8,4.22,0,,0,,0,0,0,6,,0,0,,0,0,0,0,,,,,,,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,2,1,50,0,0,,1.67,38,0.03,-0.16,0.316,19,52.4,4.8,42.9,47.6,0,1.1,20,0,,,,,,
김세현,-0.17,5,0,5,1,0,0,0,0,0,0,4.1,5,5,5.85,28,9,2,0,0,7,0,1,5,0,1,0,10.38,10.38,12.15,11.46,5.17,3.69,10.39,14.54,0.71,0,17.9,25,-7.1,0.563,68.8,5.21,6.26,5.21,226.3,226.75,112.76,0.429,0.571,0.524,1.095,114,22.8,26.3,4.07,0,,0,,0,0,0,0,,0,0,,0,0,6,1,16.7,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,3,3,100,6,1,16.7,0.87,22.8,0.42,-0.17,0.563,16,81.3,0,18.8,18.8,0,4.3,0,11.1,,,,,,
양선률,-0.18,1,1,0,0,0,0,0,1,0,0,1,3,3,3,10,3,0,0,0,3,1,0,1,0,0,1,27,27,27,30.96,13.67,6,9,27,0.33,0,10,30,-20,0.6,57.1,13.84,7.8,13.33,588.37,612.51,297.82,0.5,0.7,0.5,1.2,52,52,52,5.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,52,33,-0.19,-0.18,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,2,0,0,,,,,0.6,5,40,0,60,60,0,0.7,0,0,,,,,,
이건욱,-0.36,5,4,1,1,0,0,0,1,0,0,12.2,16,16,15.5,72,16,4,0,4,19,1,0,5,0,0,0,11.37,11.37,11.01,10.9,11.43,2.76,3.55,13.5,0.26,2.84,6.9,26.4,-19.4,0.286,66.7,7.82,7.73,-0.06,247.74,215.67,249.14,0.333,0.507,0.667,1.174,284,56.8,22.4,3.94,0,0,0,0,2,0,0,5,4.1,1,3,25,0,0,5,1,20,2.75,62.75,30.5,-0.63,-0.43,0,0,1,0,0,0,0,0,,0,0,0,0,0,3,1,0,0,5,1,20,1.67,33,0.08,0.07,0.286,42,23.4,4.3,66,70.2,6.4,0.3,12.1,0,,,,,,
김정빈,-0.39,6,6,0,0,0,0,0,1,0,0,17.1,19,20,19.65,92,20,1,0,5,20,4,0,21,0,0,1,9.87,10.38,10.2,10.33,8.46,2.31,10.9,10.39,1.05,2.6,22.8,21.7,1.1,0.366,64.9,5.13,5.27,1.4,214.98,204.46,184.42,0.303,0.484,0.545,1.029,406,67.7,23.4,4.41,0,0,0,0,3,0,0,15,7.8,2,3,40,0,0,6,1,16.7,2.89,67.67,39.17,-0.7,-0.39,0,0,0,0,0,0,0,0,,0,0,0,0,1,5,0,0,,6,1,16.7,,,,,0.366,41,38.3,12.8,48.9,61.7,0,0.6,17.2,0,,,,,,
