Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
김강민,0,1,0,0,100,100,0,0,50,0
정동윤,0.167,6,33.3,0,50,50,16.7,0.7,0,100
김건우,0.206,34,40,11.4,42.9,54.3,5.7,0.7,5.3,0
박종훈,0.248,153,63.1,3.2,32.5,35.7,1.3,1.8,3.6,15
김주온,0.25,4,50,0,25,25,25,2,0,0
하재훈,0.259,58,31.1,1.6,60.7,62.3,6.6,0.5,2.6,0
문승원,0.26,158,46.3,5.6,45,50.6,3.1,0.9,1.2,4.8
서진용,0.268,179,40.6,4.7,52.6,57.3,2.1,0.7,8.2,1.8
폰트,0.271,376,42.2,6.8,49,55.8,2,0.8,5.4,2.6
신재웅,0.273,22,39.1,4.3,52.2,56.5,4.3,0.7,0,0
김택형,0.286,203,53.1,4.8,37.8,42.6,4.3,1.2,3.4,18
이건욱,0.286,42,23.4,4.3,66,70.2,6.4,0.3,12.1,0
정수민,0.295,95,46.5,2,48.5,50.5,3,0.9,11.8,8.8
이태양,0.296,331,37.1,7.8,51.5,59.3,3.6,0.6,11.7,3.3
김태훈,0.296,162,48.3,6.4,44.2,50.6,1.2,1,8,9.1
르위키,0.302,43,40,4.4,48.9,53.3,6.7,0.8,8.3,0
장지훈,0.304,257,55.2,2.2,39.6,41.8,3,1.3,5.4,7.1
박민호,0.307,137,41.3,4.9,51,55.9,2.8,0.7,3.8,2.2
최민준,0.309,265,45.2,3.9,47.3,51.3,3.6,0.9,7.7,7.5
서동민,0.314,70,34.2,7.9,48.7,56.6,9.2,0.6,11.6,7.4
조영우,0.315,203,40.6,5.1,51.2,56.2,3.2,0.7,8.2,5.4
이채호,0.316,19,52.4,4.8,42.9,47.6,0,1.1,20,0
김상수,0.33,185,42.9,3,50.5,53.5,3.5,0.8,9.4,9.9
조병현,0.333,18,52.6,0,47.4,47.4,0,1.1,11.1,0
오원석,0.335,340,44.9,5.1,47.2,52.3,2.8,0.9,6,8
가빌리오,0.343,236,51.8,0,44.5,44.5,3.7,1.2,6.4,8
김정빈,0.366,41,38.3,12.8,48.9,61.7,0,0.6,17.2,0
신재영,0.368,87,42.9,3.3,51.6,54.9,2.2,0.8,6,5.7
정영일,0.375,8,44.4,11.1,44.4,55.6,0,0.8,20,0
조요한,0.4,25,44,12,40,52,4,0.8,0,0
김세현,0.563,16,81.3,0,18.8,18.8,0,4.3,0,11.1
강지광,0.6,5,40,20,40,60,0,0.7,0,33.3
양선률,0.6,5,40,0,60,60,0,0.7,0,0
