Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
반즈,5.49,30,30,0,0,0,0,11,10,0,0,170.1,62,68,65.4,734,171,34,1,6,56,15,1,147,7,0,7,3.28,3.59,3.46,3.41,3.4,1.33,7.77,2.96,2.63,0.32,20,7.6,12.4,0.329,74.4,3.05,3.91,-0.13,75.97,70.54,78.92,0.263,0.334,0.347,0.681,2757,91.9,16.2,3.76,18,60,7,23.3,5,3,0,86,4.5,17,13,56.7,4,1,22,4,18.2,5.68,91.9,53.4,2.46,5.49,0,0,0,0,0,0,0,0,,0,0,0,0,16,11,0,0,,22,4,18.2,,,,,0.329,501,47.5,4.5,45,49.4,3.1,1,2.4,8.8,1076,1046,1177,1085,780,1177
박세웅,4.21,27,27,0,0,0,0,9,7,0,0,154,59,70,67.25,657,145,24,0,8,59,4,1,129,9,0,10,3.45,4.09,3.93,3.82,3.62,1.32,7.54,3.45,2.19,0.47,19.6,9,10.7,0.304,70.1,3.06,4.12,-0.17,79.96,79.17,83.98,0.248,0.32,0.33,0.65,2630,97.4,17.1,4,16,59.3,5,18.5,6,1,0,94,5.5,14,13,51.9,3,0,13,5,38.5,5.7,97.41,52.59,1.47,4.21,0,0,0,0,0,0,0,0,,0,0,0,0,14,11,0,0,,13,5,38.5,,,,,0.304,451,53.3,3.9,38.7,42.6,4.1,1.3,4,9.7,1076,1046,1177,1085,780,1177
나균안,3.34,23,23,0,0,0,0,6,8,0,0,130.1,55,61,58.75,569,140,27,3,8,42,5,1,114,4,0,6,3.8,4.21,4.06,3.96,3.51,1.4,7.87,2.9,2.71,0.55,20,7.4,12.7,0.335,71.6,2.85,3.88,0.29,88.07,82.11,81.42,0.276,0.332,0.389,0.721,2208,96,16.9,3.88,12,52.2,5,21.7,5,0,0,45,3.1,9,14,39.1,3,3,9,4,44.4,5.67,96,51.09,1.02,3.34,0,0,0,0,0,0,0,0,,0,0,0,0,9,12,0,0,,9,4,44.4,,,,,0.335,394,44.1,3.9,48.8,52.7,3.2,0.8,3.7,7.1,1076,1046,1177,1085,780,1177
윌커슨,2.92,13,13,0,0,0,0,7,2,0,0,79.2,20,28,27.5,327,67,15,2,3,20,2,0,81,5,1,3,2.26,3.16,3.11,3.04,2.61,1.09,9.15,2.26,4.05,0.34,24.8,6.1,18.7,0.296,71.8,2.23,3.16,-0.35,52.39,63.01,60.56,0.223,0.276,0.317,0.593,1296,99.7,16.3,3.96,11,84.6,3,23.1,1,2,0,52,5.9,9,4,69.2,0,0,1,1,100,6.13,99.69,59.54,1.51,2.92,0,0,0,0,0,0,0,0,,0,0,0,0,9,1,0,0,,1,1,100,,,,,0.296,216,43.8,6.3,46.4,52.7,3.6,0.8,2.5,7.5,1076,1046,1177,1085,780,1177
김상수,1.73,67,0,67,7,0,0,4,2,1,18,52,18,22,18.55,218,45,7,1,1,21,3,0,36,5,0,1,3.12,3.81,3.21,3.17,3.78,1.27,6.23,3.64,1.71,0.17,16.5,9.6,6.9,0.286,69.1,3.62,4.57,-0.66,72.24,65.58,87.61,0.238,0.321,0.302,0.623,905,13.5,17.4,4.15,0,,0,,0,0,0,27,,0,0,,0,0,30,13,43.3,,,,,,20,5,4,1,18,3,2,5,79.2,0,6,1,2,16,12,42,5,11.9,30,13,43.3,0.78,13.51,1.33,1.73,0.286,154,46.2,5.7,45.6,51.3,2.5,0.9,1.2,11.1,1076,1046,1177,1085,780,1177
최준용,1.66,47,0,47,4,0,0,2,3,0,14,47.2,13,15,15.35,210,50,6,0,2,18,1,1,40,2,0,1,2.45,2.83,2.9,2.83,3.42,1.43,7.55,3.4,2.22,0.38,19,8.6,10.5,0.327,81.8,3,4.14,-0.97,56.92,58.7,79.34,0.266,0.332,0.33,0.662,841,17.9,17.6,4,0,,0,,0,0,0,26,,0,0,,0,0,12,1,8.3,,,,,,15,2,14,0,14,4,1,5,73.7,0,1,1,0,13,11,20,2,10,12,1,8.3,1.01,17.89,1.05,1.66,0.327,147,39.1,4,51.7,55.6,5.3,0.7,2.4,4,1076,1046,1177,1085,780,1177
스트레일리,1.63,16,16,0,0,0,0,3,5,0,0,80.1,39,43,41.8,364,82,8,1,6,37,10,0,70,4,0,4,4.37,4.82,4.68,4.45,4.37,1.48,7.84,4.15,1.89,0.67,19.2,10.2,9.1,0.318,71.1,3.56,4.31,0,101.32,92.08,101.41,0.264,0.356,0.354,0.71,1465,91.6,18.2,4.02,4,25,1,6.3,6,0,0,54,6.1,6,10,37.5,1,1,7,2,28.6,5.02,91.56,48.75,0.2,1.63,0,0,0,0,0,0,0,0,,0,0,0,0,6,7,0,0,,7,2,28.6,,,,,0.318,239,41.3,9.3,44.1,53.4,5.3,0.8,4.5,2.4,1076,1046,1177,1085,780,1177
김원중,1.49,63,0,63,47,0,0,5,6,30,0,63.2,21,24,29.5,265,51,5,3,2,25,5,3,82,1,0,3,2.97,3.39,4.17,4.01,2.37,1.19,11.59,3.53,3.28,0.28,30.9,9.4,21.5,0.327,73.1,2.04,2.82,0.6,68.84,83.02,54.88,0.22,0.307,0.293,0.6,1084,17.2,17,4.09,0,,0,,0,0,0,13,,0,0,,0,0,7,3,42.9,,,,,,14,2,11,30,0,5,0,5,85.7,2,0,3,0,23,11,28,14,50,7,3,42.9,1.01,17.21,1.68,1.49,0.327,150,54.2,5.2,38.6,43.8,2,1.2,3,5.9,1076,1046,1177,1085,780,1177
심재민,1.19,29,6,23,6,1,0,3,1,0,6,45.2,15,18,19.8,202,49,5,0,2,16,1,1,28,4,0,1,2.96,3.55,3.9,3.77,3.92,1.42,5.52,3.15,1.75,0.39,13.9,7.9,5.9,0.311,76.2,3.47,4.69,-0.97,68.55,78.05,90.99,0.275,0.333,0.337,0.67,737,25.4,16.1,3.65,0,0,0,0,5,0,1,27,9.1,5,1,83.3,0,0,19,6,31.6,4.44,72.67,49.83,0.44,0.91,7,2,2,0,6,0,0,0,100,0,1,0,0,6,4,22,10,45.5,19,6,31.6,0.83,13.09,0.9,0.28,0.311,151,57.3,3.2,38.9,42,0.6,1.4,3,8.2,1076,1046,1177,1085,780,1177
구승민,0.98,67,0,67,8,0,0,2,6,3,22,63.2,28,32,32.85,289,65,8,0,4,29,5,0,66,2,0,2,3.96,4.52,4.64,4.53,3.66,1.48,9.33,4.1,2.28,0.57,22.8,10,12.8,0.345,72,2.98,3.86,0.3,91.79,93.88,84.89,0.264,0.352,0.346,0.698,1169,17.4,18.4,4.05,0,,0,,0,0,0,37,,0,0,,0,0,26,9,34.6,,,,,,15,3,9,3,22,5,1,6,80.6,0,4,2,0,26,19,33,11,33.3,26,9,34.6,0.95,17.45,1.59,0.98,0.345,177,47.1,5.3,44.4,49.7,3.2,0.9,4.3,7.7,1076,1046,1177,1085,780,1177
