Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
김태욱,0,3,0,0,100,100,0,0,0,
이민석,0,3,0,0,100,100,0,0,0,
박영완,0,1,100,0,0,0,0,,,
김강현,0.111,9,50,10,40,50,0,1,0,0
이진하,0.16,25,40,16,40,56,4,0.7,0,0
김상수,0.286,154,46.2,5.7,45.6,51.3,2.5,0.9,1.2,11.1
정성종,0.294,68,57.7,2.8,36.6,39.4,2.8,1.5,3.6,9.5
윌커슨,0.296,216,43.8,6.3,46.4,52.7,3.6,0.8,2.5,7.5
박세웅,0.304,451,53.3,3.9,38.7,42.6,4.1,1.3,4,9.7
석상호,0.308,13,42.9,7.1,42.9,50,7.1,0.9,0,0
심재민,0.311,151,57.3,3.2,38.9,42,0.6,1.4,3,8.2
김진욱,0.317,104,43.2,2.7,51.4,54.1,2.7,0.8,6.7,8.1
스트레일리,0.318,239,41.3,9.3,44.1,53.4,5.3,0.8,4.5,2.4
김도규,0.318,88,50,2.2,45.7,47.8,2.2,1,2.3,3.4
최준용,0.327,147,39.1,4,51.7,55.6,5.3,0.7,2.4,4
김원중,0.327,150,54.2,5.2,38.6,43.8,2,1.2,3,5.9
반즈,0.329,501,47.5,4.5,45,49.4,3.1,1,2.4,8.8
박진,0.333,18,30,15,55,70,0,0.4,7.1,0
우강훈,0.333,18,47.4,5.3,47.4,52.6,0,0.9,0,0
김창훈,0.333,15,46.7,6.7,46.7,53.3,0,0.9,0,0
장세진,0.333,3,60,0,40,40,0,1.5,50,0
나균안,0.335,394,44.1,3.9,48.8,52.7,3.2,0.8,3.7,7.1
한현희,0.335,334,39.8,6.1,50.1,56.2,4,0.7,5.6,9.8
구승민,0.345,177,47.1,5.3,44.4,49.7,3.2,0.9,4.3,7.7
신정락,0.346,81,37.2,4.7,54.7,59.3,3.5,0.6,7.8,6.3
최이준,0.36,100,37.3,7.8,51,58.8,3.9,0.6,1.7,2.7
진승현,0.372,86,42,8,47.7,55.7,2.3,0.8,4.1,5.9
이인복,0.392,130,55.8,2.2,38.4,40.6,3.6,1.4,5.4,14.8
최영환,0.395,38,48.7,7.7,38.5,46.2,5.1,1.1,0,6.7
윤명준,0.403,67,47.9,4.1,47.9,52.1,0,0.9,10.5,9.7
문경찬,0.429,7,60,0,40,40,0,1.5,75,0
이태연,0.478,23,45.8,4.2,50,54.2,0,0.8,7.7,8.3
나원탁,0.667,3,50,0,50,50,0,1,50,0
