Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
켈리,0.29,462,50.8,3.6,42.6,46.2,3,1.1,4.6,10.4
플럿코,0.256,438,34.9,6.8,55.4,62.2,2.9,0.6,4.6,8.8
이민호,0.333,397,45.6,4.1,48,52,2.4,0.9,6.5,4.8
김윤식,0.331,363,52.1,6.7,37.7,44.4,3.5,1.2,3,6.4
임찬규,0.319,323,43.2,4.7,48.8,53.6,3.3,0.8,5.5,8
이정용,0.273,183,34.7,9.5,52.6,62.1,3.2,0.6,2.5,3.8
정우영,0.27,167,72.4,1.2,23.5,24.7,2.9,2.9,7.1,10.4
최동환,0.256,156,34.6,10.5,53.1,63.6,1.9,0.5,4.9,6.7
김진성,0.253,150,37.7,10.1,50.3,60.4,1.9,0.6,6.3,13.6
고우석,0.24,129,49.3,6.5,42,48.6,2.2,1,9,8.1
진해수,0.295,129,49.6,6.8,40.6,47.4,3,1,1.6,12.8
이우찬,0.237,114,63.6,2.5,32.2,34.7,1.7,1.8,4.9,20.7
김대유,0.303,109,40.7,6.2,49.6,55.8,3.5,0.7,3.2,14.3
최성훈,0.229,96,58.4,0,37.6,37.6,4,1.6,2.6,4.3
임준형,0.37,92,53.6,6.2,40.2,46.4,0,1.2,4.4,8.3
송은범,0.296,88,58.1,2.2,35.5,37.6,4.3,1.5,8.6,6.9
배재준,0.253,87,37.9,5.7,54,59.8,2.3,0.6,0,4.5
손주영,0.256,39,46.2,0,48.7,48.7,5.1,0.9,0,0
이지강,0.324,37,40.5,0,59.5,59.5,0,0.7,0,0
백승현,0.351,37,47.5,7.5,42.5,50,2.5,1,10,13.3
함덕주,0.29,31,48.5,6.1,45.5,51.5,0,0.9,0,22.2
김영준,0.259,27,48.3,6.9,37.9,44.8,6.9,1.1,7.7,12.5
송승기,0.348,23,45.8,4.2,50,54.2,0,0.8,7.7,0
허준혁,0.444,18,42.9,0,57.1,57.1,0,0.8,25,9.1
강효종,0.385,13,71.4,7.1,21.4,28.6,0,2.5,0,0
오석주,0.25,12,53.8,7.7,38.5,46.2,0,1.2,16.7,0
조원태,0.091,11,63.6,0,36.4,36.4,0,1.8,0,0
채지선,0.143,7,71.4,0,28.6,28.6,0,2.5,0,0
김주완,0.333,3,75,0,25,25,0,3,0,0
