Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
오승환,3.55,45,7.36,2.83,2.6,0.38,19.4,7.5,11.9,0.302,81,2.64,2.64,3.29,2.94,3.55,3.17,3.97,-0.91,51.79,52.62,69.64,0.244,0.31,0.344,0.654,790,17.6,16.6,3.93
우규민,3.76,52,5.63,1.69,3.33,0.56,14.3,4.3,10,0.352,55.2,6.19,6.38,5.87,5.45,3.76,3.12,4.2,2.43,121.23,97.45,73.62,0.31,0.341,0.416,0.757,780,15,16.3,3.71
최채흥,4.1,26,7.58,3.14,2.41,0.74,19.9,8.3,11.7,0.282,70.9,3.58,4.13,3.99,3.75,4.1,3.23,4,-0.52,70.05,67.09,80.3,0.237,0.307,0.354,0.661,2516,96.8,17.2,4.08
최지광,4.16,51,9.14,6.29,1.45,0.41,22.6,15.6,7,0.283,67.7,4.87,4.87,5.12,4.69,4.16,3.71,4.56,0.71,95.46,83.91,81.55,0.218,0.351,0.288,0.639,781,15.3,17.6,3.92
뷰캐넌,4.36,27,6.24,2.58,2.42,0.82,16.6,6.9,9.8,0.297,76.3,3.45,3.66,3.58,3.3,4.36,3.37,4.23,-0.91,67.64,58.93,85.52,0.261,0.318,0.369,0.687,2819,104.4,16.1,3.87
라이블리,4.45,21,7.63,3.13,2.44,0.88,19.9,8.2,11.7,0.273,70.9,4.26,4.34,4.34,4.19,4.45,3.39,3.99,-0.2,83.44,74.93,87.28,0.233,0.313,0.355,0.668,1986,94.6,17.7,4.15
임현준,4.63,51,6.4,2.49,2.57,0.71,16.5,6.4,10.1,0.293,88.2,1.78,2.49,4.3,4.09,4.63,3.82,4.19,-2.85,34.8,73.16,90.65,0.261,0.343,0.359,0.702,419,8.2,16.5,3.84
홍정우,4.91,30,8.7,3.6,2.42,1.5,20.9,8.6,12.2,0.348,62.8,6.6,6.9,7.62,6.98,4.91,3.04,3.93,1.69,129.31,124.72,96.1,0.303,0.36,0.475,0.835,560,18.7,18.7,4.03
김윤수,5.06,61,6.36,4.81,1.32,0.93,15.4,11.7,3.8,0.328,71.1,4.66,5.28,6.18,5.79,5.06,3.94,4.95,-0.41,91.21,103.58,99.18,0.288,0.374,0.406,0.78,1006,16.5,17.3,3.78
양창섭,5.21,7,5.4,4.05,1.33,1.35,13.8,10.3,3.4,0.263,87.5,2.7,2.7,2.7,2.65,5.21,3.53,4.99,-2.51,52.9,47.46,102.08,0.25,0.333,0.417,0.75,105,15,15.8,3.62
