Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD_1,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP_2,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
노성호,0.52,45,0,45,7,0,0,2,3,0,10,36.1,18,23,21.6,166,28,5,0,3,29,2,1,34,3,0,7,4.46,5.7,5.35,5.11,5.28,1.57,8.42,7.18,1.17,0.74,20.5,17.5,3,0.258,65.5,4.42,5.04,-0.82,87.36,91.43,103.51,0.211,0.358,0.316,0.674,676,15,18.6,4.07,0,,0,,0,0,0,26,,0,0,,0,0,18,9,50,,,,,,8,1,3,0,10,0,0,0,100,0,1,0,0,6,10,15,9,60,18,9,50,0.81,15.02,0.91,0.52,0.258,97,33.7,5.9,60.4,66.3,0,0.5,4.5,0,,,,,,
우규민,0.5,52,0,52,17,0,0,3,3,7,11,48,33,34,31.3,210,61,10,1,3,9,1,1,30,0,0,0,6.19,6.38,5.87,5.45,3.76,1.46,5.63,1.69,3.33,0.56,14.3,4.3,10,0.352,55.2,3.12,4.2,2.43,121.23,97.45,73.62,0.31,0.341,0.416,0.757,780,15,16.3,3.71,0,,0,,0,0,0,12,,0,0,,0,0,15,12,80,,,,,,11,1,7,7,11,2,1,3,85.7,1,3,1,0,19,9,21,7,33.3,15,12,80,0.92,15,1.32,0.5,0.352,165,48.8,5.9,42.4,48.2,2.9,1,3.7,8.2,,,,,,
김윤수,0.42,61,0,61,14,0,0,3,5,0,12,58,30,34,39.85,266,66,9,0,6,31,1,3,41,3,0,7,4.66,5.28,6.18,5.79,5.06,1.67,6.36,4.81,1.32,0.93,15.4,11.7,3.8,0.328,71.1,3.94,4.95,-0.41,91.21,103.58,99.18,0.288,0.374,0.406,0.78,1006,16.5,17.3,3.78,0,,0,,0,0,0,31,,0,0,,0,0,19,5,26.3,,,,,,13,0,10,0,12,3,0,3,80,0,0,2,0,12,9,26,14,53.8,19,5,26.3,0.95,16.49,1.01,0.42,0.328,183,48.7,5.7,43.5,49.2,2.1,1,6.3,6.1,,,,,,
장필준,0.38,31,2,29,9,0,0,0,3,0,4,36,23,24,23.85,170,46,9,0,6,16,0,0,26,2,0,5,5.75,6,5.96,5.76,5.55,1.72,6.5,4,1.63,1.5,15.3,9.4,5.9,0.333,70.4,3.69,4.69,0.2,112.66,103.07,108.75,0.303,0.369,0.48,0.849,666,21.5,18.5,3.92,0,0,0,0,2,0,0,8,7.2,1,1,50,0,0,12,4,33.3,5,85,55,0.24,0.41,7,1,2,0,4,0,1,1,80,0,0,0,0,3,7,8,4,50,12,4,33.3,0.9,17.1,0.65,-0.04,0.333,120,46.1,9.4,43,52.3,1.6,0.9,9,6.5,,,,,,
백정현,0.32,11,11,0,0,0,0,4,4,0,0,59,34,43,43,258,67,15,2,13,17,1,0,46,4,0,1,5.19,6.56,6.56,6.56,5.61,1.42,7.02,2.59,2.71,1.98,17.8,6.6,11.2,0.3,62.7,3.11,4.05,-0.43,101.62,117.28,109.99,0.285,0.331,0.532,0.863,1047,95.2,17.7,4.06,3,27.3,1,9.1,2,0,0,39,5.9,5,6,45.5,0,0,1,0,0,5.36,95.18,45.09,-0.73,0.32,0,0,0,0,0,0,0,0,,0,0,0,0,4,7,0,0,,1,0,0,,,,,0.3,180,41.8,7.2,48.5,55.7,2.6,0.8,12,1.5,,,,,,
양창섭,0.23,7,0,7,4,0,0,0,0,0,0,6.2,2,2,2,29,6,1,0,1,3,0,1,4,0,0,0,2.7,2.7,2.7,2.65,5.21,1.35,5.4,4.05,1.33,1.35,13.8,10.3,3.4,0.263,87.5,3.53,4.99,-2.51,52.9,47.46,102.08,0.25,0.333,0.417,0.75,105,15,15.8,3.62,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,1,0,0,0,0,,0.95,15,0.55,0.23,0.263,19,50,4.5,45.5,50,0,1,9.1,33.3,,,,,,
이승민,0.19,7,5,2,2,0,0,1,3,0,0,26.1,20,21,20.5,128,34,5,0,5,19,0,1,16,1,0,0,6.84,7.18,7.01,6.7,6.97,2.01,5.47,6.49,0.84,1.71,12.5,14.8,-2.3,0.333,69.6,4.86,5.68,-0.14,133.92,119.87,136.61,0.315,0.417,0.5,0.917,497,71,18.9,3.88,1,20,0,0,2,0,0,14,5.4,1,4,20,0,0,4,1,25,4.67,87.2,41,-0.09,0.32,0,0,1,0,0,0,0,0,,0,0,0,0,1,4,0,0,,4,1,25,1.5,30.5,0.12,-0.13,0.333,87,33.3,4.3,59.1,63.4,3.2,0.5,8.5,5.9,,,,,,
윤성환,0.13,5,5,0,1,1,0,0,2,0,0,18.2,12,14,14,84,19,4,2,0,11,3,0,4,2,0,0,5.79,6.75,6.75,6.45,5.78,1.61,1.93,5.3,0.36,0,4.8,13.1,-8.3,0.288,57.6,5.91,6.4,0,113.36,115.29,113.33,0.279,0.393,0.397,0.79,331,66.2,17.7,3.94,0,0,0,0,2,0,0,5,2.4,1,4,20,0,0,2,0,0,3.73,66.2,43,-0.2,0.13,0,0,0,0,0,0,0,0,,0,0,0,0,2,3,0,0,,2,0,0,,,,,0.288,66,42.4,4.5,51.5,56.1,1.5,0.8,0,15.8,,,,,,
이상민,0.11,17,1,16,2,0,0,0,1,0,1,14,10,10,9.8,69,17,2,0,4,11,1,1,13,1,0,2,6.43,6.43,6.3,5.8,7.51,2,8.36,7.07,1.18,2.57,18.8,15.9,2.9,0.342,82.6,4.23,5.05,-1.08,125.95,103.68,147.13,0.309,0.433,0.564,0.997,266,15.6,19,3.86,0,0,0,0,1,0,0,5,22.5,0,1,0,0,0,9,4,44.4,2,46,48,0.02,0.06,3,1,2,0,1,0,0,0,100,0,0,0,0,2,5,6,4,66.7,9,4,44.4,0.75,13.75,0.97,0.05,0.342,38,40.9,0,59.1,59.1,0,0.7,15.4,5.9,,,,,,
홍원표,0.04,1,0,1,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,10.2,2,0,9,0,0,0,16.7,-16.7,0.25,100,10.32,7.4,-10.2,0,0,199.75,0.25,0.5,0.25,0.75,24,24,24,4,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,24,0.01,0.04,0.25,4,50,0,50,50,0,1,0,0,,,,,,
홍정우,0.03,30,0,30,13,0,0,0,0,0,1,30,22,23,25.4,139,37,4,1,5,12,1,0,29,2,0,1,6.6,6.9,7.62,6.98,4.91,1.63,8.7,3.6,2.42,1.5,20.9,8.6,12.2,0.348,62.8,3.04,3.93,1.69,129.31,124.72,96.1,0.303,0.36,0.475,0.835,560,18.7,18.7,4.03,0,,0,,0,0,0,5,,0,0,,0,0,2,1,50,,,,,,4,0,3,0,1,0,0,0,100,0,0,0,0,0,2,11,5,45.5,2,1,50,1,18.67,0.34,0.03,0.348,92,44.9,1,54.1,55.1,0,0.8,9.3,10.8,,,,,,
정인욱,0,5,0,5,5,0,0,0,0,0,0,5.1,5,5,5,26,5,0,0,1,4,1,0,3,0,0,0,8.44,8.44,8.44,7.62,7.73,1.69,5.06,6.75,0.75,1.69,11.5,15.4,-3.8,0.25,55.6,5.69,5.86,0.71,165.31,136.31,151.38,0.25,0.4,0.4,0.8,104,20.8,19.5,4,0,,0,,0,0,0,4,,0,0,,0,0,0,0,,,,,,,2,1,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,,1.07,20.8,0.03,0,0.25,16,11.1,27.8,61.1,88.9,0,0.1,6.3,20,,,,,,
심창민,-0.09,23,0,23,4,0,0,2,2,0,3,20.1,17,20,16.95,98,18,0,1,3,18,2,0,21,0,0,3,7.52,8.85,7.5,6.75,6.22,1.77,9.3,7.97,1.17,1.33,21.4,18.4,3.1,0.289,52.9,4.58,5.03,1.31,147.43,120.72,121.83,0.24,0.396,0.387,0.783,412,17.9,20.3,4.2,0,,0,,0,0,0,10,,0,0,,0,0,18,9,50,,,,,,4,0,4,0,3,1,0,1,75,0,1,0,0,7,6,10,2,20,18,9,50,0.88,17.91,1.24,-0.09,0.289,52,28.1,3.5,64.9,68.4,3.5,0.4,7.7,5.6,,,,,,
이재익,-0.39,4,0,4,1,0,0,0,0,0,0,0.2,10,11,8.95,13,8,3,0,2,2,0,0,1,1,0,0,99.99,99.99,120.83,109.42,45.25,15,13.5,27,0.5,27,7.7,15.4,-7.7,0.75,-14.3,10.12,6.32,89.75,2644.99,1956.4,886.47,0.727,0.769,1.545,2.314,54,13.5,81,4.15,0,,0,,0,0,0,0,,0,0,,0,0,4,4,100,,,,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,4,4,100,0.17,13.5,0.11,-0.39,0.75,8,40,0,60,60,0,0.7,33.3,0,,,,,,
권오준,-0.4,17,0,17,3,0,0,0,2,0,1,16,15,18,19.2,72,22,3,1,3,3,0,0,10,1,0,0,8.44,10.13,10.8,10.02,5.25,1.56,5.63,1.69,3.33,1.69,13.9,4.2,9.7,0.346,33.3,3.17,4.23,3.19,165.31,179.14,102.77,0.333,0.352,0.545,0.897,293,17.2,18.3,4.07,0,,0,,0,0,0,11,,0,0,,0,0,9,5,55.6,,,,,,2,0,4,0,1,0,0,0,100,0,0,0,0,1,4,15,8,53.3,9,5,55.6,0.94,17.24,0.54,-0.4,0.346,55,30.5,8.5,57.6,66.1,3.4,0.5,7.7,4.5,,,,,,
황동재,-0.53,1,0,1,0,0,0,0,0,0,0,1.1,8,8,7.65,16,8,2,0,1,4,0,0,3,0,0,0,54,54,51.64,45.75,16.6,9,20.25,27,0.75,6.75,18.8,25,-6.3,0.875,36.4,7.91,6.15,37.4,1058,817.92,325.14,0.727,0.75,1.182,1.932,50,50,37.5,3.13,0,,0,,0,0,0,0,,0,0,,0,0,3,1,33.3,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,,3,1,33.3,1.33,50,0.94,-0.53,0.875,8,44.4,0,55.6,55.6,0,0.8,20,0,,,,,,
장지훈,-0.71,29,0,29,9,0,0,0,1,0,0,27.2,31,37,35.8,146,39,4,0,7,21,3,0,24,3,0,5,10.08,12.04,11.65,10.53,7.53,2.17,7.81,6.83,1.14,2.28,16.4,14.4,2.1,0.356,49.1,4.66,5.15,2.56,197.58,188.32,147.46,0.331,0.434,0.542,0.976,606,20.9,21.9,4.15,0,,0,,0,0,0,13,,0,0,,0,0,8,4,50,,,,,,8,0,3,0,0,1,0,1,0,0,0,0,0,1,3,4,1,25,8,4,50,0.95,20.9,0.41,-0.71,0.356,90,32.7,9.2,56.1,65.3,2,0.5,10.9,5.1,,,,,,
