Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
이종준,0.52,27,0,27,13,0,0,1,2,0,1,26,12,13,12.65,119,26,5,0,4,16,0,0,28,1,0,1,4.15,4.5,4.38,4.5,5.25,1.62,9.69,5.54,1.75,1.39,23.5,13.4,10.1,0.314,80.6,3.5,4.19,-1.09,87.15,85.68,111.84,0.255,0.356,0.422,0.778,489,18.1,18.8,4.11,0,,0,,0,0,0,12,,0,0,,0,0,12,2,16.7,,,,,,2,0,5,0,1,0,0,0,100,0,0,0,0,2,5,6,1,16.7,12,2,16.7,0.96,18.11,0.42,0.52,0.314,70,53.3,6.7,36,42.7,4,1.3,12.5,3.8
함덕주,0.32,15,0,15,1,0,0,0,1,0,3,11.2,7,7,4.95,54,13,0,1,2,7,1,0,8,0,0,0,5.4,5.4,3.82,4.02,6.65,1.71,6.17,5.4,1.14,1.54,14.8,13,1.9,0.333,77.8,4.73,5.18,-1.25,113.3,76.56,141.8,0.302,0.412,0.488,0.9,205,13.7,17.6,3.8,0,,0,,0,0,0,5,,0,0,,0,0,11,4,36.4,,,,,,2,0,0,0,3,0,0,0,100,0,0,0,0,2,3,1,0,0,11,4,36.4,0.78,13.67,0.92,0.32,0.333,33,42.1,5.3,50,55.3,2.6,0.8,9.5,7.7
우강훈,0.27,13,0,13,5,0,0,1,0,0,0,11.2,3,5,5.2,54,11,1,0,0,6,5,0,10,0,0,2,2.31,3.86,4.01,4.11,4.98,1.46,7.71,4.63,1.67,0,18.5,11.1,7.4,0.333,77.3,5.05,4.51,-2.66,48.56,78.22,106.17,0.256,0.407,0.279,0.686,212,16.3,18.2,3.93,0,,0,,0,0,0,5,,0,0,,0,0,7,1,14.3,,,,,,1,0,1,0,0,0,0,0,,0,0,0,0,0,2,2,1,50,7,1,14.3,0.9,16.31,0.42,0.27,0.333,33,60.6,0,39.4,39.4,0,1.5,0,18.2
임준형,0.19,18,1,17,3,0,0,0,0,0,0,13.2,10,10,7.95,62,16,4,0,2,4,3,0,13,0,0,0,6.59,6.59,5.24,5.48,5.15,1.46,8.56,2.63,3.25,1.32,21,6.5,14.5,0.359,65,3.51,3.66,1.43,138.17,104.22,109.82,0.302,0.377,0.491,0.868,240,13.3,17.6,3.87,0,0,0,0,1,0,0,12,100,1,0,100,0,0,11,6,54.5,0.67,16,48,0.03,0.05,1,0,2,0,0,0,0,0,,0,0,0,0,1,2,9,2,22.2,11,6,54.5,0.76,13.18,0.4,0.14,0.359,39,50,2.4,45.2,47.6,2.4,1.1,10,6.3
진우영,0.12,6,0,6,6,0,0,0,0,0,0,7.2,4,4,4,35,8,3,0,1,4,0,0,6,0,0,2,4.7,4.7,4.7,4.89,5.41,1.57,7.04,4.7,1.5,1.17,17.1,11.4,5.7,0.292,72.7,4.04,4.71,-0.72,98.52,92.96,115.4,0.267,0.343,0.467,0.81,142,23.7,18.5,4.06,0,,0,,0,0,0,2,,0,0,,0,0,0,0,,,,,,,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,,1.28,23.67,0.02,0.12,0.292,24,12,4,80,84,4,0.1,4.8,0
김대현,0.11,37,0,37,8,0,0,2,0,1,1,35,21,21,25,155,33,6,1,6,18,2,0,30,0,0,5,5.4,5.4,6.43,6.56,5.87,1.46,7.71,4.63,1.67,1.54,19.4,11.6,7.7,0.273,71.1,3.95,4.47,-0.47,113.3,124.72,125.11,0.248,0.342,0.444,0.786,560,15.1,16,3.61,0,,0,,0,0,0,26,,0,0,,0,0,15,5,33.3,,,,,,8,0,8,1,1,2,0,2,50,0,0,1,0,5,7,33,13,39.4,15,5,33.3,0.95,15.14,0.79,0.11,0.273,99,33.3,4.8,58.1,62.9,3.8,0.5,9.1,12.1
윤호솔,0.11,7,0,7,2,0,0,0,0,0,0,4.1,2,2,1.65,24,4,0,0,0,8,0,0,5,0,0,0,4.15,4.15,3.43,3.44,7.04,2.77,10.39,16.62,0.63,0,20.8,33.3,-12.5,0.364,83.3,7.16,6.9,-2.88,87.15,65.41,150.05,0.25,0.5,0.25,0.75,109,15.6,25.2,4.54,0,,0,,0,0,0,5,,0,0,,0,0,6,1,16.7,,,,,,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,6,1,16.7,0.62,15.57,0.2,0.11,0.364,11,27.3,0,72.7,72.7,0,0.4,0,0
이지강,0.11,46,2,44,6,0,0,2,3,1,1,53.2,27,35,38.75,250,61,9,0,5,26,2,0,39,5,0,5,4.53,5.87,6.5,6.69,5.11,1.62,6.54,4.36,1.5,0.84,15.6,10.4,5.2,0.316,65.9,4.11,4.78,-0.58,95,127.21,108.92,0.28,0.357,0.39,0.747,973,21.2,18.1,3.89,0,0,0,0,1,0,0,18,27,1,1,50,0,0,28,10,35.7,3,58.5,38.5,-0.25,-0.15,11,0,15,1,1,1,1,2,50,0,0,1,0,7,17,30,16,53.3,28,10,35.7,1.08,19.45,0.95,0.25,0.316,177,46.4,6,43.2,49.2,4.4,0.9,5.6,8.2
정우영,0.09,27,0,27,2,0,0,2,1,0,3,22.2,12,15,15,108,31,6,0,0,11,6,0,17,1,0,3,4.76,5.96,5.96,6.38,4.65,1.85,6.75,4.37,1.55,0,15.7,10.2,5.6,0.425,68.8,4.72,4.73,0.12,99.97,121.43,99.13,0.344,0.449,0.411,0.86,389,14.4,17.2,3.6,0,,0,,0,0,0,23,,0,0,,0,0,14,7,50,,,,,,2,0,1,0,3,2,0,2,60,0,0,1,0,6,6,12,8,66.7,14,7,50,0.84,14.41,0.94,0.09,0.425,73,60.8,4.1,28.4,32.4,6.8,1.9,0,9.7
김진수,0.09,7,0,7,3,0,0,0,1,0,0,13.1,10,10,9.15,58,17,2,0,3,4,0,0,6,0,0,0,6.75,6.75,6.18,6.15,6.68,1.58,4.05,2.7,1.5,2.03,10.3,6.9,3.4,0.311,64.7,4.13,4.99,0.07,141.62,117.04,142.47,0.315,0.362,0.519,0.881,220,31.4,16.5,3.79,0,,0,,0,0,0,6,,0,0,,0,0,4,4,100,,,,,,1,0,4,0,0,0,0,0,,0,0,0,0,0,2,5,3,60,4,4,100,1.9,31.43,0.82,0.09,0.311,45,45.8,2.1,50,52.1,2.1,0.9,12,0
