Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
김원중,0.62,43,0,43,27,0,0,2,3,17,2,43,19,21,22.35,187,40,10,1,4,16,0,3,60,4,0,3,3.98,4.4,4.68,4.53,2.41,1.3,12.56,3.35,3.75,0.84,32.1,8.6,23.5,0.35,70,1.37,2.58,1.56,93.85,95.46,56.92,0.24,0.306,0.383,0.689,747,17.4,17.4,3.99,0,,0,,0,0,0,8,,0,0,,0,0,4,0,0,,,,,,9,2,5,17,2,3,0,3,86.4,1,0,1,0,17,6,12,3,25,4,0,0,1,17.37,1.6,0.62,0.35,103,51.4,3.6,39.6,43.2,5.4,1.2,8.3,7.5,1075,1045,1167,1063,766,1166
김진욱,0.11,14,12,2,1,0,0,2,5,0,0,46.2,33,36,33.25,227,43,8,1,3,35,8,1,52,1,0,4,6.36,6.94,6.41,6.26,4.55,1.67,10.03,6.75,1.49,0.58,22.9,15.4,7.5,0.32,61,3.86,4.5,1.81,150.2,132.04,107.46,0.244,0.386,0.352,0.738,904,64.6,19.4,3.98,2,16.7,1,8.3,3,0,0,16,3.2,5,7,41.7,0,0,13,6,46.2,3.81,73.5,46.08,-0.68,0.13,0,0,0,0,0,0,0,0,,0,0,0,0,4,7,1,0,0,13,6,46.2,0.5,11,0.03,-0.02,0.32,125,48.5,6.8,42.4,49.2,2.3,1,4.6,14,1075,1045,1167,1063,766,1166
김창훈,0.02,1,0,1,0,0,0,0,0,0,0,1.2,1,1,1,8,3,1,0,0,0,0,0,2,0,0,0,5.4,5.4,5.4,5.02,0.78,1.8,10.8,0,,0,25,0,25,0.5,66.7,0.95,2.4,4.62,127.44,105.9,18.51,0.375,0.375,0.5,0.875,30,30,18,3.75,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1.67,30,0,0.02,0.5,6,16.7,0,83.3,83.3,0,0.2,0,0,1075,1045,1167,1063,766,1166
이대호,0.01,1,0,1,0,0,0,0,0,0,1,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,,0,0,0,0,0,,3.78,5.4,-3.78,0,0,89.3,0,0,0,0,4,4,12,4,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,,0,0,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,,0,0,,0.33,4,,0.01,0,1,100,0,0,0,0,,,,1075,1045,1167,1063,766,1166
조무근,0.01,2,0,2,2,0,0,0,0,0,0,2,1,1,1.5,9,2,1,0,0,1,0,0,1,0,0,0,4.5,4.5,6.75,6.28,4.08,1.5,4.5,4.5,1,0,11.1,11.1,0,0.286,66.7,4.17,5.4,0.42,106.2,132.38,96.38,0.286,0.333,0.429,0.762,30,15,15,3.33,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,50,0,0,,1,15,0,0.01,0.286,7,57.1,14.3,28.6,42.9,0,1.3,0,50,1075,1045,1167,1063,766,1166
강윤구,-0.01,29,0,29,6,0,0,0,0,0,0,21.1,13,17,15.3,97,25,6,1,0,6,1,0,27,2,0,0,5.48,7.17,6.45,6.24,1.64,1.45,11.39,2.53,4.5,0,27.8,6.2,21.6,0.403,46.9,1.7,2.8,3.85,129.43,131.57,38.64,0.281,0.333,0.371,0.704,365,12.6,17.1,3.76,0,,0,,0,0,0,5,,0,0,,0,0,15,8,53.3,,,,,,5,0,3,0,0,0,0,0,,0,0,0,0,1,1,18,5,27.8,15,8,53.3,0.74,12.59,0.48,-0.01,0.403,62,55.6,1.6,38.1,39.7,4.8,1.4,0,12,1075,1045,1167,1063,766,1166
정성종,-0.03,5,0,5,4,0,0,0,0,0,0,4.1,2,4,4,21,4,1,0,0,4,0,0,5,1,0,0,4.15,8.31,8.31,7.73,3.76,1.85,10.39,8.31,1.25,0,23.8,19,4.8,0.333,50,3.8,4.83,0.39,98.03,162.93,88.76,0.235,0.381,0.294,0.675,89,17.8,20.5,4.24,0,,0,,0,0,0,0,,0,0,,0,0,2,0,0,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,6,0,0,2,0,0,0.87,17.8,0.08,-0.03,0.333,12,66.7,0,25,25,8.3,2.7,0,0,1075,1045,1167,1063,766,1166
김대우,-0.12,10,0,10,3,0,0,0,0,0,1,10,5,5,8.3,43,6,2,1,0,8,0,0,8,0,0,4,4.5,4.5,7.47,7.2,4.26,1.4,7.2,7.2,1,0,18.6,18.6,0,0.231,64.3,4.35,5.4,0.24,106.2,151.78,100.63,0.176,0.333,0.294,0.627,176,17.6,17.6,4.09,0,,0,,0,0,0,0,,0,0,,0,0,2,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231,26,33.3,7.4,51.9,59.3,7.4,0.6,0,0,1075,1045,1167,1063,766,1166
나원탁,-0.13,7,0,7,6,0,0,0,0,0,0,6,6,7,7,34,9,1,0,1,5,2,0,8,0,0,0,9,10.5,10.5,10.58,6.05,2.33,12,7.5,1.6,1.5,23.5,14.7,8.8,0.444,60,4.2,4.34,2.95,212.4,223.09,142.8,0.333,0.471,0.481,0.952,132,18.9,22,3.88,0,,0,,0,0,0,1,,0,0,,0,0,3,0,0,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,3,0,0,0.86,18.86,0.03,-0.13,0.444,18,15.8,5.3,73.7,78.9,5.3,0.2,6.7,0,1075,1045,1167,1063,766,1166
진명호,-0.14,16,0,16,4,0,0,0,0,0,0,16.1,11,12,12.9,80,23,4,0,1,9,2,0,11,1,0,1,6.06,6.61,7.11,7.1,4.92,1.96,6.06,4.96,1.22,0.55,13.8,11.3,2.5,0.4,66.7,4.3,5.1,1.14,143.04,149.63,116.04,0.343,0.436,0.448,0.884,294,18.4,18,3.68,0,,0,,0,0,0,5,,0,0,,0,0,9,4,44.4,,,,,,1,0,4,0,0,0,0,0,,0,0,0,0,1,2,12,5,41.7,9,4,44.4,1.02,18.38,0.53,-0.14,0.4,55,43.1,10.3,46.6,56.9,0,0.8,3,0,1075,1045,1167,1063,766,1166
이강준,-0.15,13,0,13,4,0,0,0,0,0,1,9.2,11,11,9.25,57,9,0,0,1,20,0,0,6,0,0,1,10.24,10.24,8.61,8.01,9.88,3,5.59,18.62,0.3,0.93,10.5,35.1,-24.6,0.267,64.3,8.69,8.35,0.36,241.69,168.9,233.1,0.243,0.509,0.324,0.833,252,19.4,26.1,4.42,0,,0,,0,0,0,12,,0,0,,0,0,14,6,42.9,,,,,,0,0,2,0,1,0,0,0,100,0,0,0,0,0,1,10,4,40,14,6,42.9,0.74,19.38,0.48,-0.15,0.267,30,74.2,0,22.6,22.6,3.2,3.3,14.3,11.1,1075,1045,1167,1063,766,1166
문경찬,-0.17,38,0,38,18,0,0,1,2,0,1,40.1,26,27,33.05,184,51,11,0,7,13,1,1,31,1,1,2,5.8,6.02,7.37,6.9,4.63,1.59,6.92,2.9,2.38,1.56,16.8,7.1,9.8,0.336,69.1,2.99,4.23,1.17,136.92,145.42,109.32,0.311,0.359,0.506,0.865,646,17,16,3.51,0,,0,,0,0,0,14,,0,0,,0,0,4,2,50,,,,,,7,0,10,0,1,1,0,1,50,0,1,1,0,1,2,27,13,48.1,4,2,50,1.06,17,0.33,-0.17,0.346,130,32.4,7.2,60.4,67.6,0,0.5,7.4,7.8,1075,1045,1167,1063,766,1166
진승현,-0.2,10,0,10,3,0,0,0,0,0,0,9,9,9,9.2,48,12,2,0,2,7,1,0,11,1,0,1,9,9,9.2,8.6,6.13,2.11,11,7,1.57,2,22.9,14.6,8.3,0.37,64.7,3.57,4.4,2.87,212.4,181.29,144.63,0.3,0.417,0.5,0.917,202,20.2,22.4,4.21,0,,0,,0,0,0,2,,0,0,,0,0,6,2,33.3,,,,,,1,0,2,0,0,0,0,0,,0,0,0,0,1,0,6,2,33.3,6,2,33.3,0.9,20.2,0.54,-0.2,0.37,27,41.4,0,51.7,51.7,6.9,0.8,13.3,0,1075,1045,1167,1063,766,1166
최영환,-0.2,1,1,0,0,0,0,0,1,0,0,2.2,6,6,5.5,18,8,2,0,0,1,1,0,1,0,0,0,20.25,20.25,18.56,17.27,5.17,3.38,3.38,3.38,1,0,5.6,5.6,0,0.533,40,5.35,5.4,15.08,477.89,364.05,122.05,0.533,0.556,0.667,1.223,60,60,22.5,3.33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,50,2.67,60,18,-0.25,-0.2,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,2,1,50,,,,,0.533,15,40,13.3,46.7,60,0,0.7,0,0,1075,1045,1167,1063,766,1166
이승헌,-0.21,1,1,0,0,0,0,0,1,0,0,0.2,4,4,4,8,3,2,0,0,3,0,0,1,0,0,1,54,54,54,50.24,13.98,9,13.5,40.5,0.33,0,12.5,37.5,-25,0.75,33.3,14.31,8.4,40.02,1274.38,1059.04,330.02,0.75,0.75,1.25,2,34,34,51,4.25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0.67,34,28,-0.23,-0.21,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,2,0,0,,,,,0.75,4,0,0,100,100,0,0,0,0,1075,1045,1167,1063,766,1166
김민기,-0.24,1,0,1,0,0,0,0,0,0,0,0.2,5,5,5.35,8,6,2,0,1,1,0,0,0,0,0,0,67.5,67.5,72.23,67.2,26.28,10.5,0,13.5,0,13.5,0,12.5,-12.5,0.833,33.3,8.84,6.9,41.22,1592.97,1416.47,620.3,0.857,0.875,1.571,2.446,23,23,34.5,2.88,0,,0,,0,0,0,0,,0,0,,0,0,1,1,100,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,2,100,1,1,100,0.67,23,0.06,-0.24,0.833,6,28.6,0,71.4,71.4,0,0.4,20,0,1075,1045,1167,1063,766,1166
최건,-0.3,5,0,5,1,0,0,0,0,0,0,2.1,6,8,6.45,20,7,3,0,0,6,0,0,3,0,0,0,23.14,30.86,24.88,23.65,8.54,5.57,11.57,23.14,0.5,0,15,30,-15,0.636,38.5,8.7,7.2,14.6,546.16,498.44,201.57,0.5,0.65,0.714,1.364,81,16.2,34.7,4.05,0,,0,,0,0,0,0,,0,0,,0,0,7,3,42.9,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,,7,3,42.9,0.47,16.2,0.3,-0.3,0.636,11,27.3,0,63.6,63.6,9.1,0.4,0,0,1075,1045,1167,1063,766,1166
이민석,-0.34,27,1,26,1,0,0,1,1,0,5,33.2,22,27,27.3,167,43,8,0,4,19,2,1,37,4,0,3,5.88,7.22,7.3,7,4.29,1.84,9.89,5.08,1.95,1.07,22.2,11.4,10.8,0.386,63.8,2.95,4.11,1.59,138.79,147.5,101.29,0.305,0.393,0.447,0.84,645,23.9,19.2,3.86,0,0,0,0,0,0,0,14,37.8,0,0,,0,0,17,8,47.1,3.33,81,31,-0.16,-0.1,3,0,8,0,5,0,0,0,100,0,0,0,0,5,7,14,9,64.3,17,8,47.1,1.17,21.69,0.8,-0.24,0.386,101,55,3.7,36.7,40.4,4.6,1.4,9.1,9.3,1075,1045,1167,1063,766,1166
김유영,-0.95,68,0,68,7,0,0,6,2,0,13,51,32,34,42.3,254,73,15,1,4,30,3,2,44,1,0,4,5.65,6,7.46,7.11,4.44,2.02,7.77,5.29,1.47,0.71,17.3,11.8,5.5,0.401,72,3.59,4.74,1.2,133.27,149.9,104.9,0.333,0.419,0.466,0.885,986,14.5,19.3,3.88,0,,0,,0,0,0,44,,0,0,,0,0,44,13,29.5,,,,,,19,2,10,0,13,2,0,2,86.7,0,2,0,0,15,14,58,28,48.3,44,13,29.5,0.75,14.5,1.24,-0.95,0.401,172,53.7,3.4,40.1,43.5,2.8,1.2,5.2,11,1075,1045,1167,1063,766,1166
