Name	BABIP	BIP	GB%	ifFB%	ofFB%	FB%	LD%	GB/FB	HR/FB%	if1B%
뷰캐넌	0.291	584	56	4.5	36.4	40.9	3	1.4	1.6	9.8
원태인	0.301	472	40.2	5.3	51.2	56.5	3.3	0.7	5.4	8.3
수아레즈	0.362	348	50.4	4.2	42.3	46.5	3.1	1.1	1.8	6.2
백정현	0.298	315	48.2	5.8	44.2	50	1.8	1	3.7	7
최채흥	0.346	234	38.3	5.3	53.1	58.4	3.3	0.7	6.3	7.8
이승현	0.317	199	40.1	5.8	52.2	58	1.9	0.7	4.2	7.4
김대우	0.309	191	40.9	9.4	47.3	56.7	2.5	0.7	6.1	9.1
오승환	0.254	189	47.8	4.9	46.3	51.2	1	0.9	8.7	8.8
김태훈	0.326	178	44.3	3.1	50	53.1	2.6	0.8	6.9	3.1
와이드너	0.343	169	46.6	6.3	45.4	51.7	1.7	0.9	3.3	9.8
우규민	0.354	147	33.6	9.9	54.6	64.5	2	0.5	3.1	7.3
이재익	0.326	132	58.7	3.6	37.7	41.3	0	1.4	5.3	10.9
이승현	0.289	121	51.1	8.4	38.2	46.6	2.3	1.1	9.8	9.8
홍정우	0.277	112	44.2	6.7	48.3	55	0.8	0.8	7.6	2.8
양창섭	0.362	105	35.7	7.1	54.5	61.6	2.7	0.6	10.1	4.4
황동재	0.347	98	34.3	6.7	55.2	61.9	3.8	0.6	9.2	7.5
장필준	0.377	69	35.2	8.5	52.1	60.6	4.2	0.6	4.7	0
이상민	0.492	61	54	1.6	44.4	46	0	1.2	6.9	12.5
최지광	0.26	50	40.7	9.3	48.1	57.4	1.9	0.7	12.9	0
이호성	0.213	47	44	0	52	52	4	0.8	3.8	9.1
노건우	0.432	44	29.8	2.1	61.7	63.8	6.4	0.5	10	4.5
허윤동	0.4	40	32.5	2.5	62.5	65	2.5	0.5	0	6.3
문용익	0.25	32	60.6	0	36.4	36.4	3	1.7	0	12.5
김서준	0.31	29	31	13.8	55.2	69	0	0.5	0	0
최하늘	0.444	27	36.7	3.3	60	63.3	0	0.6	10.5	7.1
최충연	0.28	25	48.3	6.9	44.8	51.7	0	0.9	20	0
이재희	0.136	22	47.8	0	52.2	52.2	0	0.9	8.3	0
홍원표	0.167	12	41.7	0	50	50	8.3	0.8	0	0
박권후	0.273	11	33.3	8.3	58.3	66.7	0	0.5	12.5	0
김시현	0.364	11	46.2	7.7	46.2	53.8	0	0.9	28.6	0
박세웅	0	1	50	0	50	50	0	1	100	0
