Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
양현종,0.33,506,42.6,5.7,48.1,53.8,3.6,0.8,4.6,7.8
가뇽,0.326,475,45.1,4.5,45.5,50,4.9,0.9,2.9,8
브룩스,0.302,420,66.9,2.6,29.1,31.7,1.4,2.1,2.9,16
임기영,0.354,395,42.6,6.6,47.7,54.3,3.2,0.8,5.4,3.3
이민우,0.336,351,45.4,5.5,45.1,50.5,4.1,0.9,5.9,8.5
고영창,0.381,223,54.3,3.5,39.6,43,2.6,1.3,3,6.8
김기훈,0.325,154,38,4.2,56,60.2,1.8,0.6,8,5.2
박준표,0.257,148,61.4,7.2,29.4,36.6,2,1.7,5.4,12.2
김현수,0.346,110,33.9,7.8,56.5,64.3,1.7,0.5,4.1,0
장현식,0.409,110,37.8,2.5,57.1,59.7,2.5,0.6,9.9,0
정해영,0.365,107,45.6,2.6,49.1,51.8,2.6,0.9,3.4,7.3
홍상삼,0.257,105,49.5,6.3,42.3,48.6,1.8,1,9.3,9.4
전상현,0.295,105,33.9,5.4,58.9,64.3,1.8,0.5,5.6,2.9
양승철,0.374,99,51.9,5.8,42.3,48.1,0,1.1,8,7.3
이준영,0.395,76,38.5,1.3,57.7,59,2.6,0.7,2.2,12.9
문경찬,0.333,69,28,8,61.3,69.3,2.7,0.4,11.5,10.3
박진태,0.371,62,31,7,59.2,66.2,2.8,0.5,19.1,0
남재현,0.333,57,37.3,10.2,50.8,61,1.7,0.6,2.8,10
김재열,0.351,57,41,6.6,52.5,59,0,0.7,8.3,4.3
김현준,0.383,47,38,4,56,60,2,0.6,6.7,0
서덕원,0.22,41,26.1,15.2,58.7,73.9,0,0.4,14.7,0
홍건희,0.242,33,45.9,2.7,48.6,51.4,2.7,0.9,15.8,0
김명찬,0.423,26,48.3,0,44.8,44.8,6.9,1.1,15.4,0
변시원,0.381,21,71.4,0,28.6,28.6,0,2.5,0,0
박정수,0.235,17,44.4,0,55.6,55.6,0,0.8,10,0
황인준,0.385,13,46.7,6.7,46.7,53.3,0,0.9,12.5,16.7
차명진,0.75,4,50,0,50,50,0,1,0,0
김승범,0.333,3,33.3,0,66.7,66.7,0,0.5,0,0
황윤호,0,1,0,100,0,100,0,0,0,
