name,GR,IP,ERA,W,L,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war
서진용,69,73,2.59,5,4,17,1,7,42,0,6,0,6,87.5,2,0,1,0,37,8,8,1,12.5,1,0,0,1.06,18.25,1.76,2.96
노경은,76,83,3.58,9,5,25,3,24,2,30,7,2,9,78,0,6,3,2,38,16,42,14,33.3,26,8,30.8,1.09,18.37,1.72,1.89
고효준,73,58,4.5,4,1,20,3,8,0,13,2,1,3,81.3,0,3,0,1,18,10,50,9,18,28,11,39.3,0.79,16.63,1.15,0.82
이건욱,26,34.2,1.56,1,0,4,0,10,0,0,0,0,0,,0,0,0,0,2,3,16,9,56.3,5,1,20,1.33,25.04,0.32,0.77
문승원,38,41.2,3.89,2,2,12,1,14,1,9,2,1,3,76.9,0,1,0,0,12,16,21,5,23.8,25,9,36,1.1,19.11,1.15,0.66
백승건,23,31.1,4.6,2,2,2,0,10,0,3,0,0,0,100,0,0,0,0,8,5,7,3,42.9,14,6,42.9,1.36,23.48,1.05,0.41
엘리아스,1,7,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,11,8,0,0,,2,2,100,7,81,0.69,0.4
최민준,53,60,4.2,5,3,12,2,16,1,7,3,2,5,61.5,0,1,0,2,11,15,26,12,46.2,20,4,20,1.13,19.34,1.3,0.35
박민호,10,10,0.9,0,0,1,0,3,0,0,0,0,0,,0,0,0,0,2,0,5,0,0,8,0,0,1,16.7,0.39,0.28
오원석,1,5.2,3.18,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,12,14,0,0,,10,7,70,5.67,90,1.03,0.22
송영진,8,11.2,3.86,0,0,0,0,3,0,0,0,0,0,,0,0,0,0,3,7,5,3,60,4,3,75,1.46,28.13,0.47,0.13
서동민,2,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,0,0,0.5,11.5,0.27,0.05
한두솔,1,1,9,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,26,0.06,-0.01
김주한,1,0,99.99,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,16,0.02,-0.02
이기순,2,3,9,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1.5,31.5,0.01,-0.03
신헌민,11,12,6,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,1,0,4,1,25,0,0,,1.09,21.55,0.14,-0.06
서상준,2,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,27.5,0.02,-0.06
이로운,50,57.2,5.62,6,1,9,1,15,0,5,1,0,1,83.3,0,0,0,0,8,7,19,7,36.8,13,4,30.8,1.15,22.14,0.6,-0.08
김주온,1,0.1,81,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,3,2,66.7,0.33,14,0,-0.11
임준섭,41,32.2,5.79,0,2,8,1,7,0,4,0,1,1,80,0,1,0,1,5,6,30,10,33.3,27,10,37,0.8,16.24,0.71,-0.21
박종훈,2,3,21,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,6,11,0,0,,13,1,7.7,1.5,42,0.48,-0.33
정성곤,6,4.1,10.38,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,1,3,2,66.7,3,1,33.3,0.72,20.33,0.16,-0.36
김광현,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,15,11,0,0,,8,4,50,,,,
조성훈,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,,0,0,,,,,
맥카티,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,13,7,0,0,,15,3,20,,,,
