Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
김동욱,0.22,37,0,37,11,0,0,2,1,0,3,36,20,20,23.45,146,33,9,1,4,6,2,1,18,1,0,1,5,5,5.86,6.22,4.96,1.08,4.5,1.5,3,1,12.3,4.1,8.2,0.254,60,3.76,4.41,0.04,106.39,120.07,107.27,0.246,0.285,0.418,0.703,569,15.4,15.8,3.9,0,,0,,0,0,0,17,,0,0,,0,0,4,1,25,,,,,,12,0,4,0,3,1,0,1,75,0,0,0,0,5,7,13,8,61.5,4,1,25,0.97,15.38,0.75,0.22,0.254,114,41.7,3.3,51.7,55,3.3,0.8,6.1,6.1,889,957,1013,1098,822,1028
양지율,0.16,21,0,21,2,0,0,0,2,0,3,18.2,13,13,11.3,83,16,4,0,1,13,2,0,7,0,0,0,6.27,6.27,5.45,5.92,6.39,1.55,3.38,6.27,0.54,0.48,8.4,15.7,-7.2,0.25,60,5.87,6.27,-0.12,133.37,114.3,138.19,0.235,0.373,0.338,0.711,345,16.4,18.5,4.16,0,,0,,0,0,0,17,,0,0,,0,0,8,4,50,,,,,,4,1,3,0,3,1,0,1,75,0,0,0,0,5,4,7,1,14.3,8,4,50,0.89,16.43,0.84,0.16,0.25,60,45.9,6.6,45.9,52.5,1.6,0.9,3.1,12.5,889,957,1013,1098,822,1028
박승주,0.1,15,0,15,6,0,0,0,1,0,0,17.1,13,13,11.95,74,16,2,0,2,9,1,0,13,0,0,3,6.75,6.75,6.2,6.56,5.49,1.44,6.75,4.67,1.44,1.04,17.6,12.2,5.4,0.298,56.5,4.25,4.75,1.26,143.63,126.63,118.63,0.262,0.361,0.393,0.754,308,20.5,17.8,4.16,0,,0,,0,0,0,6,,0,0,,0,0,3,3,100,,,,,,2,0,2,0,0,0,0,0,,0,0,0,0,1,1,2,1,50,3,3,100,1.16,20.53,0.25,0.1,0.298,47,31.4,3.9,64.7,68.6,0,0.5,5.7,6.3,889,957,1013,1098,822,1028
원종현,0.1,4,0,4,0,0,0,0,0,0,0,3.2,2,2,2,18,4,1,0,0,3,0,0,4,0,0,2,4.91,4.91,4.91,4.45,4.01,1.91,9.82,7.36,1.33,0,22.2,16.7,5.6,0.364,71.4,4.06,4.73,0.9,104.46,85.88,86.68,0.267,0.389,0.333,0.722,58,14.5,15.8,3.22,0,,0,,0,0,0,1,,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,1,0,0,0,0,,0.92,14.5,1.66,0.1,0.364,11,54.5,0,27.3,27.3,18.2,2,0,0,889,957,1013,1098,822,1028
박윤성,0.09,17,0,17,7,0,0,0,0,0,1,18.2,12,12,13.4,81,14,5,0,5,9,0,0,14,2,0,2,5.79,5.79,6.46,6.62,7.01,1.23,6.75,4.34,1.56,2.41,17.3,11.1,6.2,0.173,68.8,3.95,4.66,-1.22,123.11,127.81,151.51,0.2,0.288,0.486,0.774,301,17.7,16.1,3.72,0,,0,,0,0,0,13,,0,0,,0,0,3,1,33.3,,,,,,0,0,4,0,1,0,0,0,100,0,0,0,0,0,1,6,3,50,3,1,33.3,1.1,17.71,0.37,0.09,0.173,52,25.9,5.2,60.3,65.5,8.6,0.4,13.2,7.1,889,957,1013,1098,822,1028
정찬헌,0.03,4,4,0,0,0,0,0,2,0,0,16,14,14,13.3,74,26,5,0,3,3,1,0,5,0,0,0,7.88,7.88,7.48,7.26,6.42,1.81,2.81,1.69,1.67,1.69,6.8,4.1,2.7,0.371,61.5,4.34,5.08,1.45,167.57,139.99,138.92,0.371,0.405,0.571,0.976,240,60,15,3.24,0,0,0,0,2,0,0,12,6.8,0,4,0,0,0,1,1,100,4,60,36,-0.25,0.03,0,0,0,0,0,0,0,0,,0,0,0,0,1,2,0,0,,1,1,100,,,,,0.371,62,43.1,1.5,52.3,53.8,3.1,0.8,8.6,7.7,889,957,1013,1098,822,1028
윤정현,-0.02,2,0,2,2,0,0,0,0,0,0,3,3,3,3,15,4,0,0,0,2,0,0,1,0,0,0,9,9,9,9.41,5.43,2,3,6,0.5,0,6.7,13.3,-6.7,0.333,50,5.59,6.2,3.57,191.51,181.57,117.48,0.308,0.4,0.308,0.708,62,31,20.7,4.13,0,,0,,0,0,0,3,,0,0,,0,0,0,0,,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1.5,31,0.02,-0.02,0.333,12,33.3,0,58.3,58.3,8.3,0.6,0,0,889,957,1013,1098,822,1028
김동규,-0.07,2,0,2,1,0,0,0,0,0,0,0.1,2,2,1.3,4,1,1,0,0,2,0,0,0,0,0,0,54,54,35.1,32.69,22.8,9,0,54,0,0,0,50,-50,0.5,33.3,23,11.4,31.2,1149.05,630.68,493.02,0.5,0.75,1,1.75,15,7.5,45,3.75,0,,0,,0,0,0,0,,0,0,,0,0,2,2,100,,,,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,2,1,50,2,2,100,0.17,7.5,0.61,-0.07,0.5,2,50,0,50,50,0,1,0,0,889,957,1013,1098,822,1028
문성현,-0.09,42,0,42,12,0,0,1,2,3,2,38.1,28,28,29.55,189,54,6,2,3,25,2,0,31,1,0,2,6.57,6.57,6.94,7.26,5.29,2.06,7.28,5.87,1.24,0.7,16.4,13.2,3.2,0.402,68.8,4.48,5.02,1.28,139.89,139.98,114.44,0.342,0.431,0.462,0.893,751,17.9,19.6,3.97,0,,0,,0,0,0,18,,0,0,,0,0,19,6,31.6,,,,,,11,1,5,3,2,0,1,1,83.3,0,0,0,0,7,4,17,8,47.1,19,6,31.6,0.91,17.88,0.66,-0.09,0.402,127,39.7,3.1,51.9,55,5.3,0.7,4.2,5.6,889,957,1013,1098,822,1028
김연주,-0.11,34,0,34,11,0,0,1,1,0,1,31.1,23,24,24.5,148,34,10,0,5,17,5,1,18,0,0,2,6.61,6.89,7.04,7.43,6.74,1.63,5.17,4.88,1.06,1.44,12.2,11.5,0.7,0.282,65.3,4.97,5.32,-0.13,140.58,143.31,145.74,0.272,0.378,0.472,0.85,576,16.9,18.4,3.89,0,,0,,0,0,0,13,,0,0,,0,0,6,3,50,,,,,,9,1,1,0,1,2,1,3,25,0,0,1,0,4,5,12,4,33.3,6,3,50,0.92,16.94,0.63,-0.11,0.282,103,38,2.8,55.6,58.3,3.7,0.7,7.9,5.9,889,957,1013,1098,822,1028
손현기,-0.11,6,2,4,2,0,0,0,1,0,0,14.1,12,14,13.3,69,17,3,1,2,8,3,0,9,0,0,3,7.53,8.79,8.35,8.66,6.67,1.74,5.65,5.02,1.13,1.26,13,11.6,1.4,0.319,56,5.13,5.23,0.87,160.33,167.05,144.21,0.298,0.406,0.491,0.897,269,44.8,18.8,3.9,0,0,0,0,1,0,0,13,14.6,1,1,50,0,0,1,1,100,4,72.5,42,-0.08,0.06,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2,0,0,,1,1,100,1.58,31,0.41,-0.17,0.319,47,40.8,6.1,46.9,53.1,6.1,0.8,7.7,0,889,957,1013,1098,822,1028
이종민,-0.12,12,9,3,0,0,0,1,8,0,0,43.2,37,39,36.1,212,56,10,2,9,22,5,2,21,2,1,0,7.63,8.04,7.44,7.72,7.22,1.79,4.33,4.53,0.95,1.86,9.9,10.4,-0.5,0.305,62.9,4.91,5.46,0.4,162.27,148.91,156.23,0.313,0.393,0.542,0.935,754,62.8,17.3,3.56,0,0,0,0,4,0,0,7,1.8,1,8,11.1,0,0,11,7,63.6,3.96,66.56,37.89,-0.79,-0.15,0,0,3,0,0,0,0,0,,0,0,0,0,2,7,1,1,100,11,7,63.6,2.67,51.67,1.06,0.03,0.305,154,37.2,7.3,50.6,57.9,4.9,0.6,9.5,7.1,889,957,1013,1098,822,1028
박범준,-0.19,5,0,5,3,0,0,0,1,0,0,5.1,8,8,7.3,28,7,2,0,1,4,1,0,8,0,0,2,13.5,13.5,12.32,11.88,5.59,2.06,13.5,6.75,2,1.69,28.6,14.3,14.3,0.429,36.4,3.49,3.69,7.91,287.26,229.19,120.81,0.333,0.429,0.571,1,119,23.8,22.3,4.25,0,,0,,0,0,0,10,,0,0,,0,0,1,1,100,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,,1,1,100,1.07,23.8,0.48,-0.19,0.429,14,26.7,0,73.3,73.3,0,0.4,9.1,0,889,957,1013,1098,822,1028
이명종,-0.3,10,0,10,7,0,0,0,1,0,0,11,10,10,13.3,58,20,2,0,4,5,0,1,4,1,0,1,8.18,8.18,10.88,11.51,8.74,2.27,3.27,4.09,0.8,3.27,6.9,8.6,-1.7,0.364,78.9,4.6,5.61,-0.56,174.1,222.03,189.1,0.408,0.439,0.694,1.133,219,21.9,19.9,3.78,0,,0,,0,0,0,3,,0,0,,0,0,0,0,,,,,,,1,0,3,0,0,0,0,0,,0,0,0,0,0,1,7,6,85.7,0,0,,1.1,21.9,0.31,-0.3,0.364,44,38.8,2,59.2,61.2,0,0.6,13.3,0,889,957,1013,1098,822,1028
전준표,-0.35,18,5,13,4,0,0,2,4,0,0,27.2,21,28,27,144,35,4,0,4,20,5,0,18,4,0,4,6.83,9.11,8.78,8.93,7.09,1.99,5.86,6.51,0.9,1.3,12.5,13.9,-1.4,0.32,59.3,5.48,5.57,-0.26,145.36,172.22,153.41,0.294,0.417,0.429,0.846,570,31.7,20.6,3.96,0,0,0,0,3,0,0,13,7.2,0,5,0,0,0,14,6,42.9,3.27,67.8,39.2,-0.4,-0.11,1,0,2,0,0,0,0,0,,0,0,0,0,1,7,6,4,66.7,14,6,42.9,0.87,17.77,0.72,-0.24,0.32,97,50.5,5,40.6,45.5,4,1.1,8.7,5.7,889,957,1013,1098,822,1028
오석주,-0.5,17,0,17,7,0,0,1,1,0,0,17,21,21,20.15,92,28,4,1,0,11,3,1,16,1,0,2,11.12,11.12,10.67,11.22,4.4,2.29,8.47,5.82,1.45,0,17.4,12,5.4,0.459,50,4.53,4.75,6.72,236.57,216.42,95.13,0.368,0.462,0.447,0.909,343,20.2,20.2,3.73,0,,0,,0,0,0,9,,0,0,,0,0,7,4,57.1,,,,,,2,0,2,0,0,0,0,0,,0,0,0,0,1,3,3,2,66.7,7,4,57.1,1,20.18,0.45,-0.5,0.459,61,43.5,4.8,51.6,56.5,0,0.8,0,10.7,889,957,1013,1098,822,1028
조영건,-0.55,25,3,22,3,0,0,2,1,0,1,39.1,35,39,35.55,197,51,10,1,7,24,1,0,31,3,0,3,8.01,8.92,8.13,8.83,6.01,1.91,7.09,5.49,1.29,1.6,15.7,12.2,3.6,0.326,56.1,4.34,4.97,1.99,170.41,170.28,130.06,0.304,0.388,0.5,0.888,734,29.4,18.7,3.73,0,0,0,0,0,0,0,23,16.3,1,2,33.3,0,0,11,9,81.8,4.22,70,32.33,-0.58,-0.36,4,0,7,0,1,1,0,1,50,0,0,0,0,4,6,15,4,26.7,11,9,81.8,1.21,23.82,0.84,-0.19,0.336,134,36.2,6.4,53.9,60.3,3.5,0.6,8.2,3.9,889,957,1013,1098,822,1028
윤석원,-0.66,11,1,10,3,0,0,0,1,0,0,17.1,22,24,24.2,88,31,11,0,3,7,2,0,1,2,1,3,11.42,12.46,12.57,12.91,7.72,2.19,0.52,3.64,0.14,1.56,1.1,8,-6.8,0.378,44.4,5.85,6.22,3.7,243.07,249.15,167.03,0.413,0.46,0.68,1.14,321,29.2,18.5,3.65,0,0,0,0,1,0,0,4,15.4,0,1,0,0,0,5,4,80,2.33,49,48,0.07,0.12,2,0,3,0,0,0,0,0,,0,0,0,0,1,3,4,4,100,5,4,80,1.5,27.2,0.37,-0.78,0.378,74,31.6,5.1,55.7,60.8,7.6,0.5,6.3,3.2,889,957,1013,1098,822,1028
김동혁,-0.72,17,0,17,8,0,0,0,2,0,0,22.1,17,21,23.75,102,27,5,1,7,10,2,0,9,1,0,0,6.85,8.46,9.57,9.86,8.59,1.66,3.63,4.03,0.9,2.82,8.8,9.8,-1,0.274,62.1,5,5.52,-1.74,145.78,190.18,185.7,0.318,0.386,0.647,1.033,418,24.6,18.7,4.1,0,,0,,0,0,0,10,,0,0,,0,0,0,0,,,,,,,1,0,7,0,0,0,0,0,,0,0,0,0,1,7,11,5,45.5,0,0,,1.31,24.59,1.01,-0.72,0.274,73,35.8,6.2,53.1,59.3,4.9,0.6,14.6,7.4,889,957,1013,1098,822,1028
