Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD_1,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP_2,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
박정수,0.48,3,3,0,0,0,0,3,0,0,0,16,7,7,7,69,16,4,0,2,8,1,0,11,0,0,0,3.94,3.94,3.94,3.74,5.28,1.5,6.19,4.5,1.38,1.13,15.9,11.6,4.3,0.298,81.8,3.88,4.88,-1.34,85.98,74.06,115.28,0.267,0.362,0.433,0.795,299,99.7,18.7,4.33,0,0,0,0,2,0,0,20,11.3,3,0,100,0,0,0,0,,5.33,99.67,49.67,0.2,0.48,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,,0,0,,,,,,0.298,47,46.9,4.1,44.9,49,4.1,1,8.3,6.3,,,,,,
문경찬,0.47,35,0,35,8,0,0,0,1,0,4,31,17,20,16.75,142,25,6,0,6,20,0,1,25,4,0,1,4.94,5.81,4.86,4.7,6.05,1.45,7.26,5.81,1.25,1.74,17.6,14.1,3.5,0.211,67.6,3.87,4.98,-1.12,107.77,93.12,132.2,0.207,0.319,0.405,0.724,531,15.2,17.1,3.74,0,,0,,0,0,0,16,,0,0,,0,0,13,7,53.8,,,,,,6,0,2,0,4,0,1,1,80,0,1,0,0,4,4,8,1,12.5,13,7,53.8,0.89,15.17,0.73,0.47,0.211,90,30.9,6.2,60.8,67,2.1,0.5,9.2,4,,,,,,
임창민,0.46,46,0,46,4,0,0,0,3,0,17,40.1,17,23,23.05,178,35,8,0,2,20,4,1,29,3,0,7,3.79,5.13,5.14,5.04,4.33,1.36,6.47,4.46,1.45,0.45,16.3,11.2,5.1,0.273,64.3,3.83,4.79,-0.53,82.83,99.92,94.49,0.235,0.335,0.329,0.664,719,15.6,17.8,4.04,0,,0,,0,0,0,32,,0,0,,0,0,17,9,52.9,,,,,,9,1,5,0,17,3,0,3,85,0,3,1,0,16,8,28,10,35.7,17,9,52.9,0.88,15.63,1.43,0.46,0.273,121,43.2,4.8,45.6,50.4,6.4,0.9,3.2,2.9,,,,,,
박진우,0.38,9,0,9,5,0,0,0,0,0,1,11,2,2,2.35,44,6,2,0,0,5,1,0,12,0,0,1,1.64,1.64,1.92,1.82,2.73,1,9.82,4.09,2.4,0,27.3,11.4,15.9,0.231,83.3,2.79,3.49,-1.09,35.73,36.14,59.62,0.162,0.273,0.216,0.489,196,21.8,17.8,4.45,0,,0,,0,0,0,3,,0,0,,0,0,3,0,0,,,,,,1,0,3,0,1,0,0,0,100,0,0,0,0,0,0,4,1,25,3,0,0,1.22,21.78,0.28,0.38,0.231,26,53.8,0,46.2,46.2,0,1.2,0,0,,,,,,
김태경,0.32,7,3,4,2,0,0,0,0,0,0,15,8,8,6.45,63,11,4,0,1,9,1,0,10,0,0,1,4.8,4.8,3.87,3.94,4.96,1.33,6,5.4,1.11,0.6,15.9,14.3,1.6,0.238,65,4.26,5.21,-0.16,104.81,78.12,108.31,0.208,0.333,0.34,0.673,286,40.9,19.1,4.54,0,0,0,0,2,0,0,11,9.9,0,2,0,0,0,5,3,60,3.33,63,45.33,-0.02,0.16,0,0,1,0,0,0,0,0,,0,0,0,0,1,1,0,0,,5,3,60,1.25,24.25,0.02,0.16,0.238,42,41.9,4.7,51.2,55.8,2.3,0.8,4.2,0,,,,,,
배민서,0.26,32,2,30,11,0,0,1,0,0,0,40,22,26,26.7,187,51,6,0,3,17,4,0,23,2,0,3,4.95,5.85,6.01,5.99,4.85,1.7,5.18,3.83,1.35,0.68,12.3,9.1,3.2,0.348,67.6,4.04,5.01,0.1,108.09,118.67,105.89,0.317,0.389,0.41,0.799,718,22.4,18,3.84,0,0,0,0,2,0,0,17,35.3,2,0,100,0,0,8,1,12.5,2.17,48.5,49.5,0.2,0.28,6,0,9,0,0,0,0,0,,0,0,0,0,4,2,12,2,16.7,8,1,12.5,1.19,20.7,0.37,-0.02,0.348,138,53.8,1.4,39.9,41.3,4.9,1.3,5.1,7.8,,,,,,
강태경,0.15,3,3,0,0,0,0,0,1,0,0,12.2,8,8,8,61,13,3,0,2,10,2,0,10,1,0,2,5.68,5.68,5.68,5.52,6.61,1.82,7.11,7.11,1,1.42,16.4,16.4,0,0.306,77.3,4.83,5.4,-0.92,124.12,109.45,144.32,0.277,0.417,0.468,0.885,241,80.3,19,3.95,1,33.3,0,0,2,0,0,3,2.1,0,2,0,0,0,2,0,0,4.22,80.33,44.67,-0.08,0.15,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,,2,0,0,,,,,0.306,36,41,2.6,53.8,56.4,2.6,0.7,9.1,23.1,,,,,,
노시훈,0.13,5,0,5,1,0,0,0,0,0,0,4.2,2,2,1.5,22,4,1,0,1,4,0,0,2,0,0,0,3.86,3.86,2.89,2.85,7.9,1.71,3.86,7.71,0.5,1.93,9.1,18.2,-9.1,0.2,85.7,5.44,6.49,-4.05,84.23,56.45,172.56,0.222,0.364,0.444,0.808,92,18.4,19.7,4.18,0,,0,,0,0,0,0,,0,0,,0,0,5,1,20,,,,,,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,5,1,20,0.93,18.4,0.25,0.13,0.2,15,56.3,6.3,37.5,43.8,0,1.3,14.3,25,,,,,,
원종현,0.13,61,0,61,33,0,0,2,2,14,6,53,25,27,34,245,67,9,0,5,23,3,2,45,3,0,4,4.25,4.58,5.77,5.64,4.17,1.7,7.64,3.91,1.96,0.85,18.4,9.4,9,0.376,76.7,3.14,4.32,0.07,92.7,111.79,91.07,0.315,0.386,0.427,0.813,904,14.8,17.1,3.69,0,,0,,0,0,0,14,,0,0,,0,0,11,2,18.2,,,,,,14,2,1,14,6,7,0,7,74.1,1,2,3,0,14,16,25,15,60,11,2,18.2,0.87,14.82,1.65,0.13,0.376,165,48.3,7.5,40.2,47.7,4,1,6,9,,,,,,
이우석,0.1,10,0,10,3,0,0,1,0,0,0,9.2,6,6,6,49,13,4,0,1,7,3,0,8,0,0,0,5.59,5.59,5.59,5.29,6.14,2.07,7.45,6.52,1.14,0.93,16.3,14.3,2,0.4,77.3,5.01,5.16,-0.55,121.98,104.86,133.98,0.342,0.469,0.526,0.995,193,19.3,20,3.94,0,,0,,0,0,0,4,,0,0,,0,0,4,0,0,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,4,0,0,0.97,19.3,0.23,0.1,0.4,30,35.5,3.2,54.8,58.1,6.5,0.6,5.6,7.7,,,,,,
