Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD_1,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP_2,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
이승헌,0.73,8,8,0,0,0,0,3,2,0,0,36.2,19,25,21.7,157,34,2,1,1,11,2,1,34,3,1,2,4.66,6.14,5.33,5.01,3.02,1.23,8.35,2.7,3.09,0.25,21.7,7,14.6,0.311,47.8,2.76,3.64,1.65,92.99,91.14,60.14,0.241,0.305,0.291,0.596,651,81.4,17.8,4.15,2,25,1,12.5,3,0,0,31,7.6,3,5,37.5,0,0,6,6,100,4.58,81.38,49.13,0.08,0.73,0,0,0,0,0,0,0,0,,0,0,0,0,2,4,0,0,,6,6,100,,,,,0.311,106,60,3.6,31.8,35.5,4.5,1.7,2.6,11.8,,,,,,
이인복,0.69,47,1,46,9,0,0,1,4,0,2,45.1,20,22,26.3,199,57,9,0,2,12,1,1,21,3,0,2,3.97,4.37,5.22,5.03,4.18,1.52,4.17,2.38,1.75,0.4,10.6,6,4.5,0.346,71.6,3.74,4.86,-0.21,79.17,91.45,83.4,0.315,0.359,0.398,0.757,681,14.5,15,3.42,0,0,0,0,1,0,0,17,100,0,1,0,0,0,17,4,23.5,1,25,47,-0.03,-0.01,4,0,8,0,2,1,1,2,50,0,2,1,1,4,9,26,11,42.3,17,4,23.5,0.96,14.26,0.67,0.7,0.346,159,61.8,3,31.5,34.5,3.6,1.8,3.5,12.3,,,,,,
최준용,0.53,31,0,31,9,0,0,0,2,0,8,29.2,16,16,16.05,130,31,7,1,3,11,2,4,26,0,0,3,4.85,4.85,4.87,4.79,3.95,1.42,7.89,3.34,2.36,0.91,20,8.5,11.5,0.326,70,2.86,4.02,0.91,96.78,87.08,78.72,0.27,0.344,0.426,0.77,482,15.5,16.2,3.71,0,,0,,0,0,0,21,,0,0,,0,0,9,4,44.4,,,,,,5,0,4,0,8,0,0,0,100,0,1,0,0,7,8,8,3,37.5,9,4,44.4,0.96,15.55,1.03,0.53,0.326,86,36.3,6.6,53.8,60.4,3.3,0.6,5.5,9.7,,,,,,
박진형,0.32,53,0,53,3,0,0,1,4,0,17,42.2,27,27,27.85,194,56,15,2,7,13,4,2,50,0,0,3,5.7,5.7,5.87,5.69,4.18,1.62,10.55,2.74,3.85,1.48,25.8,6.7,19.1,0.412,73,2.33,3.11,1.52,113.56,103.46,83.35,0.32,0.378,0.549,0.927,802,15.1,18.8,4.13,0,,0,,0,0,0,20,,0,0,,0,0,21,6,28.6,,,,,,14,2,2,0,17,3,3,6,73.9,0,2,1,1,19,14,22,7,31.8,21,6,28.6,0.81,15.13,1.43,0.32,0.412,119,45.7,4.7,48,52.8,1.6,0.9,10.4,12.5,,,,,,
김유영,0.17,12,0,12,5,0,0,0,0,0,0,7.1,4,4,3.35,31,4,0,0,0,7,0,2,5,0,0,1,4.91,4.91,4.11,4.19,5.25,1.5,6.14,8.59,0.71,0,16.1,22.6,-6.5,0.211,63.6,5.29,6.17,-0.34,97.88,76.26,104.67,0.167,0.355,0.167,0.522,109,9.1,14.9,3.52,0,,0,,0,0,0,5,,0,0,,0,0,5,3,60,,,,,,6,2,0,0,0,0,0,0,,0,0,0,0,1,2,9,2,22.2,5,3,60,0.61,9.08,0.7,0.17,0.211,19,73.7,0,26.3,26.3,0,2.8,0,25,,,,,,
한승혁,0.14,9,0,9,1,0,0,1,0,0,0,7,4,4,3.5,31,8,1,0,0,4,0,0,3,0,0,0,5.14,5.14,4.5,4.31,4.7,1.71,3.86,5.14,0.75,0,9.7,12.9,-3.2,0.333,66.7,4.79,5.79,0.45,102.54,78.35,93.61,0.296,0.387,0.333,0.72,124,13.8,17.7,4,0,,0,,0,0,0,7,,0,0,,0,0,6,2,33.3,,,,,,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,4,1,25,6,2,33.3,0.78,13.78,0.27,0.14,0.333,24,50,8.3,33.3,41.7,8.3,1.2,0,0,,,,,,
진명호,0.1,37,0,37,7,0,0,0,1,0,2,31.1,25,25,23.3,146,29,5,1,3,22,2,0,32,2,0,1,7.18,7.18,6.69,6.49,4.96,1.63,9.19,6.32,1.45,0.86,21.9,15.1,6.8,0.302,57.1,3.92,4.58,2.23,143.18,118.12,98.81,0.242,0.366,0.375,0.741,562,15.2,17.9,3.85,0,,0,,0,0,0,17,,0,0,,0,0,11,8,72.7,,,,,,9,1,2,0,2,1,1,2,50,0,1,0,0,2,6,10,4,40,11,8,72.7,0.85,15.19,0.56,0.1,0.302,86,45.6,6.7,47.8,54.4,0,0.8,6.1,3.4,,,,,,
송승준,0.06,22,1,21,4,0,0,2,2,0,1,24.2,17,17,18.05,119,30,5,2,2,14,3,2,25,1,0,3,6.2,6.2,6.59,6.47,4.31,1.78,9.12,5.11,1.79,0.73,21,11.8,9.2,0.384,68.2,3.44,4.29,1.89,123.67,117.8,85.96,0.303,0.402,0.455,0.857,457,20.8,18.5,3.84,0,0,0,0,0,0,0,13,100,0,1,0,0,0,14,3,21.4,0.33,22,25,-0.29,-0.28,2,0,8,0,1,0,0,0,100,0,0,0,0,0,8,8,4,50,14,3,21.4,1.16,20.71,0.75,0.34,0.384,73,50.6,2.6,46.8,49.4,0,1,5.3,6.7,,,,,,
고효준,0.01,24,0,24,6,0,0,1,0,0,0,15.2,10,10,12.3,77,14,3,0,3,11,3,0,11,2,0,1,5.74,5.74,7.07,6.83,7.29,1.6,6.32,6.32,1,1.72,14.3,14.3,0,0.225,75,5.4,-1.54,114.54,124.33,145.33,0.226,0.364,0.419,0.783,308,12.8,19.7,4,,0,,0,,0,0,0,8,,0,0,,0,0,10,3,30,,,,,,7,2,2,0,0,0,0,0,,0,0,0,0,1,4,15,7,46.7,10,3,30,0.65,12.83,0.52,0.01,0.225,49,50,7.7,38.5,46.2,3.8,1.1,12.5,28.6,,,,,,
장원삼,-0.05,13,4,9,4,0,0,0,3,0,0,34,29,32,29.4,160,49,8,0,6,10,3,1,15,1,0,0,7.68,8.47,7.78,7.31,6.09,1.74,3.97,2.65,1.5,1.59,9.4,6.3,3.1,0.344,55.6,4.11,5.03,1.59,153.06,133.09,121.35,0.34,0.39,0.521,0.911,581,44.7,17.1,3.63,1,25,0,0,0,0,0,21,9.8,1,3,25,0,0,7,5,71.4,4.83,82,33.5,-0.51,-0.17,0,0,4,0,0,0,0,0,,0,0,0,0,0,5,0,0,,7,5,71.4,1.63,28.11,0.21,0.12,0.344,125,48.5,3.8,46.2,50,1.5,1,9.1,2,,,,,,
최영환,-0.08,6,1,5,2,0,0,0,1,0,0,10,7,11,9.95,53,19,3,0,4,3,1,0,7,2,0,1,6.3,9.9,8.96,8.17,8.25,2.2,6.3,2.7,2.33,3.6,13.2,5.7,7.5,0.395,70.6,3.63,4.49,-1.95,125.61,148.7,164.4,0.396,0.434,0.708,1.142,200,33.3,20,3.77,0,0,0,0,0,0,0,3,8.1,0,1,0,0,0,4,3,75,3.33,70,32,-0.16,-0.1,0,0,3,0,0,0,0,0,,0,0,0,0,0,2,1,1,100,4,3,75,1.33,26,0.31,0.02,0.395,38,42.9,0,52.4,52.4,4.8,0.8,18.2,15.8,,,,,,
박명현,-0.08,2,0,2,1,0,0,0,0,0,0,0.2,2,2,2,6,3,1,0,0,1,0,0,0,0,0,1,27,27,27,24.64,8.65,6,0,13.5,0,0,0,16.7,-16.7,0.6,50,8.84,7.4,18.35,538.34,448.35,172.37,0.6,0.667,0.8,1.467,31,15.5,46.5,5.17,0,,0,,0,0,0,0,,0,0,,0,0,1,0,0,,,,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,1,0,0,0.33,15.5,0.38,-0.08,0.6,5,60,0,40,40,0,1.5,0,0,,,,,,
강동호,-0.18,7,0,7,4,0,0,1,0,0,0,11,9,9,9.85,51,13,1,0,3,6,0,0,8,0,0,0,7.36,7.36,8.06,7.59,7.11,1.73,6.55,4.91,1.33,2.46,15.7,11.8,3.9,0.294,66.7,3.99,4.93,0.25,146.82,138.03,141.83,0.295,0.373,0.523,0.896,191,27.3,17.4,3.75,0,,0,,0,0,0,7,,0,0,,0,0,0,0,,,,,,,1,0,5,0,0,0,0,0,,0,0,0,0,1,1,7,2,28.6,0,0,,1.57,27.29,1.42,-0.18,0.294,34,37.8,5.4,51.4,56.8,5.4,0.7,14.3,7.7,,,,,,
정태승,-0.23,1,0,1,0,0,0,0,0,0,0,1.2,4,4,4.5,11,4,1,0,1,2,0,0,1,0,0,0,21.6,21.6,24.3,21.53,13.36,3.6,5.4,10.8,0.5,5.4,9.1,18.2,-9.1,0.5,40,6.29,6.49,8.24,430.67,391.7,266.28,0.5,0.6,1,1.6,48,48,28.8,4.36,0,,0,,0,0,0,0,,0,0,,0,0,1,0,0,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,1,1,100,1,0,0,1.67,48,0.78,-0.23,0.5,6,62.5,0,25,25,12.5,2.5,50,0,,,,,,
박시영,-0.43,36,0,36,6,0,0,1,1,0,1,30.1,27,27,29.25,145,32,7,0,5,23,1,0,21,1,0,1,8.01,8.01,8.68,8.4,6.68,1.81,6.23,6.82,0.91,1.48,14.5,15.9,-1.4,0.29,59.2,4.83,5.57,1.33,159.73,152.9,133.16,0.281,0.392,0.474,0.866,560,15.6,18.5,3.86,0,,0,,0,0,0,32,,0,0,,0,0,15,7,46.7,,,,,,10,2,5,0,1,0,0,0,100,0,0,0,0,3,8,22,11,50,15,7,46.7,0.84,15.56,0.66,-0.43,0.29,93,44,6,49,55,1,0.8,9.1,3.1,,,,,,
