Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
시라카와,0.47,5,5,0,0,0,0,2,2,0,0,23,13,16,14.3,106,29,4,0,3,9,1,0,27,1,0,0,5.09,6.26,5.6,5.15,4.16,1.65,10.57,3.52,3,1.17,25.5,8.5,17,0.4,65.7,2.7,3.36,0.92,99.2,91.13,82.53,0.305,0.371,0.442,0.813,426,85.2,18.5,4.02,1,20,0,0,2,0,0,23,9,2,3,40,0,0,5,3,60,4.6,85.2,46.2,0.06,0.47,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,,5,3,60,,,,,0.4,65,49.3,0,46.4,46.4,4.3,1.1,9.4,6.9,1086,972,876,698,1489,866
이로운,0.3,62,0,62,14,0,0,1,3,1,9,56,37,43,40.1,277,67,9,2,4,43,3,4,41,3,0,3,5.95,6.91,6.44,6.22,5.65,1.96,6.59,6.91,0.95,0.64,14.8,15.5,-0.7,0.344,65.4,4.91,5.49,0.29,115.96,109.91,112.06,0.3,0.412,0.413,0.825,1138,18.4,20.3,4.11,0,,0,,0,0,0,22,,0,0,,0,0,35,12,34.3,,,,,,17,2,7,1,9,1,1,2,83.3,0,1,0,0,8,17,21,6,28.6,35,12,34.3,0.9,18.35,0.92,0.3,0.344,183,47.9,3.7,44.7,48.4,3.7,1,4.3,7.5,1086,972,876,698,1489,866
박종훈,0.2,10,9,1,1,0,0,1,4,0,0,35,27,28,26.1,164,37,7,0,7,21,8,0,34,0,0,3,6.94,7.2,6.71,6.68,6.72,1.66,8.74,5.4,1.62,1.8,20.7,12.8,7.9,0.319,67.9,4.43,4.45,0.22,135.39,118.15,133.16,0.276,0.402,0.485,0.887,662,66.2,18.9,4.04,1,11.1,0,0,5,0,0,25,6.6,4,5,44.4,0,0,8,4,50,3.78,72.44,43,-0.45,0.16,0,0,0,0,0,0,0,0,,0,0,0,0,2,4,0,0,,8,4,50,1,10,0.02,0.04,0.319,94,51.5,6.9,40.6,47.5,1,1.1,14.6,2.7,1086,972,876,698,1489,866
박민호,0.15,19,0,19,8,0,0,2,0,0,0,22.2,12,14,17.1,98,25,3,0,4,7,2,1,10,1,0,0,4.76,5.56,6.79,6.27,6.29,1.41,3.97,2.78,1.43,1.59,10.2,7.1,3.1,0.28,71.4,4.32,5.03,-1.53,92.92,110.8,124.66,0.287,0.347,0.46,0.807,352,18.5,15.5,3.59,0,,0,,0,0,0,18,,0,0,,0,0,0,0,,,,,,,3,0,9,0,0,0,0,0,,0,0,0,0,2,1,17,6,35.3,0,0,,1.19,18.53,0.53,0.15,0.28,75,38,5.1,51.9,57,5.1,0.7,8.9,8,1086,972,876,698,1489,866
박시후,0.12,11,0,11,5,0,0,0,0,0,0,14.2,11,11,10.65,70,18,1,0,1,7,2,0,11,1,0,0,6.75,6.75,6.54,6.34,5.04,1.7,6.75,4.3,1.57,0.61,15.7,10,5.7,0.347,61.5,4.32,4.71,1.71,131.63,112.04,99.84,0.295,0.386,0.361,0.747,259,23.5,17.7,3.7,0,,0,,0,0,0,4,,0,0,,0,0,4,1,25,,,,,,2,0,5,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,4,1,25,1.33,23.55,0.05,0.12,0.347,49,52,2,40,42,6,1.2,4.8,16.7,1086,972,876,698,1489,866
박성빈,0.1,3,0,3,3,0,0,0,0,0,0,2.1,0,0,0,9,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3.38,0.43,7.71,0,,0,22.2,0,22.2,0.167,100,3.53,2.73,-3.38,0,0,67.08,0.125,0.222,0.125,0.347,28,9.3,12,3.11,0,,0,,0,0,0,4,,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,,0.78,9.33,0.03,0.1,0.167,6,16.7,0,83.3,83.3,0,0.2,0,0,1086,972,876,698,1489,866
정동윤,0.06,3,0,3,1,0,0,0,0,0,0,1.2,0,0,0.35,7,1,0,0,0,1,0,0,2,0,0,0,0,0,1.89,1.76,3.06,1.2,10.8,5.4,2,0,28.6,14.3,14.3,0.25,100,3.1,3.69,-3.06,0,31.12,60.63,0.167,0.286,0.167,0.453,32,10.7,19.2,4.57,0,,0,,0,0,0,1,,0,0,,0,0,2,0,0,,,,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,50,2,0,0,0.56,10.67,0.06,0.06,0.25,4,50,0,25,25,25,2,0,0,1086,972,876,698,1489,866
김택형,-0.05,6,0,6,0,0,0,0,1,0,0,7,7,7,6.15,37,10,1,0,1,6,1,1,1,0,1,1,9,9,7.91,7.9,8.64,2.29,1.29,7.71,0.17,1.29,2.7,16.2,-13.5,0.321,62.5,7.05,7.02,0.36,175.51,139.65,171.27,0.333,0.459,0.467,0.926,130,21.7,18.6,3.51,0,,0,,0,0,0,2,,0,0,,0,0,6,2,33.3,,,,,,1,0,2,0,0,0,0,0,,0,0,0,0,0,2,0,0,,6,2,33.3,1.17,21.67,0.57,-0.05,0.321,28,55.2,3.4,37.9,41.4,3.4,1.3,8.3,20,1086,972,876,698,1489,866
장지훈,-0.09,18,0,18,7,0,0,0,0,0,0,21.1,16,16,18.4,101,29,6,0,3,10,1,0,10,1,0,0,6.75,6.75,7.76,7.62,6.3,1.83,4.22,4.22,1,1.27,9.9,9.9,0,0.342,66.7,4.76,5.4,0.45,131.63,134.65,124.84,0.33,0.4,0.5,0.9,372,20.7,17.4,3.68,0,,0,,0,0,0,10,,0,0,,0,0,5,0,0,,,,,,5,0,7,0,0,0,0,0,,0,0,0,0,1,1,14,5,35.7,5,0,0,1.19,20.67,0.56,-0.09,0.342,76,45,5,47.5,52.5,2.5,0.9,7.1,0,1086,972,876,698,1489,866
백승건,-0.12,10,0,10,7,0,0,0,0,0,0,9.1,8,9,11.05,51,13,2,0,2,9,0,0,5,2,0,1,7.71,8.68,10.66,10.05,8.4,2.36,4.82,8.68,0.56,1.93,9.8,17.6,-7.8,0.314,68.4,5.98,6.34,-0.68,150.44,177.73,166.45,0.317,0.431,0.512,0.943,203,20.3,21.8,3.98,0,,0,,0,0,0,2,,0,0,,0,0,4,2,50,,,,,,2,0,2,0,0,0,0,0,,0,0,0,0,0,0,10,7,70,4,2,50,0.93,20.3,0.12,-0.12,0.314,35,37.8,2.7,48.6,51.4,10.8,0.7,10.5,7.7,1086,972,876,698,1489,866
최현석,-0.16,2,0,2,0,0,0,0,0,0,0,0.2,4,4,4,10,5,0,0,1,3,0,0,1,0,0,0,54,54,54,53.38,32.25,12,13.5,40.5,0.33,13.5,10,30,-20,0.8,57.1,14.79,7.8,21.75,1053.05,943.79,639.11,0.714,0.8,1.143,1.943,48,24,72,4.8,0,,0,,0,0,0,0,,0,0,,0,0,4,0,0,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,4,0,0,0.33,24,0.02,-0.16,0.8,5,33.3,16.7,50,66.7,0,0.5,25,0,1086,972,876,698,1489,866
고효준,-0.16,26,0,26,2,0,0,2,1,0,5,22,20,21,19.25,109,23,4,0,4,20,1,1,27,1,0,2,8.18,8.59,7.88,7.36,6.25,1.95,11.05,8.18,1.35,1.64,24.8,18.3,6.4,0.339,60.5,4.18,4.63,1.93,159.55,130.1,123.94,0.271,0.407,0.459,0.866,482,18.5,21.9,4.42,0,,0,,0,0,0,7,,0,0,,0,0,17,8,47.1,,,,,,7,0,1,0,5,1,1,2,71.4,0,0,0,1,5,7,13,5,38.5,17,8,47.1,0.85,18.54,1.1,-0.16,0.339,56,47.5,1.6,45.9,47.5,4.9,1,13.8,21.7,1086,972,876,698,1489,866
신헌민,-0.21,3,0,3,3,0,0,0,0,0,0,3,6,7,7,18,7,2,0,2,3,1,0,0,0,0,0,18,21,21,20.88,16.27,3.33,0,9,0,6,0,16.7,-16.7,0.417,50,8.46,7.4,1.73,351.02,369.15,322.35,0.538,0.611,1.154,1.765,53,17.7,17.7,2.94,0,,0,,0,0,0,4,,0,0,,0,0,0,0,,,,,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,17.67,0.04,-0.21,0.417,12,57.1,7.1,35.7,42.9,0,1.3,33.3,0,1086,972,876,698,1489,866
김주온,-0.26,2,0,2,2,0,0,0,0,0,0,4.2,8,8,9.55,25,8,1,0,2,3,0,0,4,0,0,0,15.43,15.43,18.42,18.21,9.15,2.36,7.71,5.79,1.33,3.86,16,12,4,0.375,37.5,4.2,4.92,6.28,300.87,321.91,181.32,0.381,0.44,0.714,1.154,98,49,21,3.92,0,,0,,0,0,0,2,,0,0,,0,0,0,0,,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,3,3,100,0,0,,2.33,49,0.06,-0.26,0.375,16,33.3,0,61.1,61.1,5.6,0.5,18.2,0,1086,972,876,698,1489,866
서진용,-0.35,51,0,51,3,0,0,0,1,0,6,47,29,34,40.85,211,52,11,1,5,26,0,2,38,3,0,4,5.55,6.51,7.82,7.52,5.09,1.66,7.28,4.98,1.46,0.96,18,12.3,5.7,0.343,62,3.91,4.72,0.46,108.29,132.95,100.93,0.291,0.379,0.447,0.826,800,15.7,17,3.79,0,,0,,0,0,0,24,,0,0,,0,0,19,10,52.6,,,,,,11,2,6,0,6,0,2,2,75,0,0,0,1,7,10,40,22,55,19,10,52.6,0.92,15.69,0.93,-0.35,0.343,137,51.7,3.4,39.5,42.9,5.4,1.2,7.9,5.8,1086,972,876,698,1489,866
이건욱,-0.58,10,2,8,1,0,0,1,2,0,0,19,24,25,24.3,106,34,4,0,5,15,2,0,17,2,0,3,11.37,11.84,11.51,11.46,7.87,2.58,8.05,7.11,1.13,2.37,16,14.2,1.9,0.433,59.1,4.88,5.17,3.5,221.69,202.67,155.92,0.386,0.481,0.602,1.083,445,44.5,23.4,4.2,0,0,0,0,0,0,0,15,18.4,0,2,0,0,0,9,3,33.3,3.67,84.5,21,-0.58,-0.45,0,0,4,0,0,0,0,0,,0,0,0,0,0,4,3,2,66.7,9,3,33.3,1.46,34.5,0.51,-0.13,0.433,67,36.1,2.8,55.6,58.3,5.6,0.6,11.9,2.9,1086,972,876,698,1489,866
최민준,-0.67,32,0,32,3,0,0,1,0,0,0,39.1,34,36,41.2,202,61,9,1,9,24,3,1,40,2,0,1,7.78,8.24,9.43,9.17,6.43,2.16,9.15,5.49,1.67,2.06,19.8,11.9,7.9,0.419,69.3,3.83,4.45,1.35,151.71,162.09,127.41,0.353,0.44,0.572,1.012,782,24.4,19.9,3.87,0,,0,,0,0,0,31,,0,0,,0,0,13,3,23.1,,,,,,5,1,14,0,0,0,0,0,,0,0,0,0,5,7,26,11,42.3,13,3,23.1,1.23,24.44,0.59,-0.67,0.419,124,43.7,0.7,52.6,53.3,3,0.8,12.5,4.9,1086,972,876,698,1489,866
더거,-0.84,6,6,0,0,0,0,0,3,0,0,22.2,32,33,33,116,37,7,3,2,10,3,0,18,1,0,0,12.71,13.1,13.1,12.8,5.04,2.07,7.15,3.97,1.8,0.79,15.5,8.6,6.9,0.422,36.2,4.1,4.57,7.66,247.78,226.3,99.92,0.366,0.431,0.554,0.985,457,76.2,20.2,3.94,1,16.7,0,0,1,0,0,13,5.2,3,3,50,0,0,1,0,0,3.78,76.17,30,-1.24,-0.84,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,0,0,,1,0,0,,,,,0.422,83,50.6,3.5,42.4,45.9,3.5,1.1,5.1,10.8,1086,972,876,698,1489,866
