Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
김동규,0,2,50,50,0,50,0,1,0,
채지선,0,1,100,0,0,0,0,,,
김진성,0.205,161,31.4,8,57.7,65.7,2.9,0.5,7,9.8
함덕주,0.231,134,42.4,4.3,50.4,54.7,2.9,0.8,1.3,9.4
백승현,0.236,110,48.2,6.1,38.6,44.7,7,1.1,3.9,7.1
송승기,0.25,4,25,0,75,75,0,0.3,0,0
이지강,0.257,218,44.2,4.5,50.4,54.9,0.9,0.8,3.3,5
유영찬,0.262,195,47.3,6.9,42.4,49.3,3.4,1,4,9.1
최동환,0.285,144,38.3,8.1,50.3,58.4,3.4,0.7,1.1,4.8
박명근,0.287,157,43.2,8.6,48.1,56.8,0,0.8,4.3,6.1
임찬규,0.291,453,46.4,5.5,43.2,48.7,4.9,1,4.4,6.3
이민호,0.3,70,48.6,5.4,44.6,50,1.4,1,2.7,9.1
윤호솔,0.3,10,30,0,70,70,0,0.4,0,0
플럿코,0.301,365,38.7,10.4,48,58.4,2.9,0.7,2.3,13
이상규,0.304,23,65.2,0,30.4,30.4,4.3,2.1,0,28.6
켈리,0.311,556,43.4,5.6,47.4,53,3.7,0.8,3.3,8.7
이정용,0.316,301,42.8,4.2,49.5,53.7,3.5,0.8,3,8
이우찬,0.324,105,56.1,1.9,40.2,42.1,1.9,1.3,2.2,14.3
이상영,0.324,37,41,2.6,56.4,59,0,0.7,0,8.3
진해수,0.333,48,52,4,42,46,2,1.1,8.7,11.1
김윤식,0.337,243,44.2,5.2,48.6,53.8,2,0.8,3,7
강효종,0.338,71,53.3,1.3,44,45.3,1.3,1.2,2.9,4
손주영,0.343,35,54.3,5.7,34.3,40,5.7,1.4,0,16.7
고우석,0.356,101,53.3,3.8,40,43.8,2.9,1.2,4.3,7.9
오석주,0.357,28,33.3,10,56.7,66.7,0,0.5,10,8.3
정우영,0.365,170,65.7,1.7,30.2,32,2.3,2.1,1.8,14.3
최원태,0.378,143,43.7,5.3,47.7,53,3.3,0.8,6.3,8.5
배재준,0.4,5,40,20,40,60,0,0.7,0,0
김대현,0.467,15,18.8,6.3,68.8,75,6.3,0.3,8.3,0
김영준,0.5,2,0,50,50,100,0,0,0,0
송은범,0.5,12,50,0,50,50,0,1,0,0
최성훈,0.5,14,35.7,0,57.1,57.1,7.1,0.6,0,0
성동현,0.5,4,50,0,25,25,25,2,0,0
