Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
이명종,0.15,45,2,43,7,0,0,5,5,0,1,57,33,34,35.55,260,66,13,0,5,24,6,0,26,1,0,0,5.21,5.37,5.61,5.67,5.38,1.58,4.11,3.79,1.08,0.79,10,9.2,0.8,0.314,69.7,4.42,5.31,-0.17,128.21,124.73,132.49,0.3,0.376,0.427,0.803,1022,22.7,17.9,3.93,0,0,0,0,1,0,0,25,29.3,0,2,0,0,0,15,11,73.3,3.83,67,40,-0.04,0.1,10,2,13,0,1,4,0,4,20,0,1,2,0,10,13,27,14,51.9,15,11,73.3,1.15,20.65,1.12,0.05,0.314,194,44.6,4.9,47.5,52.5,2.9,0.9,4.7,10.6
윤정현,0.14,5,0,5,2,0,0,0,0,0,0,6,1,2,2,26,5,0,0,0,6,0,0,2,0,0,1,1.5,3,3,2.98,6.12,1.83,3,9,0.33,0,7.7,23.1,-15.4,0.278,81.8,6.15,7.25,-4.62,36.91,65.41,150.49,0.25,0.423,0.25,0.673,103,20.6,17.2,3.96,0,,0,,0,0,0,4,,0,0,,0,0,1,0,0,,,,,,0,0,2,0,0,0,0,0,,0,0,0,0,0,1,0,0,,1,0,0,1.2,20.6,0.02,0.14,0.278,18,72.2,0,27.8,27.8,0,2.6,0,0
이승호,0.1,4,1,3,0,0,0,0,0,0,1,5,3,3,3,24,5,3,0,1,4,0,0,1,0,0,0,5.4,5.4,5.4,5.14,8.21,1.8,1.8,7.2,0.25,1.8,4.2,16.7,-12.5,0.222,75,5.96,6.9,-2.81,132.87,113.08,202,0.25,0.375,0.55,0.925,96,24,19.2,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,2.67,66,38,-0.13,-0.09,1,0,0,0,1,0,0,0,100,0,0,0,0,1,1,0,0,,2,0,0,0.78,10,1.54,0.19,0.222,18,15.8,5.3,73.7,78.9,5.3,0.2,6.7,0
김준형,0.05,8,0,8,3,0,0,0,0,0,0,7.2,6,6,5.15,36,4,3,0,0,6,3,0,5,0,0,0,7.04,7.04,6.05,5.82,5.86,1.3,5.87,7.04,0.83,0,13.9,16.7,-2.8,0.191,53.8,5.95,5.73,1.19,173.31,127.99,144.14,0.154,0.371,0.269,0.64,146,18.3,19,4.06,0,,0,,0,0,0,1,,0,0,,0,0,4,3,75,,,,,,2,1,2,0,0,0,0,0,,0,0,0,0,0,0,4,1,25,4,3,75,0.96,18.25,0.12,0.05,0.191,21,27.3,27.3,45.5,72.7,0,0.4,0,0
홍성민,-0.03,2,0,2,2,0,0,0,0,0,0,2,2,2,2,12,5,0,1,1,1,0,0,1,0,0,1,9,9,9,9.83,10.1,3,4.5,4.5,1,4.5,8.3,8.3,0,0.444,80,4.26,5.4,-1.1,221.46,216.05,248.51,0.455,0.5,0.909,1.409,49,24.5,24.5,4.08,0,,0,,0,0,0,7,,0,0,,0,0,5,2,40,,,,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,24.5,0.06,-0.03,0.444,9,40,10,40,50,10,0.8,20,0
양지율,-0.04,1,0,1,0,0,0,0,0,0,0,0.2,1,1,1,6,1,0,0,0,3,0,0,2,0,0,0,13.5,13.5,13.5,14.08,10.3,6,27,40.5,0.67,0,33.3,50,-16.7,1,75,10.37,7.4,3.2,332.19,309.49,253.43,0.333,0.667,0.333,1,28,28,42,4.67,0,,0,,0,0,0,0,,0,0,,0,0,3,0,0,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,3,0,0,0.67,28,0.26,-0.04,1,1,0,0,100,100,0,0,0,0
박승주,-0.06,18,0,18,6,0,0,0,3,0,0,18,7,11,12.2,91,19,3,2,2,13,2,0,15,3,0,5,3.5,5.5,6.1,6.31,5.67,1.78,7.5,6.5,1.15,1,16.5,14.3,2.2,0.293,74.2,4.45,5.14,-2.17,86.12,138.73,139.56,0.257,0.378,0.432,0.81,368,20.4,20.4,4.04,0,,0,,0,0,0,7,,0,0,,0,0,4,0,0,,,,,,3,0,4,0,0,0,1,1,0,0,0,0,0,2,4,9,2,22.2,4,0,0,1,20.44,0.82,-0.06,0.293,58,32.8,11.5,55.7,67.2,0,0.5,4.9,5.3
문성현,-0.06,32,0,32,7,0,0,2,2,0,2,28.1,14,16,18.25,134,26,3,0,2,20,2,2,21,2,0,2,4.45,5.08,5.8,5.93,5.02,1.62,6.67,6.35,1.05,0.64,15.7,14.9,0.7,0.286,71.1,4.26,5.31,-0.58,109.43,130.4,123.64,0.243,0.372,0.327,0.699,487,15.2,17.2,3.63,0,,0,,0,0,0,16,,0,0,,0,0,7,2,28.6,,,,,,7,0,1,0,2,1,0,1,66.7,0,0,1,0,8,8,8,6,75,7,2,28.6,0.89,15.22,1.24,-0.06,0.286,84,47.3,2.2,49.5,51.6,1.1,0.9,4.3,15.4
오상원,-0.07,11,1,10,7,0,0,0,0,0,0,15,11,11,11.5,74,18,5,1,0,9,3,0,7,1,0,0,6.6,6.6,6.9,7.15,5.16,1.8,4.2,5.4,0.78,0,9.5,12.2,-2.7,0.327,63.3,5.26,5.72,1.44,162.4,157.22,127.03,0.29,0.405,0.403,0.808,298,27.1,19.9,4.03,0,0,0,0,1,0,0,11,59.4,1,0,100,0,0,6,0,0,1.67,55,32,-0.17,-0.15,3,0,3,0,0,0,0,0,,0,0,0,0,0,1,2,1,50,6,0,0,1.33,24.3,0.07,0.08,0.327,55,40,5.5,54.5,60,0,0.7,0,11.1
김태훈,-0.1,8,0,8,2,0,0,1,0,0,3,7.2,5,6,5.65,38,9,1,1,1,6,0,1,4,1,0,0,5.87,7.04,6.63,6.75,6.12,1.96,4.7,7.04,0.67,1.17,10.5,15.8,-5.3,0.308,64.3,4.64,6.03,-0.25,144.43,148.47,150.56,0.29,0.405,0.484,0.889,144,18,18.8,3.79,0,,0,,0,0,0,4,,0,0,,0,0,2,1,50,,,,,,2,0,1,0,3,1,0,1,75,0,0,0,0,3,1,1,0,0,2,1,50,0.96,18,1.3,-0.1,0.308,26,50,7.1,35.7,42.9,7.1,1.2,8.3,0
