Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
김성훈,0.167,6,33.3,16.7,50,66.7,0,0.5,0,0
이상화,0.2,45,22.9,10.4,58.3,68.8,8.3,0.3,6.1,0
유원상,0.223,197,37.6,8.3,51.7,60,2.4,0.6,6.5,3.8
주권,0.225,213,44.9,4.4,48.4,52.9,2.2,0.8,5,3.7
손동현,0.258,62,27.5,4.3,65.2,69.6,2.9,0.4,10.4,0
배제성,0.268,441,48.2,4.8,44.3,49.1,2.6,1,5.4,8.5
이보근,0.272,147,48.3,8.6,41.1,49.7,2,1,2.7,9.5
조현우,0.274,135,48.6,2.9,47.1,50,1.4,1,1.4,10.5
하준호,0.28,132,44,6,47,53,3,0.8,1.4,7.9
쿠에바스,0.282,482,47.9,5.2,44.9,50.1,2,1,6.3,10.5
김민,0.296,135,54.6,3.5,38.3,41.8,3.5,1.3,10.2,21.7
전유수,0.303,142,39.6,8.7,45.6,54.4,6,0.7,3.7,4.3
이대은,0.308,104,45.9,8.3,43.1,51.4,2.8,0.9,7.1,2.8
소형준,0.321,420,56.4,4.2,36.8,41,2.6,1.4,3.4,5.7
김재윤,0.325,169,37.2,6.6,54.1,60.7,2.2,0.6,6.3,4.8
데스파이네,0.329,654,55.5,4.6,37.3,41.9,2.7,1.3,6.3,8.6
조병욱,0.343,102,39.6,4.7,54.7,59.4,0.9,0.7,6.3,7.7
김민수,0.369,371,44.7,4.2,48.6,52.7,2.6,0.8,6.9,13.2
이창재,0.37,27,40.7,11.1,48.1,59.3,0,0.7,0,0
이강준,0.4,20,36.4,0,63.6,63.6,0,0.6,7.1,0
류희운,0.448,29,46.7,0,46.7,46.7,6.7,1,7.1,7.1
이상동,0.458,24,33.3,12.5,50,62.5,4.2,0.5,0,9.1
이선우,0.5,10,54.5,0,45.5,45.5,0,1.2,20,0
금민철,0.6,10,60,0,40,40,0,1.5,0,0
안현준,0.667,3,66.7,0,33.3,33.3,0,2,0,0
박세진,0.667,3,66.7,0,33.3,33.3,0,2,0,0
한승지,1,4,50,0,50,50,0,1,0,
