Name,Team,Season,WAR,merce,upgrade,income,next_crese_not,fa_season,retire,ERA,ERA-,FIP-,A_PPF,PPF,Season_Adjusted_ERA,WHIP,IP,G,GS,1ERA,1IP,1R,1ER,1TBF,1AB,H1,2B1,3B1,HR1,BB1,IB1,HP1,SO1,NP1,WHIP1,AVG1,OBP1,OPS1,2ERA,2IP,2R,2ER,2TBF,2AB,H2,2B2,3B2,HR2,BB2,IB2,HP2,SO2,NP2,WHIP2,AVG2,OBP2,OPS2,3ERA,3IP,3R,3ER,3TBF,3AB,H3,2B3,3B3,HR3,BB3,IB3,HP3,SO3,NP3,WHIP3,AVG3,OBP3,OPS3,4ERA,4IP,4R,4ER,4TBF,4AB,H4,2B4,3B4,HR4,BB4,IB4,HP4,SO4,NP4,WHIP4,AVG4,OBP4,OPS4,5ERA,5IP,5R,5ER,5TBF,5AB,H5,2B5,3B5,HR5,BB5,IB5,HP5,SO5,NP5,WHIP5,AVG5,OBP5,OPS5,6ERA,6IP,6R,6ER,6TBF,6AB,H6,2B6,3B6,HR6,BB6,IB6,HP6,SO6,NP6,WHIP6,AVG6,OBP6,OPS6,7ERA,7IP,7R,7ER,7TBF,7AB,H7,2B7,3B7,HR7,BB7,IB7,HP7,SO7,NP7,WHIP7,AVG7,OBP7,OPS7,8ERA,8IP,8R,8ER,8TBF,8AB,H8,2B8,3B8,HR8,BB8,IB8,HP8,SO8,NP8,WHIP8,AVG8,OBP8,OPS8,9ERA,9IP,9R,9ER,9TBF,9AB,H9,2B9,3B9,HR9,BB9,IB9,HP9,SO9,NP9,WHIP9,AVG9,OBP9,OPS9
뷰캐넌,Samsung,22,5.47,1,1,110000,0,0,0,3.04,71.65,85.16,1.024731875,1.034,3.694222,1.34,160,26,26,3.12,26,12,9,115,105,31,5,1,1,4,0,3,12,408,1.35,0.295,0.333,0.723,5.19,26,16,15,120,108,39,6,0,4,8,0,0,22,442,1.81,0.361,0.402,0.93,4.85,26,16,14,121,107,32,7,0,1,11,0,1,24,478,1.65,0.299,0.367,0.76,1.8,25,5,5,99,92,20,3,1,1,5,0,1,16,391,1,0.217,0.265,0.569,2.45,22,6,6,98,88,25,2,0,0,5,0,3,16,355,1.36,0.284,0.344,0.651,1.29,21,4,3,85,82,19,5,0,2,3,0,0,18,335,1.05,0.232,0.259,0.625,1.86,9.67,2,2,37,34,7,1,0,1,2,0,0,8,143,0.93,0.206,0.25,0.574,0,2.67,0,0,9,9,2,0,0,0,0,0,0,0,26,0.75,0.222,0.222,0.444,0,1.67,0,0,7,6,1,0,0,0,1,0,0,1,27,1.2,0.167,0.286,0.453
원태인,Samsung,22,4.37,0,1,30000,5000,0,0,3.92,92.45,87.75,1.01227188,1.034,3.694222,1.29,165.33,27,27,5.33,27,18,16,122,113,39,8,0,2,6,0,2,21,491,1.67,0.345,0.385,0.854,3,27,9,9,110,108,30,2,0,4,2,0,0,27,413,1.19,0.278,0.291,0.698,2.33,27,7,7,112,102,24,3,0,0,7,0,0,14,409,1.15,0.235,0.279,0.544,4,27,13,12,114,103,25,3,0,5,8,0,1,24,460,1.22,0.243,0.301,0.718,5.54,26,16,16,118,110,36,8,0,1,5,1,1,13,432,1.58,0.327,0.359,0.786,5.71,17.33,11,11,76,70,19,0,1,4,5,1,0,17,286,1.38,0.271,0.32,0.791,0.82,11,1,1,37,34,2,1,0,0,3,0,0,10,136,0.45,0.059,0.135,0.223,0,3,0,0,11,8,0,0,0,0,2,1,0,4,42,0.67,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
백정현,Samsung,22,1.51,0,0,80000,-40000,0,0,5.27,124.31,132.67,1.006599663,1.034,3.694222,1.53,124.67,24,24,6.38,24,19,17,115,108,39,7,0,5,5,0,1,13,447,1.83,0.361,0.391,0.956,5.25,24,14,14,109,98,30,5,1,4,7,0,4,15,404,1.54,0.306,0.376,0.876,4.13,24,11,11,99,92,23,8,0,5,6,1,0,15,344,1.21,0.25,0.296,0.796,5.57,21,13,13,92,85,27,2,0,3,5,0,1,11,327,1.52,0.318,0.363,0.81,4.91,18.33,11,10,81,71,18,2,1,1,7,0,2,9,321,1.36,0.254,0.333,0.685,2.45,11,3,3,53,46,12,2,0,2,6,0,1,5,193,1.64,0.261,0.358,0.793,19.29,2.33,5,5,13,10,5,1,0,2,1,0,0,2,39,2.57,0.5,0.545,1.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
허윤동,Samsung,22,0.15,0,1,4700,700,0,0,6.55,154.4,144.67,1.006374364,1.034,3.694222,1.78,55,12,12,12.75,12,17,17,64,47,17,2,0,4,9,0,3,6,244,2.17,0.362,0.453,1.113,4.5,12,7,6,55,48,13,3,0,1,7,0,0,8,191,1.67,0.271,0.364,0.76,2.25,12,4,3,55,45,12,2,0,2,9,0,1,11,221,1.75,0.267,0.4,0.844,9.31,9.67,10,10,50,42,16,3,0,1,5,0,1,5,181,2.17,0.381,0.449,0.973,1.29,7,1,1,28,23,2,2,0,0,3,0,1,5,112,0.71,0.087,0.214,0.388,11.57,2.33,3,3,12,10,4,1,0,0,1,0,0,1,36,2.14,0.4,0.455,0.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
뷰캐넌,Samsung,23,6.29,1,0,110000,0,0,0,2.54,59.25,71.12,0.993408085,0.998,3.862461,1.15,188,30,30,2.7,30,11,9,125,112,29,4,1,0,11,0,0,17,476,1.33,0.259,0.32,0.633,1.8,30,7,6,120,113,25,4,0,0,2,0,3,24,440,0.9,0.221,0.252,0.509,4.66,29,17,15,123,117,30,6,0,0,3,0,0,22,495,1.14,0.256,0.273,0.581,2.17,29,7,7,114,108,26,1,0,2,5,0,0,28,449,1.07,0.241,0.274,0.58,2.89,28,12,9,121,105,27,3,1,1,11,1,0,18,447,1.36,0.257,0.325,0.658,2.05,22,5,5,89,80,16,3,0,1,7,0,1,17,332,1.05,0.2,0.27,0.545,0.64,14,11,1,66,61,14,2,0,0,4,0,1,8,246,1.29,0.23,0.288,0.55,0,5,0,0,21,20,5,1,0,0,0,0,1,5,82,1,0.25,0.286,0.586,9,1,1,1,5,5,2,1,0,0,0,0,0,0,17,2,0.4,0.4,1
원태인,Samsung,23,4.43,0,1,35000,8000,0,0,3.24,75.66,97.28,0.997799867,0.998,3.862461,1.27,150,26,26,5.19,26,15,15,115,105,31,7,0,3,6,0,1,21,457,1.42,0.295,0.333,0.781,2.77,26,9,8,101,96,20,5,0,2,3,0,1,14,389,0.88,0.208,0.238,0.561,3.7,24.33,10,10,100,91,20,7,0,1,5,0,2,16,385,1.03,0.22,0.276,0.606,2.25,24,6,6,95,91,24,4,0,3,4,0,0,16,384,1.17,0.264,0.295,0.702,2.28,23.67,11,6,108,101,31,0,0,3,6,0,1,23,435,1.56,0.307,0.352,0.748,3.5,18,8,7,76,66,19,3,0,2,7,2,1,9,304,1.44,0.288,0.36,0.784,2.57,7,2,2,35,31,11,0,1,1,3,0,0,2,152,2,0.355,0.412,0.928,0,1,0,0,4,4,1,0,0,0,0,0,0,1,15,1,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
백정현,Samsung,23,2.92,0,0,40000,0,0,0,3.67,85.59,91.21,1.003702195,0.998,3.862461,1.29,100.67,18,18,5,18,12,10,83,73,22,5,0,2,7,0,0,12,320,1.61,0.301,0.363,0.815,3.5,18,7,7,78,68,19,3,0,1,7,0,0,6,290,1.44,0.279,0.342,0.71,2.65,17,5,5,68,60,14,0,0,0,6,0,0,13,252,1.18,0.233,0.299,0.532,2.25,16,4,4,61,57,12,4,0,2,4,0,0,12,213,1,0.211,0.262,0.648,0,15,0,0,54,52,9,2,0,0,2,0,0,7,234,0.73,0.173,0.204,0.416,6.97,10.33,8,8,45,41,13,2,1,0,2,1,0,7,178,1.45,0.317,0.341,0.756,10.38,4.33,6,5,21,19,7,2,0,1,2,1,0,3,75,2.08,0.368,0.429,1.061,0,2,0,0,7,7,2,0,0,0,0,0,0,1,24,1,0.286,0.286,0.572,99.99,0,2,2,2,2,2,1,1,0,0,0,0,0,3,99.99,1,1,3.5
수아레즈,Samsung,23,2.55,1,0,90000,0,0,0,3.92,91.46,72.83,0.995390278,0.998,3.862461,1.49,108,19,19,5.3,18.67,12,11,90,74,26,2,0,0,11,0,1,8,348,1.98,0.351,0.422,0.8,3.5,18,7,7,80,70,21,2,1,1,5,0,1,20,317,1.44,0.3,0.351,0.751,5.5,18,11,11,82,74,23,5,0,0,8,0,0,15,310,1.72,0.311,0.378,0.756,1.59,17,8,3,70,67,17,3,0,0,2,0,0,11,263,1.12,0.254,0.271,0.57,3.24,16.67,7,6,74,65,18,3,0,1,5,0,0,16,305,1.38,0.277,0.324,0.693,6.39,12.67,9,9,58,57,17,2,0,1,1,0,0,13,241,1.42,0.298,0.31,0.696,0,6,0,0,22,22,6,1,0,0,0,0,0,6,87,1,0.273,0.273,0.591,0,1,0,0,4,4,1,1,0,0,0,0,0,0,15,1,0.25,0.25,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
코너,Samsung,24,5.95,1,0,80000,0,0,0,3.43,65.9,86.57,0.988539438,1.01,4.581854,1.09,160,28,28,4.5,28,14,14,109,104,23,1,0,5,2,0,3,28,438,0.89,0.221,0.257,0.632,1.29,28,4,4,104,99,17,2,1,0,4,0,1,33,428,0.75,0.172,0.212,0.424,4.67,27,15,14,125,103,29,4,2,3,14,0,5,22,477,1.59,0.282,0.39,0.837,3.55,25.33,13,10,108,100,26,4,0,8,4,0,3,22,411,1.18,0.26,0.306,0.846,4.74,24.67,13,13,103,91,18,5,0,2,6,0,5,29,402,0.97,0.198,0.282,0.601,3.45,15.67,6,6,69,59,13,0,0,3,9,0,1,17,284,1.4,0.22,0.333,0.706,0,8.33,2,0,35,32,8,0,0,0,1,0,1,5,125,1.08,0.25,0.286,0.536,0,2,0,0,7,7,1,1,0,0,0,0,0,2,25,0.5,0.143,0.143,0.429,0,1,0,0,3,3,0,0,0,0,0,0,0,0,14,0,0,0,0
원태인,Samsung,24,5.87,0,1,43000,20000,0,0,3.66,70.37,88.89,0.997548131,1.01,4.581854,1.2,159.67,28,28,5.53,27.67,17,17,116,108,32,2,0,4,4,0,2,23,431,1.3,0.296,0.33,0.756,2.33,27,7,7,108,97,18,7,0,1,10,0,0,16,453,1.04,0.186,0.262,0.551,3.67,27,11,11,115,103,24,4,1,3,9,0,2,23,518,1.22,0.233,0.307,0.686,4.33,27,14,13,119,109,30,7,0,3,6,0,2,17,452,1.33,0.275,0.322,0.744,4.15,26,13,12,114,105,31,8,1,5,6,0,1,21,447,1.42,0.295,0.339,0.872,2.41,18.67,6,5,75,69,12,1,1,1,6,1,0,13,307,0.96,0.174,0.24,0.501,0,3.67,0,0,13,12,1,0,0,0,1,0,0,3,52,0.55,0.083,0.154,0.237,0,1.67,0,0,5,5,0,0,0,0,0,0,0,1,13,0,0,0,0,0,1,0,0,5,5,2,0,0,0,0,0,0,2,20,2,0.4,0.4,0.8
레예스,Samsung,24,5.06,1,1,50000,48000,0,0,3.81,73.22,83.07,1.002373681,1.01,4.581854,1.31,144,26,26,4.15,26,12,12,107,98,25,4,1,4,2,0,2,26,414,1.04,0.255,0.279,0.718,0.69,26,2,2,93,88,15,4,1,0,4,0,1,19,388,0.73,0.17,0.215,0.454,5.26,25.67,16,15,112,101,26,4,0,2,9,0,1,22,445,1.36,0.257,0.324,0.68,4.88,24,13,13,104,97,31,1,0,4,4,0,2,16,388,1.46,0.32,0.356,0.81,3.97,22.67,13,10,106,100,33,5,1,3,6,0,0,16,409,1.72,0.33,0.368,0.858,3.68,14.67,6,6,68,65,20,3,0,1,2,0,1,11,271,1.5,0.308,0.338,0.738,5.4,5,3,3,27,23,9,0,0,1,3,0,0,4,114,2.4,0.391,0.462,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이승현,Samsung,24,2.7,0,1,7000,5000,0,0,4.23,81.15,97.69,0.989743502,1.01,4.581854,1.43,87.33,17,17,5.82,17,11,11,72,61,16,2,1,2,8,0,0,19,313,1.41,0.262,0.333,0.759,4.24,17,8,8,78,65,17,2,0,2,11,0,1,18,337,1.65,0.262,0.372,0.757,3.71,17,10,7,77,70,20,3,0,1,5,0,1,11,306,1.47,0.286,0.342,0.713,4.6,15.67,8,8,73,62,19,1,0,2,6,0,4,10,278,1.6,0.306,0.403,0.822,2.51,14.33,4,4,58,52,12,2,0,2,4,0,0,7,208,1.12,0.231,0.286,0.671,4.26,6.33,3,3,26,23,4,1,0,0,3,0,0,3,86,1.11,0.174,0.269,0.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
켈리,LG,22,6.14,1,1,90000,15000,0,0,2.54,65.71,74.66,0.943094992,0.903,3.694222,1.08,166.33,27,27,3.33,27,11,10,110,99,24,1,1,1,9,0,0,24,446,1.22,0.242,0.303,0.606,2.33,27,7,7,101,98,21,2,1,1,3,0,0,26,382,0.89,0.214,0.238,0.524,1.67,27,5,5,105,100,21,2,0,2,4,0,1,17,379,0.93,0.21,0.248,0.538,3.12,26,11,9,107,102,29,2,0,2,3,0,1,22,368,1.23,0.284,0.311,0.674,2.42,26,7,7,102,93,19,1,0,1,7,0,0,29,414,1,0.204,0.255,0.502,2.91,21.67,7,7,87,81,18,1,2,2,5,0,0,24,338,1.06,0.222,0.264,0.622,1.86,9.67,2,2,45,42,12,1,0,1,3,0,0,9,163,1.55,0.286,0.333,0.714,0,2,0,0,7,6,0,0,0,0,1,0,0,2,25,0.5,0,0.143,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
플럿코,LG,22,5.94,1,1,50000,30000,0,0,2.39,61.72,82.32,0.970519753,0.903,3.694222,1.01,162,28,28,2,27,8,6,108,102,21,0,0,4,6,1,0,30,416,1,0.206,0.25,0.574,2.67,27,8,8,104,96,19,3,0,3,7,0,0,21,398,0.96,0.198,0.252,0.575,2,27,9,6,106,96,17,6,0,0,8,1,0,26,439,0.93,0.177,0.238,0.478,1.67,27,7,5,107,100,24,4,1,3,4,0,1,21,440,1.04,0.24,0.271,0.661,1.33,27,4,4,105,96,19,0,0,0,6,0,1,22,405,0.93,0.198,0.252,0.45,4.87,20.33,14,11,87,79,18,4,1,1,6,0,0,20,371,1.18,0.228,0.276,0.618,5.06,5.33,3,3,22,21,6,0,0,2,1,0,0,7,87,1.31,0.286,0.318,0.889,0,1,0,0,4,4,1,1,0,0,0,0,0,2,17,1,0.25,0.25,0.75,0,0.33,0,0,2,2,0,0,0,0,0,0,0,1,10,0,0,0,0
김윤식,LG,22,3.23,0,1,7000,8000,0,0,3.31,85.42,85.08,0.948700429,0.903,3.694222,1.33,114.33,23,23,3.63,22.33,10,9,97,89,28,5,0,1,4,0,0,16,377,1.43,0.315,0.337,0.741,3.48,20.67,8,8,90,81,18,1,0,1,7,0,1,24,348,1.21,0.222,0.292,0.564,4.95,20,12,11,96,85,30,6,0,1,9,1,0,10,336,1.95,0.353,0.411,0.87,1.37,19.67,4,3,74,71,14,4,0,0,3,0,0,13,269,0.86,0.197,0.23,0.484,3.06,17.67,6,6,74,68,20,4,1,1,4,1,0,13,291,1.36,0.294,0.333,0.759,3.97,11.33,5,5,42,42,13,1,0,1,0,0,0,5,147,1.15,0.31,0.31,0.715,0,1.33,0,0,6,6,2,1,0,0,0,0,0,0,16,1.5,0.333,0.333,0.833,0,1,0,0,3,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
임찬규,LG,22,1.16,0,0,20000,-3000,0,0,5.04,130.11,116.25,0.944960934,0.903,3.694222,1.47,103.67,23,23,6.35,22.67,16,16,103,93,29,5,1,3,9,0,1,18,393,1.68,0.312,0.379,0.863,2.01,22.33,6,5,95,80,21,1,0,1,9,0,1,14,341,1.34,0.263,0.341,0.654,7.91,19.33,17,17,81,70,16,3,2,1,7,0,2,16,307,1.19,0.229,0.309,0.68,4,18,8,8,80,67,16,3,0,1,9,0,1,14,291,1.39,0.239,0.325,0.653,4.6,15.67,8,8,74,70,24,1,0,4,2,0,2,10,268,1.66,0.343,0.378,0.907,3.86,4.67,2,2,18,15,3,0,0,0,3,0,0,2,72,1.29,0.2,0.333,0.533,27,0.67,2,2,7,6,4,0,0,0,0,0,0,1,16,6,0.667,0.667,1.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
이민호,LG,22,0.69,0,1,9800,4200,0,0,5.51,142.26,127.89,0.962813961,0.903,3.694222,1.58,119.33,26,26,6.58,26,20,19,123,102,27,3,3,2,15,0,3,23,486,1.62,0.265,0.369,0.781,5.76,25,16,16,108,98,27,3,0,4,7,0,1,13,416,1.36,0.276,0.327,0.756,6.93,24.67,19,19,113,101,33,8,2,2,9,0,1,16,495,1.7,0.327,0.384,0.889,5.4,20,12,12,90,81,28,5,0,3,4,0,1,5,300,1.6,0.346,0.375,0.894,0.6,15,3,1,64,59,17,2,0,1,3,0,1,9,230,1.33,0.288,0.333,0.706,6.75,8,6,6,37,34,12,2,0,2,3,0,0,7,148,1.88,0.353,0.405,0.993,0,0.67,0,0,5,3,2,0,0,0,2,0,0,0,28,6,0.667,0.8,1.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
플럿코,LG,23,4.97,1,0,80000,0,0,0,2.41,60.51,78.87,0.968214546,0.923,3.862461,1.18,123.33,21,21,3,21,8,7,89,80,19,4,1,1,9,0,0,19,329,1.33,0.238,0.315,0.665,2.14,21,6,5,90,84,21,3,2,0,4,0,1,15,329,1.19,0.25,0.292,0.625,2.57,21,6,6,89,81,21,3,0,1,5,0,1,17,370,1.24,0.259,0.31,0.643,3.86,21,9,9,90,83,22,6,0,2,5,0,1,20,361,1.29,0.265,0.315,0.725,0.95,19,3,2,68,65,10,1,0,1,2,1,0,16,275,0.63,0.154,0.179,0.394,2.12,17,5,4,69,63,17,1,0,0,6,0,0,11,256,1.35,0.27,0.333,0.619,0,3.33,0,0,15,15,5,3,0,0,0,0,0,3,52,1.5,0.333,0.333,0.866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
켈리,LG,23,3.93,1,1,105000,-25000,0,0,3.83,96.19,87.72,0.95514468,0.923,3.862461,1.24,178.67,30,30,4.2,30,15,14,123,114,28,7,0,2,7,0,1,28,495,1.17,0.246,0.293,0.653,2.43,29.67,10,8,128,119,34,6,0,1,6,0,2,28,495,1.35,0.286,0.328,0.689,4.34,29,14,14,118,109,29,4,0,2,6,0,1,22,432,1.21,0.266,0.31,0.668,2.48,29,12,8,125,116,32,7,2,0,5,0,1,20,455,1.28,0.276,0.306,0.677,2.79,29,12,9,111,109,23,4,0,3,2,0,0,22,383,0.86,0.211,0.225,0.555,8.18,22,20,20,100,85,25,3,0,1,11,0,1,7,346,1.64,0.294,0.378,0.743,3,9,3,3,36,33,10,0,1,1,2,1,0,2,120,1.33,0.303,0.333,0.788,0,1,1,0,5,3,2,0,0,0,0,0,0,0,17,2,0.667,0.5,1.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
엔스,LG,24,4.33,1,0,60000,0,0,0,4.19,87.84,85.91,0.970074313,0.949,4.581854,1.31,167.67,30,30,3.9,30,14,13,122,113,30,7,0,1,5,0,2,25,494,1.17,0.265,0.303,0.657,2.4,30,8,8,122,110,26,4,0,0,11,0,0,28,519,1.23,0.236,0.306,0.579,7.2,30,24,24,139,127,40,11,2,3,10,0,0,30,596,1.67,0.315,0.365,0.869,4.85,29.67,20,16,131,115,34,4,1,4,7,0,2,28,499,1.38,0.296,0.336,0.788,3.76,26.33,12,11,109,96,21,0,0,4,11,0,1,22,428,1.22,0.219,0.306,0.65,2.37,19,5,5,76,72,15,3,0,3,3,0,1,23,300,0.95,0.208,0.25,0.625,3.86,2.33,1,1,13,8,2,0,0,1,3,0,0,1,53,2.14,0.25,0.455,1.08,0,0.33,0,0,2,2,1,0,0,0,0,0,0,0,17,3,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
켈리,LG,24,2.2,1,0,80000,0,0,0,4.51,94.69,104.22,0.961878244,0.949,4.581854,1.37,113.67,19,19,8.05,19,19,17,91,82,28,3,0,5,7,0,0,15,353,1.84,0.341,0.389,0.95,2.84,19,7,6,81,73,21,2,0,3,5,0,2,9,316,1.37,0.288,0.35,0.788,3.32,19,11,7,81,72,20,3,1,2,3,0,1,7,294,1.21,0.278,0.3,0.731,4.26,19,9,9,82,74,19,2,0,1,6,0,0,6,272,1.32,0.257,0.305,0.629,4,18,8,8,75,69,18,3,0,1,2,0,2,18,273,1.11,0.261,0.301,0.649,6.39,12.67,10,9,62,59,21,4,0,1,1,0,1,11,219,1.74,0.356,0.371,0.846,0,4,0,0,12,12,1,0,0,0,0,0,0,3,49,0.25,0.083,0.083,0.166,4.5,2,1,1,9,8,2,1,0,0,1,0,0,1,33,1.5,0.25,0.333,0.708,0,1,0,0,3,3,1,0,0,0,0,0,0,0,8,1,0.333,0.333,0.666
고영표,KT,22,6.13,0,1,30000,13000,0,0,3.26,76.5,64.53,0.984876159,0.997,3.694222,1.17,182.33,28,28,6.43,28,21,20,129,119,43,5,0,2,6,0,3,22,454,1.75,0.361,0.403,0.857,2.6,27.67,8,8,107,101,23,4,1,0,1,0,3,28,392,0.87,0.228,0.255,0.542,2.25,28,7,7,118,110,29,6,0,1,5,0,1,23,402,1.21,0.264,0.302,0.647,1.33,27,5,4,107,97,22,4,1,0,6,0,2,18,381,1.04,0.227,0.283,0.572,2.7,26.67,8,8,108,101,24,4,0,3,2,0,3,26,360,0.98,0.238,0.271,0.637,6,24,17,16,114,106,36,6,1,0,3,1,4,22,371,1.63,0.34,0.381,0.796,1.26,14.33,2,2,52,52,10,1,0,0,0,0,0,15,177,0.7,0.192,0.192,0.404,0,5,0,0,16,16,1,0,0,0,0,0,0,3,62,0.2,0.063,0.063,0.126,6.75,1.33,1,1,7,7,3,1,0,1,0,0,0,0,17,2.25,0.429,0.429,1.429
소형준,KT,22,5.39,0,1,20000,12000,0,0,3.05,71.54,80.08,0.985519232,0.997,3.694222,1.15,171.33,27,27,4.33,27,14,13,111,105,28,2,2,2,4,0,0,15,378,1.19,0.267,0.291,0.672,3.33,27,11,10,109,104,25,0,0,3,5,0,0,26,406,1.11,0.24,0.275,0.602,2.67,27,8,8,110,101,23,4,0,0,6,0,2,18,398,1.07,0.228,0.284,0.551,3.71,26.67,14,11,116,103,26,3,3,1,9,0,1,20,431,1.31,0.252,0.316,0.685,2.08,26,11,6,106,95,19,4,0,1,8,0,1,16,382,1.04,0.2,0.269,0.543,0.41,22,1,1,84,79,20,1,0,0,3,0,0,13,273,1.05,0.253,0.28,0.546,5.54,13,8,8,57,52,15,2,1,1,4,1,1,8,202,1.46,0.288,0.351,0.774,3.38,2.67,1,1,10,10,2,0,0,0,0,0,0,1,29,0.75,0.2,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
벤자민,KT,22,3.48,1,1,23100,76900,0,0,2.7,63.4,94.98,1.000935554,0.997,3.694222,1.02,96.67,17,17,3.18,17,8,6,73,69,17,2,0,3,4,0,0,17,279,1.24,0.246,0.288,0.694,3.71,17,7,7,65,59,14,1,0,2,4,0,1,17,263,1.06,0.237,0.292,0.648,1.08,16.67,3,2,67,61,12,0,0,2,5,1,1,11,255,1.02,0.197,0.269,0.564,2.4,15,5,4,59,56,13,3,0,2,2,0,1,10,225,1,0.232,0.271,0.664,3.21,14,5,5,56,42,6,1,0,0,7,1,1,9,197,0.93,0.143,0.269,0.436,0.82,11,2,1,39,38,6,1,0,0,0,0,0,9,148,0.55,0.158,0.154,0.338,3.18,5.67,2,2,23,20,5,1,1,1,2,0,0,4,71,1.24,0.25,0.304,0.854,54,0.33,2,2,3,3,2,0,0,1,0,0,0,0,11,6,0.667,0.667,2.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
쿠에바스,KT,23,5.19,1,1,45000,55000,0,0,2.6,59.79,64.08,0.991379603,0.994,3.862461,1.04,114.33,18,18,1.5,18,3,3,69,66,13,0,0,1,2,0,1,18,252,0.83,0.197,0.232,0.474,1.5,18,3,3,69,64,11,1,0,1,4,0,0,14,241,0.83,0.172,0.221,0.455,6.5,18,13,13,81,71,23,3,0,1,5,1,0,12,299,1.56,0.324,0.354,0.762,0.56,16,1,1,60,59,13,1,0,0,1,0,0,13,203,0.88,0.22,0.233,0.47,5.17,15.67,9,9,68,60,15,1,1,1,4,0,1,15,253,1.21,0.25,0.303,0.653,1.29,14,2,2,54,52,11,3,0,0,1,0,0,12,204,0.86,0.212,0.222,0.491,0,10.67,0,0,41,37,6,1,0,0,4,0,0,10,140,0.94,0.162,0.244,0.433,0,3.67,0,0,15,13,2,0,0,0,2,0,0,6,65,1.09,0.154,0.267,0.421,27,0.33,1,1,3,2,1,0,1,0,1,0,0,0,9,6,0.5,0.667,2.167
벤자민,KT,23,3.66,1,1,100000,-10000,0,0,3.54,81.57,72.37,0.99809925,0.994,3.862461,1.21,160,29,29,3.41,29,17,11,124,118,28,4,0,2,5,0,0,30,487,1.14,0.237,0.268,0.59,5.28,29,19,17,131,120,36,4,1,4,9,0,1,33,506,1.55,0.3,0.354,0.804,3.21,28,12,10,118,105,23,6,0,0,8,0,1,27,447,1.11,0.219,0.278,0.554,2.96,27.33,14,9,112,102,21,5,0,3,6,0,1,23,428,0.99,0.206,0.252,0.595,4.24,23.33,11,11,106,90,21,1,0,2,14,1,0,24,406,1.5,0.233,0.333,0.644,2.45,14.67,5,4,59,55,13,1,0,1,2,0,0,13,228,1.02,0.236,0.259,0.568,0,6,0,0,22,21,4,1,0,0,0,0,0,4,87,0.67,0.19,0.19,0.428,3.38,2.67,1,1,12,11,3,1,0,0,1,0,0,3,47,1.5,0.273,0.333,0.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
쿠에바스,KT,24,5.06,1,1,100000,40000,0,0,4.1,81.28,85.66,0.994697167,0.995,4.581854,1.25,173.33,31,31,5.23,31,19,18,135,115,29,7,1,4,15,0,0,22,515,1.42,0.252,0.328,0.763,6.3,30,21,21,128,114,27,6,0,2,13,0,1,23,485,1.33,0.237,0.32,0.662,3.41,29,12,11,117,103,20,6,1,3,8,0,4,29,445,0.97,0.194,0.274,0.633,3.95,27.33,15,12,122,115,33,4,0,5,7,0,0,26,496,1.46,0.287,0.328,0.78,2.42,26,7,7,103,92,17,4,0,2,6,1,1,17,375,0.88,0.185,0.24,0.533,3.68,22,10,9,101,89,25,8,1,0,9,3,1,28,405,1.55,0.281,0.35,0.743,1.13,8,2,1,31,30,7,1,0,1,1,0,0,9,135,1,0.233,0.258,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
