Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
최우석,0.16,9,0,9,3,0,0,0,0,0,0,8.2,3,3,4.2,37,7,2,0,2,6,0,0,8,0,0,1,3.12,3.12,4.36,4.59,6.78,1.5,8.31,6.23,1.33,2.08,21.6,16.2,5.4,0.238,100,4.14,4.75,-3.67,64.46,86.19,142.64,0.226,0.351,0.484,0.835,139,15.4,16,3.76,0,,0,,0,0,0,3,,0,0,,0,0,0,0,,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,2,2,100,0,0,,0.96,15.44,0.06,0.16,0.238,21,43.5,8.7,47.8,56.5,0,0.8,15.4,0,942,955,1036,1136,1085,1052
이용준,0.12,9,9,0,0,0,0,2,3,0,0,33.2,25,28,25.4,157,42,6,2,5,14,1,0,26,3,0,1,6.68,7.49,6.79,7.1,5.42,1.66,6.95,3.74,1.86,1.34,16.6,8.9,7.6,0.339,58,3.78,4.48,1.27,138.27,133.11,113.9,0.302,0.368,0.482,0.85,603,67,17.9,3.84,1,11.1,0,0,3,0,0,27,7.2,2,7,22.2,0,0,8,5,62.5,3.74,67,42.56,-0.48,0.12,0,0,0,0,0,0,0,0,,0,0,0,0,3,6,0,0,,8,5,62.5,,,,,0.339,109,39.7,4.3,51.7,56,4.3,0.7,7.7,7.1,942,955,1036,1136,1085,1052
송명기,0.04,33,0,33,5,0,0,2,1,0,4,38.1,25,27,28.7,173,40,7,1,4,17,3,1,31,2,0,7,5.87,6.34,6.74,6.82,4.96,1.49,7.28,3.99,1.82,0.94,17.9,9.8,8.1,0.308,61.1,3.84,4.43,0.91,121.44,128.01,104.2,0.268,0.349,0.409,0.758,694,21,18.1,4.01,0,,0,,0,0,0,25,,0,0,,0,0,14,6,42.9,,,,,,7,0,16,0,4,0,0,0,100,0,2,0,0,6,5,25,11,44,14,6,42.9,1.16,21.03,0.75,0.04,0.308,117,33.6,5.7,54.1,59.8,6.6,0.6,5.5,5,942,955,1036,1136,1085,1052
박주현,0.04,3,0,3,1,0,0,0,0,0,0,3,2,2,2,13,3,0,0,1,1,0,0,4,0,0,0,6,6,6,5.44,5.87,1.33,12,3,4,3,30.8,7.7,23.1,0.286,66.7,2.01,2.63,0.13,124.14,102.05,123.34,0.25,0.308,0.5,0.808,51,17,17,3.92,0,,0,,0,0,0,4,,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,17,0.03,0.04,0.286,7,37.5,25,37.5,62.5,0,0.6,20,33.3,942,955,1036,1136,1085,1052
김진호,0,2,0,2,1,0,0,0,0,0,0,2.1,2,2,2,12,3,0,0,0,2,0,0,3,0,0,0,7.71,7.71,7.71,8.07,3.64,2.14,11.57,7.71,1.5,0,25,16.7,8.3,0.5,60,3.73,4.4,4.07,159.61,151.32,76.58,0.333,0.455,0.333,0.788,52,26,22.3,4.33,0,,0,,0,0,0,2,,0,0,,0,0,0,0,,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,,1.17,26,0.06,0,0.5,6,57.1,0,42.9,42.9,0,1.3,0,33.3,942,955,1036,1136,1085,1052
류진욱,-0.03,50,0,50,5,0,0,2,1,0,10,42.1,27,30,31.9,194,52,8,0,4,19,2,0,37,1,0,3,5.74,6.38,6.78,6.7,4.68,1.68,7.87,4.04,1.95,0.85,19.1,9.8,9.3,0.369,64.2,3.64,4.29,1.06,118.76,125.61,98.33,0.308,0.38,0.426,0.806,760,15.2,18,3.92,0,,0,,0,0,0,22,,0,0,,0,0,30,12,40,,,,,,10,1,6,0,10,1,1,2,83.3,0,2,0,1,11,14,31,16,51.6,30,12,40,0.85,15.2,1.22,-0.03,0.369,130,54.4,6.6,35.3,41.9,3.7,1.3,7,9.6,942,955,1036,1136,1085,1052
손주환,-0.03,4,1,3,2,0,0,0,1,0,0,3.2,4,4,2.8,16,2,0,0,0,2,1,0,4,0,0,0,9.82,9.82,6.87,6.9,4.01,1.09,9.82,4.91,2,0,25,12.5,12.5,0.222,20,4.08,3.9,5.81,203.14,129.37,84.28,0.154,0.313,0.154,0.467,65,16.3,17.7,4.06,0,0,0,0,0,0,0,2,10.8,0,1,0,0,0,3,2,66.7,1.67,36,35,-0.14,-0.11,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,3,0,0,3,2,66.7,0.67,9.67,0.01,0.08,0.222,9,55.6,0,44.4,44.4,0,1.3,0,0,942,955,1036,1136,1085,1052
임상현,-0.03,12,7,5,1,0,0,1,5,0,0,40.1,29,35,34.5,181,46,13,0,5,23,2,0,21,1,0,1,6.47,7.81,7.7,7.64,6.29,1.71,4.69,5.13,0.91,1.12,11.6,12.7,-1.1,0.315,56.3,4.96,5.53,0.18,133.88,143.24,132.34,0.303,0.392,0.487,0.879,667,55.6,16.5,3.69,1,14.3,0,0,2,0,0,20,5.9,1,6,14.3,0,0,5,3,60,4.38,72.57,38.86,-0.6,-0.05,0,0,3,0,0,0,0,0,,0,0,0,0,3,6,2,2,100,5,3,60,1.93,31.8,0.2,0.02,0.315,130,35.6,6.7,55.6,62.2,2.2,0.6,6,6.5,942,955,1036,1136,1085,1052
최성영,-0.05,24,4,20,7,0,0,2,0,1,1,46.2,30,37,37.5,218,65,10,0,7,17,0,0,29,3,0,0,5.79,7.14,7.23,7.25,5.3,1.76,5.59,3.28,1.71,1.35,13.3,7.8,5.5,0.348,62.5,3.9,4.74,0.48,119.7,135.96,111.54,0.33,0.376,0.487,0.863,809,33.7,17.3,3.71,1,25,0,0,1,0,0,27,14.6,3,1,75,0,0,6,4,66.7,4.17,63,48.5,0.18,0.48,2,0,7,1,1,0,0,0,100,1,0,0,0,4,6,8,5,62.5,6,4,66.7,1.5,27.85,0.74,-0.52,0.355,166,41.9,3.5,49.4,52.9,5.2,0.8,7.7,6.2,942,955,1036,1136,1085,1052
채원후,-0.06,3,0,3,1,0,0,0,0,0,0,3,4,4,4,18,6,2,0,0,3,0,0,2,0,0,2,12,12,12,11.86,5.63,3,6,9,0.67,0,11.1,16.7,-5.6,0.462,55.6,5.79,6.07,6.37,248.28,222.52,118.43,0.4,0.5,0.533,1.033,73,24.3,24.3,4.06,0,,0,,0,0,0,1,,0,0,,0,0,2,0,0,,,,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,0,0,1,24.33,0.01,-0.06,0.462,13,46.2,0,53.8,53.8,0,0.9,0,0,942,955,1036,1136,1085,1052
배재환,-0.07,20,0,20,5,0,0,0,1,0,0,19.2,16,17,16.5,91,20,2,0,5,15,0,1,13,0,0,0,7.32,7.78,7.55,7.56,7.94,1.78,5.95,6.86,0.87,2.29,14.3,16.5,-2.2,0.268,64.3,5.04,5.66,-0.61,151.49,141.87,166.87,0.274,0.393,0.507,0.9,388,19.4,19.7,4.26,0,,0,,0,0,0,22,,0,0,,0,0,8,5,62.5,,,,,,3,0,4,0,0,0,0,0,,0,0,0,0,1,3,13,4,30.8,8,5,62.5,0.98,19.4,0.56,-0.07,0.268,56,33.3,6.3,57.1,63.5,3.2,0.5,12.5,5,942,955,1036,1136,1085,1052
