Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
김태오,0.9,5,10.39,0,,0,22.7,0,22.7,0.529,77.8,4.15,4.15,8.1,7.47,0.9,0.99,2.67,3.25,97.54,156.65,21.12,0.409,0.409,0.409,0.818,79,15.8,18.2,3.59
김민수,2.1,76,10.15,1.67,6.07,0.34,27.8,4.6,23.2,0.303,81.9,1.9,2.12,2.83,2.72,2.1,1.72,2.61,-0.2,44.54,57.14,49.27,0.221,0.269,0.302,0.571,1213,16,15,3.71
김재윤,2.54,61,10.58,2.85,3.71,0.68,29.2,7.9,21.3,0.256,68.3,3.26,3.53,3.39,3.3,2.54,1.72,2.84,0.72,76.46,69.24,59.55,0.19,0.254,0.277,0.531,1020,16.7,15.4,3.82
고영표,2.75,28,7.7,1.14,6.78,0.35,20.6,3,17.5,0.335,73.2,3.26,3.41,3.33,3.21,2.75,2.36,3.29,0.51,76.5,67.3,64.53,0.269,0.306,0.351,0.657,2617,93.5,14.4,3.45
안영명,3.03,4,2.7,0,,0,7.7,0,7.7,0.25,66.7,2.7,2.7,3.65,3.49,3.03,3.16,4.48,-0.33,63.4,73.22,71.25,0.25,0.231,0.333,0.564,49,12.3,14.7,3.77
이채호,3.12,38,7.86,3.19,2.46,0,20.5,8.3,12.2,0.275,72.3,2.95,3.19,3.92,3.81,3.12,3.2,3.94,-0.18,69.16,80,73.36,0.211,0.307,0.293,0.6,590,15.5,16.1,3.78
소형준,3.41,27,6.15,2.05,3,0.42,16.6,5.5,11.1,0.285,70.2,3.05,3.57,3.5,3.39,3.41,2.92,4.07,-0.36,71.54,71.08,80.08,0.243,0.291,0.324,0.615,2499,92.6,14.6,3.55
박영현,3.41,52,9.58,3.48,2.75,0.87,25.1,9.1,16,0.297,72.9,3.66,4.01,4.33,4.09,3.41,2.37,3.48,0.24,85.9,85.87,80.18,0.235,0.303,0.352,0.655,926,17.8,17.9,4.23
주권,3.45,58,5.51,1.42,3.88,0.53,15.3,3.9,11.3,0.348,71,3.91,3.91,3.43,3.42,3.45,2.83,4.04,0.46,91.76,71.75,80.98,0.304,0.33,0.398,0.728,754,13,14.9,3.71
엄상백,3.6,33,8.91,2.95,3.02,0.9,23.9,7.9,16,0.294,79.4,2.95,3.33,3.28,3.12,3.6,2.51,3.48,-0.65,69.27,65.37,84.52,0.239,0.302,0.372,0.674,2323,70.4,16.6,4
김민,3.94,6,9.39,2.35,4,1.17,28.6,7.1,21.4,0.188,83.3,2.35,2.35,2.93,3.01,3.94,2.46,2.83,-1.59,55.13,63.2,92.53,0.16,0.25,0.28,0.53,88,14.7,11.5,3.14
배제성,3.96,24,7.49,3.87,1.93,0.67,19.4,10,9.4,0.307,67.6,4.21,4.71,4.57,4.26,3.96,3.15,4.27,0.25,98.75,89.38,92.89,0.256,0.331,0.362,0.693,1824,76,17,3.98
데스파이네,3.98,30,6.79,2.65,2.56,0.77,17,6.6,10.3,0.355,68.5,4.53,5.19,4.87,4.7,3.98,3.04,4.16,0.54,106.31,98.52,93.57,0.304,0.358,0.41,0.768,2839,94.6,17.4,3.92
벤자민,4.04,17,7.17,2.23,3.21,1.02,20,6.2,13.8,0.242,78.4,2.7,3.17,3.17,3.02,4.04,2.77,3.75,-1.34,63.4,63.32,94.98,0.216,0.27,0.342,0.612,1449,85.2,15,3.76
지명성,4.08,2,4.5,0,,0,10,0,10,0.375,75,4.5,4.5,4.5,4.15,4.08,4.22,4.2,0.42,105.67,87.03,95.9,0.333,0.4,0.333,0.733,33,16.5,16.5,3.3
박시영,4.14,17,6.32,2.3,2.75,1.15,16.2,5.9,10.3,0.347,75,4.6,4.6,4.08,4,4.14,2.71,4.16,0.45,107.91,83.83,97.25,0.311,0.348,0.426,0.774,229,13.5,14.6,3.37
쿠에바스,4.74,2,6.55,4.09,1.6,0.82,20,12.5,7.5,0.04,71.4,2.45,2.45,2.45,2.41,4.74,3.74,4.5,-2.28,57.64,50.53,111.27,0.059,0.2,0.147,0.347,167,83.5,15.2,4.18
조현우,4.81,19,3.75,3,1.25,0,8.8,7,1.8,0.318,63.6,4.5,6,3.9,3.72,4.81,4.93,5.19,-0.31,105.67,78.08,112.92,0.286,0.386,0.388,0.774,195,10.3,16.3,3.42
심재민,4.82,44,4.36,3.32,1.31,0.83,11.4,8.7,2.7,0.264,75.5,3.74,3.95,4.55,4.45,4.82,3.8,5.07,-1.08,87.78,93.36,113.08,0.25,0.322,0.384,0.706,696,15.8,16.1,3.78
이상우,4.89,2,2.7,5.4,0.5,0,7.1,14.3,-7.1,0.273,80,2.7,2.7,6.89,6.35,4.89,5.01,6.26,-2.19,63.4,133.15,114.92,0.25,0.357,0.333,0.69,40,20,12,2.86
전유수,5.82,8,1.64,4.09,0.4,0.82,3.7,9.3,-5.6,0.348,57.1,8.18,8.18,10.43,10.04,5.82,4.86,6.07,2.36,192.12,210.63,136.67,0.347,0.407,0.531,0.938,201,25.1,18.3,3.72
하준호,6.17,20,8.27,8.82,0.94,1.1,19.5,20.8,-1.3,0.333,56.7,8.27,8.82,8.46,8.54,6.17,4.79,5.56,2.09,194.08,179.01,144.92,0.281,0.434,0.421,0.855,319,16,19.5,4.14
류희운,6.33,8,7.94,1.59,5,3.18,19.2,3.8,15.4,0.444,25,14.29,14.29,14.06,12.96,6.33,2.27,3.55,7.97,335.64,271.83,148.53,0.4,0.423,0.64,1.063,104,13,18.4,4
