Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
안우진,8.64,30,30,0,1,1,0,15,8,0,0,196,46,51,50.65,766,131,36,4,4,55,4,1,224,6,1,7,2.11,2.34,2.33,2.36,2.09,0.95,10.29,2.53,4.07,0.18,29.2,7.2,22.1,0.268,75.5,1.92,2.75,0.03,53.25,53.2,52.62,0.188,0.25,0.268,0.518,3003,100.1,15.3,3.92,24,80,15,50,2,0,0,77,3.5,17,13,56.7,0,0,7,1,14.3,6.53,100.1,64.97,5.16,8.64,0,0,0,0,0,0,0,0,,0,0,0,0,23,5,0,0,,7,1,14.3,,,,,0.268,474,43.5,5.6,47.6,53.2,3.3,0.8,1.6,6.9,943,989,1095,1250,761,1113
요키시,6.47,30,30,0,0,0,0,10,8,0,0,185.1,53,61,59.8,746,169,31,3,8,33,5,0,154,13,0,2,2.57,2.96,2.9,3.06,2.86,1.09,7.48,1.6,4.67,0.39,20.6,4.4,16.2,0.302,74.5,2.41,3.45,-0.28,64.88,68.93,72,0.244,0.282,0.331,0.613,2912,97.1,15.7,3.9,22,73.3,9,30,3,0,0,75,3.6,13,16,44.8,0,0,7,2,28.6,6.18,97.07,57.83,3.17,6.47,0,0,0,0,0,0,0,0,,0,0,0,0,19,8,0,0,,7,2,28.6,,,,,0.302,534,56.5,3.1,37.4,40.4,3.1,1.4,3.6,8.3,943,989,1095,1250,761,1113
김재웅,2.88,65,0,65,18,0,0,3,2,13,27,62.2,14,14,15.4,254,39,8,1,4,29,4,2,56,1,0,4,2.01,2.01,2.21,2.3,3.84,1.09,8.04,4.17,1.93,0.57,22,11.4,10.6,0.222,87.9,3.17,4.12,-1.83,50.69,51.74,96.88,0.179,0.287,0.28,0.567,1043,16,16.6,4.11,0,,0,,0,0,0,24,,0,0,,0,0,1,1,100,,,,,,19,3,1,13,27,2,0,2,95.2,0,0,1,0,36,4,14,4,28.6,1,1,100,0.96,16.05,1.55,2.88,0.222,158,37.6,7.9,52.1,60,2.4,0.6,4,2.6,943,989,1095,1250,761,1113
애플러,2.55,33,25,8,2,1,1,6,8,0,0,140.1,67,69,68.3,622,172,34,1,13,40,6,1,86,8,0,4,4.3,4.43,4.38,4.46,4.37,1.51,5.52,2.57,2.15,0.83,13.8,6.4,7.4,0.339,74.5,3.36,4.51,-0.07,108.32,100.42,110.18,0.304,0.355,0.437,0.792,2369,71.8,16.9,3.81,8,32,3,12,11,0,0,76,5.3,15,10,60,0,0,12,1,8.3,5.15,86.12,46.92,0.03,2.31,2,0,4,0,0,0,0,0,,0,0,0,0,11,13,2,0,0,12,1,8.3,1.46,27,1.13,0.24,0.339,469,50.2,2.9,43.1,45.9,3.9,1.1,5.8,9.3,943,989,1095,1250,761,1113
최원태,2.23,26,20,6,0,0,0,7,5,0,0,105.2,44,50,46.75,446,93,25,0,5,40,5,0,63,7,0,5,3.75,4.26,3.98,4.15,4.18,1.26,5.37,3.41,1.58,0.43,14.1,9,5.2,0.265,67.2,3.7,4.78,-0.43,94.47,93.43,105.3,0.234,0.31,0.334,0.644,1746,67.2,16.5,3.91,6,30,1,5,9,0,0,72,6.5,12,7,63.2,0,0,15,7,46.7,4.98,81.8,51.45,0.6,2.37,1,0,1,0,0,1,0,1,0,0,0,0,0,11,7,6,0,0,15,7,46.7,1,18.33,1.74,-0.15,0.265,332,46.2,4.4,45.3,49.7,4.1,0.9,3,7.5,943,989,1095,1250,761,1113
한현희,1.12,21,14,7,0,0,0,6,4,0,0,77.2,41,44,41.25,346,83,20,1,9,24,8,0,59,5,0,2,4.75,5.1,4.78,4.81,4.54,1.38,6.84,2.78,2.46,1.04,17.1,6.9,10.1,0.303,69.6,3.26,4.19,0.21,119.77,108.4,114.48,0.268,0.334,0.426,0.76,1338,63.7,17.2,3.87,6,42.9,2,14.3,4,0,0,36,4.7,9,5,64.3,0,0,10,5,50,4.93,83.79,48.29,-0.14,1.09,2,0,2,0,0,0,0,0,,0,0,0,0,8,9,1,0,0,10,5,50,1.24,23.57,0.62,0.03,0.303,244,43.1,7.5,46.7,54.1,2.7,0.8,6.5,4.8,943,989,1095,1250,761,1113
문성현,1.08,45,0,45,15,0,0,0,1,13,9,41.1,15,16,16.5,168,34,5,0,3,14,1,0,32,2,0,2,3.27,3.48,3.59,3.62,3.84,1.16,6.97,3.05,2.29,0.65,19,8.3,10.7,0.265,73.3,3.05,4.11,-0.57,82.34,81.46,96.74,0.224,0.293,0.316,0.609,692,15.4,16.7,4.12,0,,0,,0,0,0,7,,0,0,,0,0,5,1,20,,,,,,12,1,1,13,9,4,0,4,84.6,0,2,0,0,18,7,9,2,22.2,5,1,20,0.92,15.38,1.45,1.08,0.265,117,50.4,4.1,43,47.1,2.5,1.1,5.3,11.8,943,989,1095,1250,761,1113
이승호,0.9,53,0,53,15,0,0,3,2,10,10,50.1,20,20,22.6,215,44,9,0,7,27,3,1,44,1,0,6,3.58,3.58,4.04,4.21,5.1,1.41,7.87,4.83,1.63,1.25,20.5,12.6,7.9,0.289,84.4,3.53,4.45,-1.53,90.15,94.85,128.6,0.249,0.354,0.418,0.772,820,15.5,16.3,3.81,0,,0,,0,0,0,13,,0,0,,0,0,10,3,30,,,,,,10,2,3,10,10,3,1,4,83.3,0,1,0,1,23,7,22,9,40.9,10,3,30,0.95,15.47,1.42,0.9,0.289,128,45.4,3.5,48.2,51.8,2.8,0.9,9.6,6.8,943,989,1095,1250,761,1113
정찬헌,0.58,20,20,0,0,0,0,5,6,0,0,87.1,52,55,53.8,390,106,21,0,13,28,6,2,42,6,0,3,5.36,5.67,5.54,5.64,5.56,1.53,4.33,2.89,1.5,1.34,10.8,7.2,3.6,0.31,69.7,3.88,4.97,-0.2,135.09,127.09,140.16,0.302,0.36,0.473,0.833,1395,69.8,16,3.58,5,25,0,0,9,0,0,60,6.2,11,9,55,0,0,11,3,27.3,4.37,69.75,44.1,-0.97,0.58,0,0,0,0,0,0,0,0,,0,0,0,0,5,11,0,0,,11,3,27.3,,,,,0.31,300,51,4.5,42.7,47.1,1.9,1.1,8.8,11.3,943,989,1095,1250,761,1113
김태훈,0.53,43,0,43,12,0,0,3,2,9,10,43,15,18,21.05,188,40,7,0,3,20,2,2,34,5,0,2,3.14,3.77,4.41,4.6,4.15,1.4,7.12,4.19,1.7,0.63,18.1,10.6,7.4,0.298,75.9,3.39,4.51,-1.01,79.14,103.58,104.66,0.255,0.339,0.357,0.696,694,16.1,16.1,3.69,0,,0,,0,0,0,14,,0,0,,0,0,6,0,0,,,,,,15,3,2,9,10,4,0,4,82.6,0,0,1,0,20,8,9,6,66.7,6,0,0,1,16.14,1.61,0.53,0.298,124,56.8,4.5,35.6,40.2,3,1.4,5.7,10,943,989,1095,1250,761,1113
