Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
파슨스,1.04,8,8,0,0,0,0,1,2,0,0,43,17,19,18.3,182,34,4,2,4,21,1,0,43,2,0,8,3.56,3.98,3.83,3.95,3.98,1.28,9,4.4,2.05,0.84,23.6,11.5,12.1,0.268,74,2.94,3.95,-0.42,86.1,85.37,96.24,0.214,0.309,0.34,0.649,767,95.9,17.8,4.21,4,50,0,0,2,0,0,16,3.3,2,6,25,0,0,4,1,25,5.38,95.88,54.13,0.27,1.04,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,0,0,,4,1,25,,,,,0.268,112,47.9,4.3,45.3,49.6,2.6,1,6.9,5.9
임정호,0.34,33,0,33,1,0,0,1,2,0,6,25,9,11,12.2,104,21,3,1,1,7,2,0,30,1,1,0,3.24,3.96,4.39,4.5,2.38,1.12,10.8,2.52,4.29,0.36,28.8,6.7,22.1,0.313,65.5,1.96,2.75,0.86,78.4,97.34,57.5,0.221,0.288,0.305,0.593,429,13,17.2,4.13,0,,0,,0,0,0,10,,0,0,,0,0,16,6,37.5,,,,,,7,0,1,0,6,0,0,0,100,0,2,0,0,7,5,15,7,46.7,16,6,37.5,0.76,13,1.17,0.34,0.313,64,56.9,4.6,38.5,43.1,0,1.3,3.6,19
더모디,0.22,8,8,0,0,0,0,3,5,0,0,39.2,20,27,25.3,179,42,8,0,3,13,7,0,37,3,0,1,4.54,6.13,5.74,5.75,3.92,1.39,8.4,2.95,2.85,0.68,20.7,7.3,13.4,0.333,60.3,3.1,3.79,0.62,109.81,124.38,94.74,0.269,0.35,0.378,0.728,743,92.9,18.7,4.15,2,25,1,12.5,2,0,0,22,5,3,5,37.5,0,0,7,3,42.9,4.96,92.88,47.38,-0.48,0.22,0,0,0,0,0,0,0,0,,0,0,0,0,2,4,0,0,,7,3,42.9,,,,,0.333,117,48.4,4.9,43.4,48.4,3.3,1,5.1,14.3
하준영,0.22,47,0,47,7,0,0,3,0,0,4,39,20,22,22.5,164,28,5,0,3,14,3,1,44,2,0,2,4.62,5.08,5.19,5.32,3.23,1.08,10.15,3.23,3.14,0.69,26.8,8.5,18.3,0.258,56.1,2.39,3.2,1.39,111.68,114.92,78.17,0.194,0.28,0.292,0.572,660,14,16.9,4.02,0,,0,,0,0,0,24,,0,0,,0,0,15,6,40,,,,,,6,0,3,0,4,0,1,1,80,0,0,0,1,4,5,26,7,26.9,15,6,40,0.83,14.04,0.68,0.22,0.258,97,42.7,6.8,47.6,54.4,2.9,0.8,5.4,10.7
전사민,0.12,7,0,7,2,0,0,0,0,0,0,8.1,3,4,4,34,5,0,0,1,6,0,0,2,1,0,0,3.24,4.32,4.32,4.33,6.84,1.32,2.16,6.48,0.33,1.08,5.9,17.6,-11.8,0.16,70,5.49,6.81,-3.6,78.4,93.57,165.61,0.179,0.324,0.286,0.61,143,20.4,17.2,4.21,0,,0,,0,0,0,5,,0,0,,0,0,0,0,,,,,,,1,0,2,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,,1.19,20.43,0.05,0.12,0.16,25,50,7.7,38.5,46.2,3.8,1.1,8.3,0
박동수,0.06,10,0,10,4,0,0,0,0,0,0,14.2,9,10,9.5,74,11,3,0,0,21,1,0,15,0,0,1,5.52,6.14,5.83,5.84,5.88,2.18,9.21,12.89,0.71,0,20.3,28.4,-8.1,0.297,69.7,5.95,6.37,-0.35,133.64,126.2,142.22,0.212,0.446,0.269,0.715,319,31.9,21.8,4.31,0,,0,,0,0,0,12,,0,0,,0,0,7,1,14.3,,,,,,1,0,6,0,0,0,0,0,,0,0,0,0,1,0,3,0,0,7,1,14.3,1.47,31.9,0.25,0.06,0.297,37,48.6,5.4,45.9,51.4,0,0.9,0,0
한재승,0.04,12,0,12,2,0,0,0,0,0,2,10.2,3,4,6.75,54,13,2,0,0,10,1,1,11,1,0,0,2.53,3.38,5.7,5.75,4.4,2.16,9.28,8.44,1.1,0,20.4,18.5,1.9,0.406,83.3,4.48,5.18,-1.87,61.25,124.25,106.54,0.31,0.444,0.357,0.801,244,20.3,22.9,4.52,0,,0,,0,0,0,2,,0,0,,0,0,7,0,0,,,,,,0,0,2,0,2,0,0,0,100,0,0,0,0,1,0,10,5,50,7,0,0,0.89,20.33,0.35,0.04,0.406,32,50,6.3,43.8,50,0,1,0,7.7
하준수,0.02,2,0,2,1,0,0,0,0,0,0,3,2,2,2,15,3,1,0,0,3,0,0,1,0,0,0,6,6,6,5.85,6.05,2,3,9,0.33,0,6.7,20,-13.3,0.273,66.7,6.14,7,-0.05,145.19,126.39,146.42,0.25,0.4,0.333,0.733,46,23,15.3,3.07,0,,0,,0,0,0,2,,0,0,,0,0,0,0,,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1.5,23,0.03,0.02,0.273,11,45.5,0,45.5,45.5,9.1,1,0,33.3
이우석,-0.05,3,0,3,1,0,0,0,1,0,0,1.2,4,4,1.6,11,1,0,0,0,3,2,0,1,0,0,0,21.6,21.6,8.64,8.42,11.58,2.4,5.4,16.2,0.33,0,9.1,27.3,-18.2,0.2,33.3,11.62,7.58,10.02,522.67,182,280.31,0.167,0.545,0.167,0.712,52,17.3,31.2,4.73,0,,0,,0,0,0,0,,0,0,,0,0,4,4,100,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,4,4,100,0.56,17.33,0.8,-0.05,0.2,5,80,0,20,20,0,4,0,0
류진욱,-0.06,51,0,51,16,0,0,4,2,0,4,46.1,25,29,30.5,214,48,7,1,2,31,4,0,37,4,1,3,4.86,5.63,5.92,5.85,4.64,1.71,7.19,6.02,1.19,0.39,17.3,14.5,2.8,0.329,67.5,4.21,5.06,0.21,117.51,126.52,112.35,0.274,0.388,0.36,0.748,897,17.6,19.4,4.19,0,,0,,0,0,0,10,,0,0,,0,0,22,8,36.4,,,,,,6,0,9,0,4,0,1,1,80,0,0,0,0,8,8,34,10,29.4,22,8,36.4,0.91,17.59,0.88,-0.06,0.329,140,47.2,2.8,47.9,50.7,2.1,0.9,2.8,10.4
정구범,-0.06,2,0,2,1,0,0,0,0,0,0,1.1,2,2,2,6,1,0,0,1,1,0,0,2,0,0,0,13.5,13.5,13.5,13.16,11.28,1.5,13.5,6.75,2,6.75,33.3,16.7,16.7,0,0,2.44,3.4,2.22,326.67,284.38,273.05,0.2,0.333,0.8,1.133,24,12,18,4,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,0.67,12,0.13,-0.06,0,2,33.3,33.3,33.3,66.7,0,0.5,50,0
조민석,-0.06,18,0,18,7,0,0,0,1,0,0,16,8,9,10.9,76,17,1,0,2,12,2,0,14,2,0,2,4.5,5.06,6.13,6.27,5.8,1.81,7.88,6.75,1.17,1.13,18.4,15.8,2.6,0.341,78.6,4.37,5.08,-1.3,108.89,135.55,140.27,0.288,0.419,0.407,0.826,323,17.9,20.2,4.25,0,,0,,0,0,0,2,,0,0,,0,0,7,1,14.3,,,,,,2,0,3,0,0,0,0,0,,0,0,0,0,1,1,8,4,50,7,1,14.3,0.89,17.94,0.69,-0.06,0.341,44,60.4,10.4,27.1,37.5,2.1,1.6,11.1,11.8
심창민,-0.18,11,0,11,2,0,0,1,2,0,0,6.1,10,10,6.25,37,9,2,0,0,7,3,0,6,0,0,2,14.21,14.21,8.88,8.45,6.31,2.53,8.53,9.95,0.86,0,16.2,18.9,-2.7,0.45,47.4,6.41,5.72,7.9,343.86,182.57,152.7,0.346,0.528,0.423,0.951,158,14.4,24.9,4.27,0,,0,,0,0,0,15,,0,0,,0,0,9,8,88.9,,,,,,2,1,0,0,0,0,0,0,,0,0,0,0,1,3,3,1,33.3,9,8,88.9,0.58,14.36,0.87,-0.18,0.45,20,42.9,9.5,47.6,57.1,0,0.8,0,22.2
강동연,-0.21,6,0,6,2,0,0,0,0,0,0,8.2,10,10,10,44,16,5,1,2,3,1,0,3,0,0,1,10.38,10.38,10.38,10.12,7.1,2.19,3.12,3.12,1,2.08,6.8,6.8,0,0.4,58.8,4.44,5.4,3.29,251.28,218.76,171.7,0.4,0.455,0.725,1.18,157,26.2,18.1,3.57,0,,0,,0,0,0,1,,0,0,,0,0,1,0,0,,,,,,1,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,0,0,1.44,26.17,0.17,-0.21,0.4,35,56.8,2.7,37.8,40.5,2.7,1.4,13.3,6.3
김진호,-0.4,36,0,36,8,0,0,4,0,1,0,42.2,29,30,30.9,196,53,6,0,7,20,1,0,35,2,0,10,6.12,6.33,6.52,6.48,5.21,1.71,7.38,4.22,1.75,1.48,17.9,10.2,7.7,0.354,68.8,3.35,4.48,0.91,148.02,140.04,126.11,0.312,0.383,0.471,0.854,761,21.1,17.8,3.88,0,,0,,0,0,0,23,,0,0,,0,0,13,5,38.5,,,,,,4,0,13,1,0,0,2,2,33.3,0,0,0,0,6,9,19,7,36.8,13,5,38.5,1.19,21.14,1.01,-0.4,0.354,130,44.3,6.4,45,51.4,4.3,0.9,9.7,5.7
김건태,-0.47,16,0,16,2,0,0,0,0,0,0,18.1,9,15,16,86,22,7,0,2,12,2,2,16,1,0,1,4.42,7.36,7.85,7.68,4.93,1.85,7.86,5.89,1.33,0.98,18.6,14,4.7,0.385,63.6,3.75,4.84,-0.51,106.91,165.92,119.29,0.314,0.429,0.5,0.929,342,21.4,18.7,3.98,0,,0,,0,0,0,4,,0,0,,0,0,4,3,75,,,,,,2,0,6,0,0,0,2,2,0,0,0,0,2,2,4,13,6,46.2,4,3,75,1.15,21.38,1.13,-0.47,0.385,52,30.4,12.5,57.1,69.6,0,0.4,5.1,0
이용준,-0.6,10,2,8,2,0,0,0,1,0,0,22,21,23,24.05,116,33,11,1,4,13,3,0,19,3,0,3,8.59,9.41,9.84,9.65,6.04,2.09,7.77,5.32,1.46,1.64,16.4,11.2,5.2,0.377,60.5,3.98,4.78,2.55,207.88,208.59,146.23,0.337,0.422,0.592,1.014,468,46.8,21.3,4.03,0,0,0,0,1,0,0,9,13.5,0,1,0,0,0,4,2,50,3,66.5,32.5,-0.32,-0.21,0,0,5,0,0,0,0,0,,0,0,0,0,0,3,7,5,71.4,4,2,50,2,41.88,0.49,-0.38,0.377,77,45.7,1.2,46.9,48.1,6.2,0.9,10.3,3
