Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
임정호,2.38,33,10.8,2.52,4.29,0.36,28.8,6.7,22.1,0.313,65.5,3.24,3.96,4.39,4.5,2.38,1.96,2.75,0.86,78.4,97.34,57.5,0.221,0.288,0.305,0.593,429,13,17.2,4.13
이용찬,2.68,59,9.05,1.93,4.69,0.45,24.1,5.1,19,0.308,82.4,2.08,2.37,2.73,2.73,2.68,2.16,3.12,-0.6,50.26,59.08,64.76,0.238,0.286,0.311,0.597,952,16.1,15.7,3.76
루친스키,2.8,31,9.02,1.58,5.71,0.65,24.3,4.3,20.1,0.318,72.3,2.97,3.58,3.49,3.49,2.8,2.01,2.99,0.18,71.97,75.43,67.67,0.249,0.288,0.357,0.645,2974,95.9,15.4,3.73
구창모,3.03,19,8.7,2.34,3.72,0.56,23.9,6.4,17.5,0.286,80.9,2.1,2.58,2.43,2.43,3.03,2.36,3.3,-0.93,50.71,52.43,73.28,0.224,0.281,0.314,0.595,1756,92.4,15.7,3.89
하준영,3.23,47,10.15,3.23,3.14,0.69,26.8,8.5,18.3,0.258,56.1,4.62,5.08,5.19,5.32,3.23,2.39,3.2,1.39,111.68,114.92,78.17,0.194,0.28,0.292,0.572,660,14,16.9,4.02
원종현,3.63,68,7.11,2.42,2.94,0.71,19.2,6.5,12.7,0.27,77.3,2.98,3.13,4.29,4.18,3.63,2.75,3.88,-0.65,72.21,90.33,87.86,0.233,0.283,0.331,0.614,957,14.1,15.1,3.68
더모디,3.92,8,8.4,2.95,2.85,0.68,20.7,7.3,13.4,0.333,60.3,4.54,6.13,5.74,5.75,3.92,3.1,3.79,0.62,109.81,124.38,94.74,0.269,0.35,0.378,0.728,743,92.9,18.7,4.15
파슨스,3.98,8,9,4.4,2.05,0.84,23.6,11.5,12.1,0.268,74,3.56,3.98,3.83,3.95,3.98,2.94,3.95,-0.42,86.1,85.37,96.24,0.214,0.309,0.34,0.649,767,95.9,17.8,4.21
신민혁,4.12,26,7.99,2.36,3.39,1.14,20.2,6,14.2,0.318,70.9,4.56,4.87,4.7,4.63,4.12,2.71,3.7,0.44,110.42,99.97,99.75,0.275,0.328,0.44,0.768,2010,77.3,17,3.86
김시훈,4.16,59,8.53,4.64,1.84,0.76,21.6,11.8,9.9,0.298,77.7,3.24,3.78,3.63,3.53,4.16,3.24,4.22,-0.92,78.4,76.38,100.71,0.24,0.338,0.34,0.678,1449,24.6,17.4,3.97
