Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
김민우,3.36,29,29,0,1,1,0,6,11,0,0,163,79,82,78,711,143,40,1,16,84,8,8,129,9,0,13,4.36,4.53,4.31,4.33,4.61,1.39,7.12,4.64,1.54,0.88,18.1,11.8,6.3,0.274,71.8,3.53,4.64,-0.25,107.54,95.43,113.64,0.237,0.336,0.386,0.722,2752,94.9,16.9,3.87,13,44.8,5,17.2,6,0,0,64,3.5,9,19,32.1,0,0,9,7,77.8,5.62,94.9,50.76,0.47,3.36,0,0,0,0,0,0,0,0,,0,0,0,0,13,12,0,0,,9,7,77.8,,,0.02,,0.274,463,43.9,6.1,47.6,53.7,2.4,0.8,6.1,9.1
장민재,3.33,32,25,7,1,0,0,7,8,0,0,126.2,50,54,54,531,124,18,2,15,39,4,1,75,6,0,3,3.55,3.84,3.84,3.82,4.74,1.29,5.33,2.77,1.92,1.07,14.1,7.3,6.8,0.277,77.4,3.42,4.59,-1.19,87.59,84.1,116.89,0.259,0.317,0.399,0.716,2117,66.2,16.7,3.99,3,12,0,0,17,0,0,47,3.5,12,13,48,0,0,12,3,25,4.81,81.16,50.04,1.13,3.27,2,1,2,0,0,0,1,1,0,0,0,0,1,12,9,12,3,25,12,3,25,0.9,12.57,1.24,0.06,0.277,394,47,3.4,47.2,50.6,2.4,0.9,7.2,9.7
페냐,1.52,13,13,0,0,0,0,5,4,0,0,67.2,28,33,30.95,293,63,10,2,4,30,4,0,72,4,0,4,3.72,4.39,4.12,4.16,3.39,1.37,9.58,3.99,2.4,0.53,24.6,10.2,14.3,0.328,70.3,2.75,3.68,0.34,91.82,91.7,83.46,0.247,0.334,0.349,0.683,1211,93.2,17.9,4.13,5,38.5,0,0,4,0,0,35,4.7,5,8,38.5,0,0,9,4,44.4,5.21,93.15,51.92,0.32,1.52,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,0,0,,9,4,44.4,,,,,0.328,180,51.9,4.8,41.2,46,2.1,1.1,4.7,11.1
라미레즈,1.33,13,13,0,0,0,0,2,6,0,0,65.1,30,33,30.95,285,52,6,0,4,37,7,0,47,4,1,0,4.13,4.55,4.26,4.36,4.8,1.36,6.47,5.1,1.27,0.55,16.5,13,3.5,0.257,70,4.15,4.98,-0.67,101.89,95.94,118.39,0.219,0.34,0.295,0.635,1164,89.5,17.8,4.08,6,46.2,1,7.7,1,0,0,31,4.3,3,9,25,0,0,5,4,80,5.03,89.54,50.62,0.17,1.33,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,0,0,,5,4,80,,,,,0.257,187,50.8,6.2,41.5,47.7,1.6,1.1,4.3,19.2
윤산흠,1.06,37,0,37,7,0,0,1,1,0,3,33.2,10,12,11.45,155,23,7,0,1,30,2,4,46,5,0,6,2.67,3.21,3.06,3.04,3.48,1.57,12.3,8.02,1.53,0.27,29.7,19.4,10.3,0.293,79.6,3.18,4.16,-0.81,65.91,66.92,85.9,0.189,0.357,0.27,0.627,683,18.5,20.3,4.41,0,,0,,0,0,0,8,,0,0,,0,0,17,4,23.5,,,,,,4,0,6,0,3,2,0,2,60,0,1,0,0,11,6,16,3,18.8,17,4,23.5,0.91,18.46,1.03,1.06,0.293,75,55.8,6.5,35.1,41.6,2.6,1.3,3.1,17.4
김범수,0.7,78,0,78,5,0,0,3,7,0,27,66,32,36,34.8,289,64,13,0,5,35,3,5,58,4,0,2,4.36,4.91,4.75,4.78,4.13,1.5,7.91,4.77,1.66,0.68,20.1,12.1,8,0.322,69.5,3.3,4.44,0.23,107.58,105.33,101.89,0.261,0.359,0.376,0.735,1137,14.6,17.2,3.93,0,,0,,0,0,0,26,,0,0,,0,0,27,12,44.4,,,,,,19,2,2,0,27,5,1,6,81.8,0,6,1,0,27,16,29,10,34.5,27,12,44.4,0.85,14.58,1.49,0.7,0.322,183,50.3,4.1,42,46.1,3.6,1.1,5.6,15.6
카펜터,0.67,4,4,0,0,0,0,0,1,0,0,18,5,6,6,79,19,5,0,1,6,1,0,15,1,0,1,2.5,3,3,2.96,3.57,1.39,7.5,3,2.5,0.5,19,7.6,11.4,0.321,80,2.98,4.03,-1.07,61.64,65.18,87.95,0.268,0.329,0.38,0.709,330,82.5,18.3,4.18,0,0,0,0,4,0,0,6,3,1,3,25,0,0,0,0,,4.5,82.5,52.25,0.35,0.67,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,0,0,,0,0,,,,,,0.321,56,56.1,1.8,40.4,42.1,1.8,1.3,4.2,10.5
킹험,0.51,3,3,0,0,0,0,1,2,0,0,16.1,5,6,6,70,15,2,1,1,5,1,0,18,2,0,0,2.76,3.31,3.31,3.4,2.9,1.22,9.92,2.76,3.6,0.55,25.7,7.1,18.6,0.311,75,2.22,3.17,-0.14,67.93,74.96,71.41,0.238,0.3,0.349,0.649,286,95.3,17.5,4.09,2,66.7,0,0,0,0,0,5,2.8,1,2,33.3,0,0,4,0,0,5.44,95.33,56,0.22,0.51,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,0,0,,4,0,0,,,,,0.311,45,65.2,4.3,30.4,34.8,0,1.9,6.3,20
장시환,0.49,64,0,64,30,0,0,0,5,14,9,63.2,31,37,35.45,280,57,14,2,4,33,1,4,67,5,0,2,4.38,5.23,5.01,5.01,3.41,1.41,9.47,4.67,2.03,0.57,23.9,11.8,12.1,0.316,63.5,2.74,3.94,0.97,108.04,110.3,84.08,0.239,0.333,0.366,0.699,1182,18.5,18.6,4.22,0,,0,,0,0,0,15,,0,0,,0,0,8,7,87.5,,,,,,12,1,10,14,9,5,0,5,82.1,1,3,1,0,20,11,25,4,16,8,7,87.5,0.99,18.47,1.38,0.49,0.316,168,48.6,3.9,46.4,50.3,1.1,1,4.4,10.5
강재민,0.42,56,0,56,24,0,0,4,8,7,7,51.1,24,26,28.7,232,44,5,1,7,29,4,8,39,2,0,1,4.21,4.56,5.03,4.95,5.08,1.42,6.84,5.08,1.34,1.23,16.8,12.5,4.3,0.25,76.1,3.53,4.88,-0.87,103.74,109.09,125.19,0.228,0.339,0.373,0.712,911,16.3,17.7,3.93,0,,0,,0,0,0,13,,0,0,,0,0,14,3,21.4,,,,,,9,0,2,7,7,5,0,5,73.7,0,0,1,0,18,15,13,7,53.8,14,3,21.4,0.92,16.27,1.47,0.42,0.25,148,49.4,2.5,44.4,46.9,3.8,1.1,9.3,11.4
