name,G,GS,IP,ERA,W,L,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,start BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war
킹험,25,25,144,3.19,10,8,15,60,5,20,2,0,0,83,5.2,10,14,41.7,0,0,5,1,20,5.76,94.24,56.4,2.03,4.59
김민우,29,28,154.1,4.02,13,10,11,39.3,4,14.3,8,0,0,89,5.2,15,13,53.6,0,0,19,9,47.4,5.51,94.79,51.79,1.58,4.32
카펜터,31,30,169,3.99,5,12,12,40,4,13.3,7,0,0,73,3.9,7,18,28,0,0,10,4,40,5.63,99.43,52.4,0.17,3.18
윤대경,43,9,34.2,3.63,1,3,0,0,0,0,7,0,0,31,8,3,5,37.5,0,0,24,7,29.2,3.85,64.11,49.22,0.44,1.06
장민재,12,6,23.2,2.66,0,2,1,16.7,0,0,5,0,0,17,6.5,2,3,40,0,0,4,2,50,3.94,56.67,49.17,0.23,0.65
김기중,15,12,48.1,5.03,2,4,1,8.3,0,0,7,0,0,43,8,4,7,36.4,0,0,14,1,7.1,4.03,78.42,43.08,-0.47,0.39
남지민,3,3,7.1,7.36,0,1,0,0,0,0,2,0,0,1,1.2,0,2,0,0,0,5,2,40,2.44,51.33,42,-0.11,0.02
김범수,56,2,5.2,6.35,0,2,0,0,0,0,2,0,0,26,41.3,0,2,0,0,0,39,16,41,2.83,59.5,46.5,-0.08,0.02
배동현,20,4,14,7.07,0,3,0,0,0,0,3,0,0,17,10.9,1,3,25,0,0,16,5,31.3,3.5,70.25,39.5,-0.37,-0.12
정인욱,8,1,2,13.5,0,0,0,0,0,0,1,0,0,13,58.5,1,0,100,0,0,2,1,50,2,48,40,-0.17,-0.13
박주홍,2,1,1,36,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,25,1,49,28,-0.19,-0.17
장시환,19,16,67,6.99,0,11,1,6.3,1,6.3,8,0,0,20,2.7,3,11,21.4,0,0,17,10,58.8,4.19,80.88,39.25,-1.43,-0.23
김이환,14,5,11,11.45,0,1,0,0,0,0,2,0,0,23,18.8,3,2,60,0,0,12,5,41.7,2.2,53.8,35.2,-0.55,-0.35
이승관,8,2,1,72,0,2,0,0,0,0,0,0,0,1,9,0,2,0,0,0,9,7,77.8,0.5,30,26.5,-0.48,-0.47
김종수,49,0,0,,0,0,0,,0,,0,0,0,20,,0,0,,0,0,19,4,21.1,,,,,
서균,3,0,0,,0,0,0,,0,,0,0,0,6,,0,0,,0,0,1,1,100,,,,,
김기탁,19,0,0,,0,0,0,,0,,0,0,0,5,,0,0,,0,0,11,4,36.4,,,,,
윤산흠,5,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,5,1,20,,,,,
오동욱,34,0,0,,0,0,0,,0,,0,0,0,8,,0,0,,0,0,12,3,25,,,,,
송윤준,17,0,0,,0,0,0,,0,,0,0,0,7,,0,0,,0,0,6,2,33.3,,,,,
윤호솔,55,0,0,,0,0,0,,0,,0,0,0,8,,0,0,,0,0,23,7,30.4,,,,,
신지후,2,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,2,2,100,,,,,
정우람,50,0,0,,0,0,0,,0,,0,0,0,14,,0,0,,0,0,6,1,16.7,,,,,
정진호,3,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,
이충호,17,0,0,,0,0,0,,0,,0,0,0,12,,0,0,,0,0,11,5,45.5,,,,,
황영국,18,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,13,4,30.8,,,,,
김진영,20,0,0,,0,0,0,,0,,0,0,0,11,,0,0,,0,0,10,3,30,,,,,
장웅정,4,0,0,,0,0,0,,0,,0,0,0,4,,0,0,,0,0,0,0,,,,,,
신정락,20,0,0,,0,0,0,,0,,0,0,0,7,,0,0,,0,0,7,2,28.6,,,,,
임준섭,13,0,0,,0,0,0,,0,,0,0,0,6,,0,0,,0,0,14,4,28.6,,,,,
문동욱,1,0,0,,0,0,0,,0,,0,0,0,4,,0,0,,0,0,1,0,0,,,,,
주현상,43,0,0,,0,0,0,,0,,0,0,0,18,,0,0,,0,0,10,4,40,,,,,
강재민,58,0,0,,0,0,0,,0,,0,0,0,29,,0,0,,0,0,9,2,22.2,,,,,
강경학,1,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,2,0,0,,,,,
