Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD_1,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP_2,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
황영국,0,18,0,18,4,0,0,0,2,0,2,14.2,9,10,9.45,71,16,1,0,0,10,1,0,15,1,0,2,5.52,6.14,5.8,6.09,3.54,1.77,9.21,6.14,1.5,0,21.1,14.1,7,0.356,63,3.63,4.55,1.99,127.02,127.18,81.3,0.281,0.38,0.298,0.678,280,15.6,19.1,3.94,0,,0,,0,0,0,1,,0,0,,0,0,13,4,30.8,,,,,,1,0,3,0,2,2,0,2,50,0,0,2,0,2,5,14,4,28.6,13,4,30.8,0.81,15.56,1.09,0,0.356,45,44.4,0,51.1,51.1,4.4,0.9,0,6.3,,,,,,
정인욱,-0.01,8,1,7,2,0,0,0,0,0,0,9.1,5,6,6.7,44,6,1,0,2,10,0,0,6,2,0,0,4.82,5.79,6.46,6.56,8.03,1.71,5.79,9.64,0.6,1.93,13.6,22.7,-9.1,0.154,76.9,5.57,6.49,-3.21,110.89,137.06,184.71,0.176,0.364,0.382,0.746,212,26.5,22.7,4.82,0,0,0,0,1,0,0,13,58.5,1,0,100,0,0,2,1,50,2,48,40,-0.17,-0.13,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,3,2,66.7,2,1,50,1.05,23.43,0.17,0.12,0.154,26,42.9,7.1,42.9,50,7.1,0.9,14.3,16.7,,,,,,
박주홍,-0.02,2,1,1,0,0,0,1,1,0,0,3,4,4,3.65,18,2,0,0,0,9,0,0,3,0,0,1,12,12,10.95,10.03,10.57,3.67,9,27,0.33,0,16.7,50,-33.3,0.333,63.6,10.64,9.4,1.43,275.99,209.34,243.03,0.25,0.611,0.25,0.861,90,45,30,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,25,1,49,28,-0.19,-0.17,0,0,1,0,0,0,0,0,,0,0,0,0,1,1,2,0,0,4,1,25,2,41,1.34,0.15,0.333,6,33.3,16.7,50,66.7,0,0.5,0,0,,,,,,
신지후,-0.02,2,0,2,0,0,0,0,0,0,0,0.1,0,2,0.5,3,0,0,0,0,1,0,0,0,1,0,0,0,54,13.5,15.48,13.07,3,0,27,0,0,0,33.3,-33.3,0,-100,13.24,9.4,-13.07,0,323.22,300.52,0,0.333,0,0.333,14,7,42,4.67,0,,0,,0,0,0,1,,0,0,,0,0,2,2,100,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,2,100,0.17,7,0.11,-0.02,0,2,50,0,50,50,0,1,0,,,,,,,
윤산흠,-0.03,5,0,5,1,0,0,0,0,0,0,3,2,2,2.85,19,7,0,0,0,2,2,0,2,0,0,0,6,6,8.55,8.42,6.23,3,6,6,1,0,10.5,10.5,0,0.539,81.8,6.33,5.4,-0.23,137.99,175.79,143.36,0.467,0.579,0.467,1.046,75,15,25,3.95,0,,0,,0,0,0,1,,0,0,,0,0,5,1,20,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,2,100,5,1,20,0.6,15,0.25,-0.03,0.539,13,53.8,0,38.5,38.5,7.7,1.4,0,0,,,,,,
김이환,-0.05,14,5,9,2,0,0,0,1,0,0,26,22,22,19.3,132,32,5,0,2,22,4,0,13,1,0,1,7.62,7.62,6.68,6.78,6.53,2.08,4.5,7.62,0.59,0.69,9.8,16.7,-6.8,0.333,65.5,5.74,6.22,1.08,175.15,141.51,150.24,0.308,0.443,0.413,0.856,526,37.6,20.2,3.98,0,0,0,0,2,0,0,23,18.8,3,2,60,0,0,12,5,41.7,2.2,53.8,35.2,-0.55,-0.35,0,0,5,0,0,0,0,0,,0,0,0,0,3,3,5,1,20,12,5,41.7,1.67,28.56,0.4,0.31,0.333,90,36.6,8.6,51.6,60.2,3.2,0.6,3.6,6.3,,,,,,
오동욱,-0.06,34,0,34,13,0,0,0,1,0,2,25,15,17,18.2,117,21,9,0,3,16,5,0,13,4,0,0,5.4,6.12,6.55,6.84,6.5,1.48,4.68,5.76,0.81,1.08,11.1,13.7,-2.6,0.225,65.8,5.19,5.71,-1.1,124.2,142.88,149.47,0.221,0.359,0.411,0.77,455,13.4,18.2,3.89,0,,0,,0,0,0,8,,0,0,,0,0,12,3,25,,,,,,5,0,3,0,2,0,0,0,100,0,0,0,0,2,4,19,5,26.3,12,3,25,0.74,13.38,0.49,-0.06,0.225,80,36.1,9.6,50.6,60.2,3.6,0.6,6,4.8,,,,,,
장웅정,-0.17,4,0,4,2,0,0,0,0,0,0,7.1,8,8,8,38,15,4,0,4,2,0,0,4,0,0,1,9.82,9.82,9.82,10.54,9.74,2.32,4.91,2.46,2,4.91,10.5,5.3,5.3,0.393,81.8,3.43,4.77,0.08,225.81,220.02,224,0.417,0.447,0.861,1.308,136,34,18.5,3.58,0,,0,,0,0,0,4,,0,0,,0,0,0,0,,,,,,,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,,1.83,34,0.16,-0.17,0.393,28,21.9,3.1,68.8,71.9,6.3,0.3,17.4,0,,,,,,
강경학,-0.18,1,0,1,0,0,0,0,0,0,0,0.2,4,4,4,8,3,1,0,0,2,1,0,0,0,0,0,54,54,54,56.68,17.72,7.5,0,27,0,0,0,25,-25,0.6,33.3,17.98,8.4,36.28,1241.95,1183.62,407.47,0.6,0.75,0.8,1.55,28,28,42,3.5,0,,0,,0,0,0,0,,0,0,,0,0,2,0,0,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,0,0,0.67,28,0,-0.18,0.6,5,40,0,60,60,0,0.7,0,33.3,,,,,,
서균,-0.22,3,0,3,0,0,0,0,0,0,0,1.2,2,2,3.55,10,2,0,0,0,0,2,0,0,1,0,0,10.8,10.8,19.17,19.82,7.49,1.2,0,0,,0,0,0,0,0.286,50,7.66,5.4,3.31,248.39,413.89,172.19,0.333,0.444,0.333,0.777,37,12.3,22.2,3.7,0,,0,,0,0,0,6,,0,0,,0,0,1,1,100,,,,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,5,4,80,1,1,100,0.56,12.33,0.77,-0.22,0.286,7,37.5,0,62.5,62.5,0,0.6,0,0,,,,,,
김기탁,-0.22,19,0,19,4,0,0,0,0,0,4,12.1,8,10,10.5,58,14,4,1,0,7,1,0,12,1,0,0,5.84,7.3,7.66,7.78,3.35,1.7,8.76,5.11,1.71,0,20.7,12.1,8.6,0.368,54.5,3.45,4.37,2.49,134.26,162.45,76.94,0.298,0.379,0.426,0.805,226,11.9,18.3,3.9,0,,0,,0,0,0,5,,0,0,,0,0,11,4,36.4,,,,,,3,1,2,0,4,1,0,1,80,0,0,1,0,2,3,16,5,31.3,11,4,36.4,0.65,11.89,0.98,-0.22,0.368,38,35.9,0,59,59,5.1,0.6,0,7.1,,,,,,
이충호,-0.24,17,0,17,3,0,0,1,0,0,0,16.1,14,17,15.1,85,20,2,2,1,13,3,0,11,2,0,0,7.71,9.37,8.32,8.19,5.85,2.02,6.06,7.16,0.85,0.55,12.9,15.3,-2.4,0.339,54.3,5.22,5.68,1.87,177.42,171.02,134.51,0.294,0.429,0.426,0.855,332,19.5,20.3,3.91,0,,0,,0,0,0,12,,0,0,,0,0,11,5,45.5,,,,,,1,0,5,0,0,0,0,0,,0,0,0,0,1,2,8,3,37.5,11,5,45.5,0.96,19.53,0.56,-0.24,0.339,56,51.7,3.4,43.1,46.6,1.7,1.1,3.7,10,,,,,,
정우람,-0.24,50,0,50,37,0,0,1,4,15,1,44.2,28,29,29.85,199,47,5,0,5,20,5,2,32,2,0,0,5.64,5.84,6.01,6.26,4.9,1.5,6.45,4.03,1.6,1.01,16.1,10.1,6,0.316,66.2,3.68,4.68,0.74,129.76,130.66,112.79,0.28,0.369,0.399,0.768,817,16.3,18.3,4.11,0,,0,,0,0,0,14,,0,0,,0,0,6,1,16.7,,,,,,8,0,4,15,1,5,0,5,76.2,1,0,0,0,18,10,14,3,21.4,6,1,16.7,0.89,16.34,1.53,-0.24,0.316,133,34.5,8.5,52.8,61.3,4.2,0.6,5.7,12.8,,,,,,
장시환,-0.36,19,16,3,2,1,0,0,11,0,1,69,54,62,57,342,87,12,1,4,48,6,2,47,6,0,7,7.04,8.09,7.43,7.67,5.18,1.96,6.13,6.26,0.98,0.52,13.7,14,-0.3,0.352,58.5,4.59,5.44,1.86,161.99,160.25,119.13,0.306,0.413,0.398,0.811,1329,69.9,19.3,3.89,1,6.3,1,6.3,8,0,0,20,2.7,3,11,21.4,0,0,17,10,58.8,4.19,80.88,39.25,-1.43,-0.23,0,0,0,0,1,0,0,0,100,0,0,0,0,2,9,1,1,100,17,10,58.8,0.67,11.67,0.33,-0.12,0.352,236,48.1,4.1,45.6,49.8,2.1,1,3.3,9.2,,,,,,
이승관,-0.82,8,2,6,1,0,0,0,2,0,0,5.2,17,20,17.05,44,11,3,1,1,16,0,0,5,0,0,1,27,31.76,27.08,28.38,12.41,4.76,7.94,25.41,0.31,1.59,11.4,36.4,-25,0.476,26.9,10.5,8.4,14.59,620.97,592.54,285.51,0.423,0.628,0.731,1.359,193,24.1,34.1,4.39,0,0,0,0,0,0,0,1,9,0,2,0,0,0,9,7,77.8,0.5,30,26.5,-0.48,-0.47,0,0,1,0,0,0,0,0,,0,0,0,0,0,2,1,1,100,9,7,77.8,0.78,22.17,0.12,-0.35,0.476,21,21.7,8.7,69.6,78.3,0,0.3,5.6,0,,,,,,
임준섭,-0.86,13,0,13,2,0,0,0,0,0,0,10.2,13,18,17.8,64,19,5,0,1,8,4,0,11,3,1,1,10.97,15.19,15.02,16.6,5.79,2.53,9.28,6.75,1.38,0.84,17.2,12.5,4.7,0.45,43.3,4.77,4.84,5.18,252.27,346.59,133.21,0.373,0.484,0.529,1.013,268,20.6,25.1,4.19,0,,0,,0,0,0,6,,0,0,,0,0,14,4,28.6,,,,,,2,0,4,0,0,0,0,0,,0,0,0,0,1,2,9,2,22.2,14,4,28.6,0.82,20.62,0.47,-0.86,0.45,40,56.1,0,41.5,41.5,2.4,1.4,5.9,10.5,,,,,,
신정락,-1.24,20,0,20,4,0,0,0,2,0,2,20,19,24,26.45,102,25,6,1,3,15,3,2,14,2,0,0,8.55,10.8,11.9,12.12,6.28,2,6.3,6.75,0.93,1.35,13.7,14.7,-1,0.349,48.7,4.62,5.52,2.27,196.64,253.01,144.48,0.333,0.439,0.56,0.999,384,19.2,19.2,3.76,0,,0,,0,0,0,7,,0,0,,0,0,7,2,28.6,,,,,,3,0,5,0,2,0,0,0,100,0,0,0,0,3,6,16,6,37.5,7,2,28.6,1,19.2,0.9,-1.24,0.349,63,37.1,4.3,57.1,61.4,1.4,0.6,7,20,,,,,,
