Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
윤성빈,0,4,50,25,25,50,0,1,0,
김민수,0,2,50,0,50,50,0,1,0,
오윤석,0,2,0,50,50,100,0,0,0,
추재현,0,2,50,0,50,50,0,1,0,
홍민기,0,1,100,0,0,0,0,,,
박선우,0.167,6,66.7,0,33.3,33.3,0,2,0,0
강동호,0.25,4,75,0,25,25,0,3,0,0
나원탁,0.25,4,50,0,50,50,0,1,0,0
박재민,0.25,8,33.3,0,55.6,55.6,11.1,0.6,20,0
박세웅,0.256,472,52.5,4.6,39.4,44.1,3.4,1.2,9.1,8.5
진명호,0.266,64,37.3,1.5,61.2,62.7,0,0.6,7.1,5
김원중,0.273,161,45.7,4.6,48,52.6,1.7,0.9,6.6,12
구승민,0.276,152,38.3,8,48.8,56.8,4.9,0.7,5.4,12.8
최준용,0.282,124,36.1,9,50.4,59.4,4.5,0.6,7.6,19.5
배성근,0.286,7,14.3,14.3,71.4,85.7,0,0.2,0,0
프랑코,0.291,436,42.4,7.2,48.9,56.1,1.5,0.8,7.8,10.2
정우준,0.294,17,27.8,11.1,50,61.1,11.1,0.5,9.1,0
김대우,0.304,92,54.5,4,37.6,41.6,4,1.3,9.5,9.4
김진욱,0.315,124,46.2,6.9,42.3,49.2,4.6,0.9,4.7,2.4
스트레일리,0.328,458,41.6,7.1,48.5,55.7,2.7,0.7,4.5,9.9
김도규,0.328,116,38.8,9.9,43,52.9,8.3,0.7,4.7,7.3
이승헌,0.33,191,55.3,5.6,37.1,42.6,2,1.3,2.4,15.4
이강준,0.333,18,42.1,5.3,52.6,57.9,0,0.7,9.1,0
최영환,0.336,122,50.4,3.9,40.9,44.9,4.7,1.1,7,4.4
정성종,0.34,50,65.4,3.8,26.9,30.8,3.8,2.1,12.5,10.5
김건국,0.343,70,50.7,4.1,45.2,49.3,0,1,8.3,3.7
김유영,0.345,58,52.5,5.1,40.7,45.8,1.7,1.1,3.7,9.5
나균안,0.347,167,41.9,5.2,50,55.2,2.9,0.8,4.2,8.1
이인복,0.348,201,57,1.9,36.7,38.6,4.3,1.5,6.3,9.3
강윤구,0.35,40,40.5,4.8,52.4,57.1,2.4,0.7,8.3,6.3
노경은,0.352,193,36.9,4.9,55.8,60.7,2.4,0.6,8.8,6.3
서준원,0.374,179,47.1,3.7,47.6,51.3,1.6,0.9,5.2,8.3
오현택,0.382,68,38.6,5.7,52.9,58.6,2.9,0.7,4.9,10.7
한승혁,0.385,13,28.6,0,71.4,71.4,0,0.4,10,0
송재영,0.429,49,37.7,9.4,47.2,56.6,5.7,0.7,10,0
김창훈,0.429,28,27.6,6.9,58.6,65.5,6.9,0.4,5.3,7.7
김동우,0.45,20,63.6,0,36.4,36.4,0,1.8,12.5,0
박진형,0.511,47,58.3,4.2,37.5,41.7,0,1.4,5,12
강태율,0.667,3,100,0,0,0,0,,,50
