Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
고영창,0.36,27,0,27,10,0,0,0,1,0,0,24,5,5,11.65,104,24,3,0,2,10,3,0,9,0,0,0,1.88,1.88,4.37,4.47,5.52,1.42,3.38,3.75,0.9,0.75,8.7,9.6,-1,0.282,94.1,4.61,5.52,-3.64,46.57,99.19,137.03,0.276,0.363,0.379,0.742,373,13.8,15.5,3.59,0,,0,,0,0,0,6,,0,0,,0,0,6,0,0,,,,,,2,0,5,0,0,0,1,1,0,0,0,0,1,0,4,25,12,48,6,0,0,0.89,13.81,0.73,0.36,0.282,78,54.9,3.7,39,42.7,2.4,1.3,5.7,0,974,984,1021,742,1006,1000
윤중현,0.31,47,0,47,4,0,0,3,1,0,5,53.2,30,32,30.65,240,63,8,0,4,14,5,0,27,5,0,1,5.03,5.37,5.14,5.28,4.51,1.43,4.53,2.35,1.93,0.67,11.3,5.8,5.4,0.321,65.8,3.71,4.75,0.52,124.95,117.16,112.03,0.294,0.35,0.388,0.738,878,18.7,16.4,3.66,0,,0,,0,0,0,29,,0,0,,0,0,24,11,45.8,,,,,,10,1,13,0,5,1,1,2,71.4,0,1,1,0,10,13,29,7,24.1,24,11,45.8,1.14,18.68,1.05,0.31,0.321,184,54.6,3.1,39.2,42.3,3.1,1.3,4.9,7.9,974,984,1021,742,1006,1000
한승혁,0.25,24,16,8,2,0,0,4,3,0,0,80.1,47,52,52.55,376,100,13,3,4,40,6,0,69,5,0,6,5.27,5.83,5.89,5.97,4,1.74,7.73,4.48,1.73,0.45,18.4,10.6,7.7,0.378,67.1,3.49,4.47,1.26,130.78,132.41,99.46,0.308,0.391,0.403,0.794,1415,59,17.6,3.76,4,25,1,6.3,9,0,0,61,7.7,10,6,62.5,0,0,18,2,11.1,4.48,75.75,45.88,-0.71,0.57,0,0,2,0,0,1,0,1,0,0,0,1,0,7,12,4,3,75,18,2,11.1,1.08,25.38,1.27,-0.32,0.378,254,51.7,6.5,38.7,45.2,3.1,1.1,3.4,7,974,984,1021,742,1006,1000
장지수,0.13,1,0,1,0,0,0,0,0,0,0,2,0,0,0,9,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,4.08,1.5,4.5,4.5,1,0,11.1,11.1,0,0.286,100,4.25,5.4,-4.08,0,0,101.44,0.25,0.333,0.25,0.583,29,29,14.5,3.22,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0,0,,2,29,0.99,0.13,0.286,7,14.3,14.3,71.4,85.7,0,0.2,0,0,974,984,1021,742,1006,1000
이승재,0.07,1,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4.38,0,9,0,,0,25,0,25,0,100,4.49,2.4,-4.38,0,0,108.89,0,0.25,0,0.25,18,18,18,4.5,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,,0,0,,1,18,1.19,0.07,0,2,0,0,100,100,0,0,0,,974,984,1021,742,1006,1000
김현수,0.03,1,0,1,1,0,0,0,0,0,0,2,1,1,1,9,3,1,0,0,1,0,0,1,0,0,0,4.5,4.5,4.5,4.19,4.08,2,4.5,4.5,1,0,11.1,11.1,0,0.429,75,4.14,5.4,0.42,111.76,93.02,101.44,0.375,0.444,0.5,0.944,30,30,15,3.33,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,2,30,0.01,0.03,0.429,7,71.4,0,28.6,28.6,0,2.5,0,0,974,984,1021,742,1006,1000
김도현,0.02,4,2,2,1,0,0,0,1,0,0,10.2,7,7,6.5,48,14,1,0,2,5,0,0,11,0,0,0,5.91,5.91,5.48,5.08,4.89,1.78,9.28,4.22,2.2,1.69,22.9,10.4,12.5,0.4,75,2.74,3.9,1.02,146.69,112.73,121.46,0.326,0.396,0.488,0.884,191,47.8,17.9,3.98,0,0,0,0,1,0,0,6,9.5,0,2,0,0,0,1,1,100,2.83,62,37,-0.29,-0.19,0,0,2,0,0,0,0,0,,0,0,0,0,0,2,0,0,,1,1,100,2.5,33.5,0.07,0.21,0.4,30,50,3.1,43.8,46.9,3.1,1.1,13.3,7.1,974,984,1021,742,1006,1000
홍상삼,0.01,24,0,24,6,0,0,2,1,0,1,21.2,14,16,14.65,100,19,7,0,3,15,1,0,19,2,0,1,5.82,6.65,6.09,6.17,5.53,1.57,7.89,6.23,1.27,1.25,19,15,4,0.267,61.3,3.96,4.92,0.29,144.43,136.81,137.31,0.232,0.357,0.427,0.784,417,17.4,19.2,4.17,0,,0,,0,0,0,19,,0,0,,0,0,9,3,33.3,,,,,,5,0,4,0,1,0,0,0,100,0,0,0,0,1,4,10,1,10,9,3,33.3,0.9,17.38,0.43,0.01,0.267,60,47.7,10.8,40,50.8,1.5,0.9,9.1,5.3,974,984,1021,742,1006,1000
장재혁,0.01,3,0,3,2,0,0,0,0,0,0,3,2,2,2,15,3,0,0,0,3,0,0,4,0,0,2,6,6,6,6.16,3.55,2,12,9,1.33,0,26.7,20,6.7,0.429,66.7,3.61,4.6,2.45,149.02,136.67,88.19,0.273,0.429,0.273,0.702,65,21.7,21.7,4.33,0,,0,,0,0,0,3,,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,21.67,0.07,0.01,0.429,7,62.5,0,37.5,37.5,0,1.7,0,0,974,984,1021,742,1006,1000
로니,-0.04,10,9,1,0,0,0,3,3,0,0,44.1,29,36,32.4,208,47,7,1,7,28,3,0,32,4,1,2,5.89,7.31,6.58,6.7,6.03,1.69,6.5,5.68,1.14,1.42,15.4,13.5,1.9,0.296,61.8,4.22,5.17,-0.14,146.22,148.55,149.67,0.273,0.38,0.448,0.828,825,82.5,18.6,3.97,1,11.1,1,11.1,2,0,0,38,8.1,6,3,66.7,0,0,15,7,46.7,4.7,87,42.56,-0.76,0,0,0,1,0,0,0,0,0,,0,0,0,0,2,6,0,0,,15,7,46.7,2,42,0.15,-0.03,0.296,135,57.9,2.1,37.2,39.3,2.8,1.5,12.3,12.8,974,984,1021,742,1006,1000
김유신,-0.07,10,0,10,1,0,0,1,0,0,0,14.2,10,11,10.55,70,9,4,0,3,16,0,0,9,1,0,0,6.14,6.75,6.47,6.47,8.07,1.7,5.52,9.82,0.56,1.84,12.9,22.9,-10,0.146,66.7,5.75,6.6,-1.93,152.4,143.61,200.33,0.173,0.362,0.423,0.785,293,29.3,20,4.19,0,,0,,0,0,0,9,,0,0,,0,0,9,4,44.4,,,,,,1,0,4,0,0,0,0,0,,0,0,0,0,1,1,6,2,33.3,9,4,44.4,1.47,29.3,0.72,-0.07,0.146,41,26.7,8.9,64.4,73.3,0,0.4,9.1,11.1,974,984,1021,742,1006,1000
이민우,-0.23,1,1,0,0,0,0,0,1,0,0,4,7,7,7,24,10,1,0,0,3,2,0,1,0,0,0,15.75,15.75,15.75,14.68,7.03,3.25,2.25,6.75,0.33,0,4.2,12.5,-8.3,0.556,53.3,7.16,6.4,8.72,391.17,325.56,174.7,0.526,0.625,0.579,1.204,79,79,19.8,3.29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,4,79,12,-0.3,-0.23,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0,0,,,,,,0.556,18,44.4,0,50,50,5.6,0.9,0,0,974,984,1021,742,1006,1000
송후섭,-0.24,1,0,1,0,0,0,0,0,0,0,0.1,6,6,5.3,7,4,1,0,0,1,1,0,0,0,0,0,99.99,99.99,143.1,133.35,22.38,15,0,27,0,0,0,14.3,-14.3,0.8,0,23.04,7.11,139.62,4023.48,2957.92,555.94,0.8,0.857,1,1.857,32,32,96,4.57,0,,0,,0,0,0,0,,0,0,,0,0,1,1,100,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,1,100,0.33,32,0,-0.24,0.8,5,20,0,80,80,0,0.3,0,0,974,984,1021,742,1006,1000
박준표,-0.26,34,0,34,6,0,0,1,0,0,8,23.1,14,15,16.55,112,27,4,0,4,10,8,3,11,1,0,0,5.4,5.79,6.38,6.62,6.64,1.59,4.24,3.86,1.1,1.54,9.8,8.9,0.9,0.295,76.9,4.7,5.29,-1.24,134.12,146.94,164.87,0.297,0.405,0.473,0.878,375,11,16.1,3.35,0,,0,,0,0,0,13,,0,0,,0,0,13,6,46.2,,,,,,10,1,3,0,8,1,0,1,88.9,0,1,0,0,6,6,22,10,45.5,13,6,46.2,0.69,11.03,1.15,-0.26,0.295,78,45.8,6,45.8,51.8,2.4,0.9,9.3,7.4,974,984,1021,742,1006,1000
최지민,-0.28,6,0,6,3,0,0,0,0,0,0,6,9,9,8.65,36,12,2,0,1,5,1,0,7,0,0,1,13.5,13.5,12.98,13.32,5.95,2.83,10.5,7.5,1.4,1.5,19.4,13.9,5.6,0.5,52.9,4.07,4.73,7.55,335.29,295.54,147.8,0.4,0.5,0.567,1.067,142,23.7,23.7,3.94,0,,0,,0,0,0,0,,0,0,,0,0,2,1,50,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,,2,1,50,1,23.67,0.22,-0.28,0.5,22,47.8,4.3,43.5,47.8,4.3,1,9.1,8.3,974,984,1021,742,1006,1000
김현준,-0.3,12,0,12,7,0,0,0,1,0,0,14.2,9,14,15,72,19,7,0,0,5,2,2,9,3,0,0,5.52,8.59,9.2,9.5,3.31,1.64,5.52,3.07,1.8,0,12.5,6.9,5.6,0.346,46.2,3.43,4.73,2.22,137.16,210.76,82.13,0.297,0.366,0.406,0.772,256,21.3,17.5,3.56,0,,0,,0,0,0,5,,0,0,,0,0,1,0,0,,,,,,0,0,2,0,0,0,0,0,,0,0,0,0,0,1,1,1,100,1,0,0,1.22,21.33,0.22,-0.3,0.346,55,35.7,5.4,53.6,58.9,5.4,0.6,0,5.3,974,984,1021,742,1006,1000
김재열,-0.32,47,0,47,15,0,0,1,2,1,5,43,29,33,32.15,193,45,10,2,5,22,1,2,36,3,0,3,6.07,6.91,6.73,6.82,4.66,1.56,7.54,4.61,1.64,1.05,18.7,11.4,7.3,0.313,57.4,3.38,4.53,1.41,150.75,151.26,115.76,0.269,0.354,0.443,0.797,758,16.1,17.6,3.93,0,,0,,0,0,0,31,,0,0,,0,0,15,9,60,,,,,,8,0,11,1,5,1,0,1,85.7,0,3,0,0,6,10,33,8,24.2,15,9,60,0.91,16.13,0.65,-0.32,0.313,128,38.8,5.2,54.5,59.7,1.5,0.7,6.3,11.1,974,984,1021,742,1006,1000
남하준,-0.41,11,0,11,6,0,0,1,1,0,1,10.1,10,11,12,55,18,4,0,4,6,1,0,6,0,0,1,8.71,9.58,10.45,10.56,9.04,2.32,5.23,5.23,1,3.48,10.9,10.9,0,0.378,73.7,4.56,5.4,-0.33,216.32,234.35,224.5,0.383,0.463,0.723,1.186,228,20.7,22.1,4.15,0,,0,,0,0,0,6,,0,0,,0,0,2,0,0,,,,,,2,0,1,0,1,0,0,0,100,0,0,0,0,1,3,6,2,33.3,2,0,0,0.94,20.73,0.55,-0.41,0.378,37,33.3,2.4,57.1,59.5,7.1,0.6,16,0,974,984,1021,742,1006,1000
김정빈,-0.43,31,0,31,7,0,0,3,0,0,2,27,21,21,22.4,128,23,5,2,2,24,4,0,23,0,0,3,7,7,7.47,7.61,5.75,1.74,7.67,8,0.96,0.67,18,18.8,-0.8,0.296,62.5,4.93,5.49,1.25,173.85,168.89,142.83,0.245,0.411,0.404,0.815,532,17.2,19.7,4.16,0,,0,,0,0,0,16,,0,0,,0,0,18,7,38.9,,,,,,9,2,6,0,2,1,2,3,40,0,0,1,1,3,5,23,11,47.8,18,7,38.9,0.87,17.16,0.7,-0.43,0.296,71,59.7,5.2,32.5,37.7,2.6,1.6,6.9,4.3,974,984,1021,742,1006,1000
유승철,-0.94,21,0,21,6,0,0,3,0,0,0,19,16,20,22.9,93,21,5,0,5,16,0,1,14,1,0,8,7.58,9.47,10.85,10.44,7.52,1.95,6.63,7.58,0.88,2.37,15.1,17.2,-2.2,0.281,56.7,4.49,5.66,0.06,188.23,231.67,186.79,0.28,0.402,0.547,0.949,384,18.3,20.2,4.13,0,,0,,0,0,0,12,,0,0,,0,0,11,3,27.3,,,,,,1,0,5,0,0,0,0,0,,0,0,0,0,5,3,19,9,47.4,11,3,27.3,0.9,18.29,0.89,-0.94,0.281,57,41.3,4.8,52.4,57.1,1.6,0.7,13.9,4.8,974,984,1021,742,1006,1000
