Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
김진성,2.7,48,10.65,1.9,5.6,0.76,29.5,5.3,24.2,0.311,77.8,2.66,3.04,3.43,3.42,2.7,1.81,2.49,-0.04,53.48,62.62,54.2,0.232,0.27,0.367,0.637,727,15.1,15.4,3.83
구창모,2.75,15,9.84,1.74,5.67,0.68,29.3,5.2,24.1,0.233,84.8,1.74,1.93,1.93,1.85,2.75,1.93,2.5,-1.02,34.87,33.86,55.31,0.177,0.22,0.278,0.498,1378,91.9,14.8,3.96
루친스키,3.78,30,8.21,2.8,2.93,0.69,21.7,7.4,14.3,0.311,78.7,3.05,3.3,3.11,3.03,3.78,2.96,3.69,-0.73,61.26,55.46,75.86,0.25,0.317,0.337,0.654,3001,100,16.4,3.9
안인산,4,1,0,0,,0,0,0,0,0,,0,0,0,0,4,4.06,5.4,-4,0,0,80.26,0,0,0,0,9,9,9,3
임형원,4,1,,,,,0,0,0,1,0,99.99,99.99,13.33,12.72,4,4,5.4,95.99,2008.8,233.27,80.26,1,1,1,2,7,7,,7
원종현,4.17,58,6.47,3.16,2.05,0.63,16.7,8.2,8.6,0.301,66.7,4.26,4.74,5.38,5.17,4.17,3.42,4.37,0.09,85.65,94.82,83.86,0.259,0.325,0.347,0.672,867,14.9,15.2,3.54
임창민,4.31,44,10.51,5.5,1.91,0.96,24.6,12.8,11.7,0.34,65.5,5.26,6.21,6.79,6.54,4.31,3.17,3.99,0.94,105.61,119.84,86.66,0.262,0.364,0.423,0.787,692,15.7,18.4,3.87
라이트,4.35,29,7.14,3.6,1.98,0.69,18,9.1,8.9,0.316,68.2,4.68,4.97,4.68,4.6,4.35,3.56,4.33,0.33,94.04,84.35,87.47,0.266,0.343,0.374,0.717,2789,96.2,17.7,4.01
홍성민,4.4,30,4.85,2.08,2.33,0.69,13.5,5.8,7.7,0.228,96,1.04,1.38,2.22,2.17,4.4,3.55,4.48,-3.36,20.86,39.83,88.38,0.211,0.272,0.316,0.588,401,13.4,15.4,3.86
박진우,4.57,43,4.61,2.72,1.69,0.42,11.3,6.7,4.6,0.306,58.7,5.23,6.07,6.54,6.27,4.57,4.13,4.84,0.67,105.12,114.93,91.76,0.281,0.347,0.359,0.706,741,17.2,17.2,3.82
임정호,4.59,69,8.34,4.39,1.9,0.66,21.7,11.4,10.3,0.276,65.5,4.61,5.05,3.68,3.61,4.59,3.79,4.17,0.02,92.61,66.24,92.22,0.221,0.341,0.303,0.644,732,10.6,17.9,4.18
김태경,4.6,1,9,9,1,0,20,20,0,0,100,0,0,0,0,4.6,4.72,5.4,-4.6,0,0,92.32,0,0.2,0,0.2,19,19,19,3.8
김영규,4.81,20,7.32,1.86,3.93,1.6,18.6,4.7,13.9,0.335,63.4,5.45,6.25,6.48,6.52,4.81,2.81,3.74,0.65,109.56,119.49,96.56,0.302,0.336,0.48,0.816,1177,58.9,17.4,3.98
송명기,4.99,36,7.39,4,1.85,1.23,19.4,10.5,8.9,0.275,80.4,3.7,3.8,4.14,3.94,4.99,3.47,4.34,-1.29,74.25,72.3,100.15,0.242,0.326,0.394,0.72,1514,42.1,17.3,4.07
김건태,5.1,33,9.51,6.43,1.48,1.03,23.9,16.1,7.7,0.294,74,4.89,4.89,4.23,3.91,5.1,3.85,4.47,-0.22,98.15,71.63,102.53,0.232,0.366,0.376,0.742,674,20.4,19.3,4.35
강동연,5.26,22,6.38,4.13,1.55,1.13,16,10.4,5.7,0.329,62.9,6,6.38,7.01,6.7,5.26,3.91,4.72,0.74,120.54,122.9,105.71,0.293,0.371,0.457,0.828,410,18.6,17.1,3.87
손정욱,5.5,16,3.75,3.75,1,0.75,8.6,8.6,0,0.341,66.7,5.25,6,6.11,5.72,5.5,4.64,5.4,-0.25,105.47,104.96,110.4,0.32,0.393,0.42,0.813,240,15,20,4.14
문경찬,5.51,31,5.79,2.89,2,1.61,15.5,7.8,7.8,0.202,45.8,4.82,6.43,5.37,5.46,5.51,3.53,4.47,-0.69,96.86,100.03,110.68,0.208,0.267,0.396,0.663,495,16,17.7,4.27
강윤구,5.53,30,6.43,4.71,1.36,1.29,14.6,10.7,3.9,0.378,68.4,6.86,6.86,6.34,6.41,5.53,3.96,4.93,1.32,137.76,117.54,111.16,0.337,0.408,0.511,0.919,379,12.6,18,3.68
이재학,5.79,19,6.06,4.27,1.42,1.39,14.9,10.5,4.4,0.318,65.4,6.55,6.55,6.24,6.04,5.79,4.07,4.87,0.76,131.62,110.66,116.36,0.295,0.374,0.478,0.852,1578,83.1,17.4,3.85
박정수,6.07,15,8.42,7.01,1.2,1.05,20.7,17.2,3.4,0.27,75.6,4.91,4.91,5.21,5.22,6.07,4.75,4.99,-1.16,98.62,95.67,121.9,0.225,0.391,0.36,0.751,481,32.1,18.7,4.15
배재환,6.28,53,6.91,7.33,0.94,0.84,15.8,16.7,-1,0.272,78.9,3.98,4.6,5.98,5.75,6.28,5.29,5.51,-2.31,79.89,105.34,126.24,0.236,0.398,0.379,0.777,817,15.4,19,3.91
장현식,6.44,9,3.72,5.59,0.67,0.93,8.3,12.5,-4.2,0.306,44.4,9.31,10.24,11.36,10.85,6.44,5.34,5.9,2.87,187.05,198.88,129.31,0.308,0.396,0.462,0.858,194,21.6,20.1,4.04
신민혁,6.46,17,5.57,2.79,2,2.14,13.3,6.6,6.6,0.326,78,5.79,5.79,5.71,5.33,6.46,3.77,4.6,-0.68,116.24,97.7,129.82,0.317,0.372,0.522,0.894,715,42.1,17,3.65
류진욱,6.5,3,9,3,3,3,21.4,7.1,14.3,0.333,75,6,6,6,5.48,6.5,2.63,3.69,-0.5,120.54,100.39,130.49,0.333,0.357,0.667,1.024,55,18.3,18.3,3.93
소이현,7.11,13,5.84,10.22,0.57,0.73,13.6,23.7,-10.2,0.2,63.6,6.57,6.57,5.69,5.55,7.11,6.23,6.62,-0.54,131.94,101.72,142.81,0.182,0.39,0.295,0.685,249,19.2,20.2,4.22
이호중,7.16,4,6.23,4.15,1.5,2.08,13,8.7,4.3,0.375,77.8,6.23,6.23,6.23,5.76,7.16,4.54,4.88,-0.93,125.18,105.65,143.78,0.35,0.435,0.5,0.935,93,23.3,21.5,4.04
홍성무,7.27,11,7.2,7.8,0.92,1.8,14.6,15.9,-1.2,0.346,41.9,12.6,13.2,12.69,12.16,7.27,4.97,5.55,5.33,253.13,222.99,146.02,0.313,0.432,0.493,0.925,314,28.5,20.9,3.83
