Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD_1,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP_2,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
최세창,0.04,3,0,3,2,0,0,0,0,0,0,3,1,2,2,15,5,0,0,1,0,0,0,1,1,0,0,3,6,6,5.56,7.13,1.67,3,0,,3,6.7,0,6.7,0.308,75,3.37,4.6,-4.13,67.17,113.64,159.62,0.333,0.333,0.533,0.866,47,15.7,15.7,3.13,0,,0,,0,0,0,2,,0,0,,0,0,2,0,0,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,0,0,1,15.67,0.08,0.04,0.308,13,28.6,0,71.4,71.4,0,0.4,10,0,,,,,,
배창현,0.01,1,0,1,0,0,0,0,0,0,0,0.1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,22.6,6,0,54,0,0,0,66.7,-66.7,0,100,22.79,13.4,-22.6,0,0,505.94,0,0.667,0,0.667,13,13,39,4.33,0,,0,,0,0,0,0,,0,0,,0,0,2,0,0,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,0,0,0.33,13,0,0.01,0,1,0,0,100,100,0,0,0,,,,,,,
이주엽,0.01,4,0,4,2,0,0,0,0,0,0,3.1,3,3,3,19,3,1,0,0,7,0,0,2,0,0,1,8.1,8.1,8.1,7.28,9.01,3,5.4,18.9,0.29,0,10.5,36.8,-26.3,0.3,70,9.1,8.56,-0.91,181.37,148.78,201.64,0.273,0.526,0.364,0.89,80,20,24,4.21,0,,0,,0,0,0,0,,0,0,,0,0,4,0,0,,,,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,4,0,0,0.83,20,0.11,0.01,0.3,10,50,20,30,50,0,1,0,0,,,,,,
이동원,-0.01,1,0,1,0,0,0,0,0,0,0,0,2,2,0.95,2,0,0,0,0,2,0,0,0,0,0,0,99.99,99.99,30.88,35.01,6204,99.99,,,0,,0,100,-100,,0,6204,17.4,-6104.01,2238.92,715.33,138917,,1,,,9,9,,4.5,0,,0,,0,0,0,0,,0,0,,0,0,2,2,100,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,2,2,100,0,9,0.17,-0.01,,0,,,,,,,,,,,,,,
조제영,-0.05,4,1,3,3,0,0,0,1,0,0,6,7,7,5.45,31,6,1,0,1,7,1,0,6,0,0,1,10.5,10.5,8.18,7.58,7.61,2.17,9,10.5,0.86,1.5,19.4,22.6,-3.2,0.313,53.8,5.75,5.79,2.89,235.11,154.99,170.44,0.261,0.452,0.435,0.887,136,34,22.7,4.39,0,0,0,0,0,0,0,4,12,0,1,0,0,0,3,3,100,3,77,28,-0.18,-0.13,1,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,3,3,100,1,19.67,0.02,0.08,0.313,16,35.3,0,64.7,64.7,0,0.5,9.1,16.7,,,,,,
권혁,-0.1,15,0,15,1,0,0,2,2,0,2,7.2,8,9,6.45,38,11,1,1,0,4,0,0,7,2,0,1,9.39,10.57,7.57,8.01,3.33,1.96,8.22,4.7,1.75,0,18.4,10.5,7.9,0.407,40,3.42,4.45,6.06,210.29,163.67,74.56,0.324,0.395,0.412,0.807,153,10.2,20,4.03,0,,0,,0,0,0,7,,0,0,,0,0,15,9,60,,,,,,3,0,0,0,2,0,0,0,100,0,1,0,0,2,4,9,3,33.3,15,9,60,0.51,10.2,0.84,-0.1,0.407,27,55.6,0,40.7,40.7,3.7,1.4,0,18.2,,,,,,
이교훈,-0.11,5,0,5,1,0,0,0,0,0,0,4.1,5,6,5.3,24,6,2,0,1,4,0,0,3,1,0,1,10.38,12.46,11.01,11.58,7.87,2.31,6.23,8.31,0.75,2.08,12.5,16.7,-4.2,0.313,44.4,5.3,5.9,2.51,232.53,236.65,176.27,0.316,0.417,0.579,0.996,88,17.6,20.3,3.67,0,,0,,0,0,0,2,,0,0,,0,0,3,3,100,,,,,,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,5,2,40,3,3,100,0.87,17.6,0.19,-0.11,0.313,16,29.4,5.9,64.7,70.6,0,0.4,8.3,16.7,,,,,,
이용찬,-0.17,5,5,0,0,0,0,1,3,0,0,26.2,25,25,24.15,125,41,8,0,7,6,0,0,15,0,0,1,8.44,8.44,8.15,8.36,6.41,1.76,5.06,2.03,2.5,2.36,12,4.8,7.2,0.362,59.5,3.4,4.54,2.03,188.93,170.79,143.53,0.353,0.385,0.603,0.988,467,93.4,17.5,3.74,1,20,0,0,0,0,0,19,6.4,2,3,40,0,0,3,2,66.7,5.33,93.4,33.8,-0.64,-0.17,0,0,0,0,0,0,0,0,,0,0,0,0,0,4,0,0,,3,2,66.7,,,,,0.362,94,51.9,3.8,41.3,45.2,2.9,1.1,14.9,2.4,,,,,,
박신지,-0.18,2,0,2,2,0,0,0,0,0,0,3,6,6,6,18,9,3,1,0,1,0,0,3,0,0,1,18,18,18,19.29,2.53,3.33,9,3,3,0,16.7,5.6,11.1,0.643,40,2.68,4.07,15.47,403.05,394.26,56.62,0.529,0.556,0.824,1.38,67,33.5,22.3,3.72,0,,0,,0,0,0,3,,0,0,,0,0,0,0,,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1.5,33.5,0.02,-0.18,0.643,14,35.7,0,50,50,14.3,0.7,0,0,,,,,,
장원준,-0.21,2,2,0,0,0,0,0,1,0,0,5.2,8,8,8,30,9,2,0,1,6,0,0,2,0,0,0,12.71,12.71,12.71,12.67,8.5,2.65,3.18,9.53,0.33,1.59,6.7,20,-13.3,0.381,50,6.51,7,4.21,284.5,258.97,190.22,0.375,0.5,0.583,1.083,126,63,22.2,4.2,0,0,0,0,0,0,0,1,1.6,0,2,0,0,0,0,0,,2.83,63,31.5,-0.31,-0.21,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,,0,0,,,,,,0.381,21,54.5,0,45.5,45.5,0,1.2,10,0,,,,,,
문대원,-0.27,4,0,4,2,0,0,0,0,0,0,5.2,6,9,9.85,30,12,3,0,2,2,0,0,0,1,0,0,9.53,14.29,15.64,14.94,9.29,2.47,0,3.18,0,3.18,0,6.7,-6.7,0.385,45.5,5.24,6.2,0.24,213.38,305.36,208,0.444,0.467,0.778,1.245,112,28,19.8,3.73,0,,0,,0,0,0,0,,0,0,,0,0,0,0,,,,,,,0,0,2,0,0,0,0,0,,0,0,0,0,0,1,2,2,100,0,0,,1.42,28,0.23,-0.27,0.385,26,50,10.7,35.7,46.4,3.6,1.1,15.4,0,,,,,,
김강률,-0.58,30,0,30,10,0,0,2,2,0,0,28,11,22,25.75,141,36,6,2,1,20,4,0,28,2,0,0,3.54,7.07,8.28,9.23,4.58,2,9,6.43,1.4,0.32,19.9,14.2,5.7,0.398,64.4,4.25,4.72,-1.04,79.17,188.53,102.49,0.31,0.426,0.422,0.848,552,18.4,19.7,3.91,0,,0,,0,0,0,23,,0,0,,0,0,17,2,11.8,,,,,,5,1,5,0,0,0,1,1,0,0,0,0,1,2,4,18,9,50,17,2,11.8,0.93,18.4,0.67,-0.58,0.398,88,49.4,6.7,42.7,49.4,1.1,1,2.3,2.8,,,,,,
이형범,-0.82,27,0,27,8,0,0,1,2,1,1,25.2,22,22,24.25,122,30,6,0,5,16,2,2,13,1,0,1,7.71,7.71,8.5,9.2,7.1,1.79,4.56,5.61,0.81,1.75,10.7,13.1,-2.5,0.294,63.4,4.9,5.7,0.61,172.73,188.03,158.99,0.291,0.397,0.495,0.892,444,16.4,17.3,3.64,0,,0,,0,0,0,21,,0,0,,0,0,11,5,45.5,,,,,,4,0,7,1,1,2,0,2,50,0,0,1,0,1,6,20,9,45,11,5,45.5,0.95,16.44,1.23,-0.82,0.294,85,41.8,8.8,41.8,50.5,7.7,0.8,10.9,0,,,,,,
