Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
박신지,2.53,2,9,3,3,0,16.7,5.6,11.1,0.643,40,18,18,18,19.29,2.53,2.68,4.07,15.47,403.05,394.26,56.62,0.529,0.556,0.824,1.38,67,33.5,22.3,3.72
플렉센,2.58,21,10.18,2.31,4.4,0.46,28,6.4,21.6,0.307,71.1,3.01,3.32,3.32,3.73,2.58,2.05,2.81,0.43,67.37,76.14,57.67,0.226,0.277,0.3,0.577,1953,93,16.7,4.14
알칸타라,3.03,31,8.25,1.36,6.07,0.54,22.9,3.8,19.1,0.289,79.1,2.54,2.63,2.6,2.84,3.03,2.41,3.11,-0.5,56.81,57.95,67.9,0.232,0.269,0.339,0.608,3144,101.4,15.8,3.95
함덕주,3.06,36,8.95,3.42,2.62,0.33,22.9,8.8,14.2,0.327,69.9,3.9,4.07,4.68,4.97,3.06,2.74,3.7,0.84,87.41,101.5,68.54,0.255,0.317,0.315,0.632,972,27,17.6,4.05
권혁,3.33,15,8.22,4.7,1.75,0,18.4,10.5,7.9,0.407,40,9.39,10.57,7.57,8.01,3.33,3.42,4.45,6.06,210.29,163.67,74.56,0.324,0.395,0.412,0.807,153,10.2,20,4.03
이승진,3.51,33,9.47,3.86,2.45,0.53,23.7,9.6,14,0.359,61.3,5.61,5.79,6.03,6.24,3.51,2.92,3.72,2.1,125.63,127.53,78.6,0.275,0.35,0.4,0.75,989,30,19.3,4.34
김민규,3.53,29,9.11,3.71,2.45,0.51,23.4,9.5,13.9,0.299,61.8,4.89,5.06,4.78,5.01,3.53,2.98,3.74,1.37,109.58,102.45,79,0.23,0.314,0.343,0.657,998,34.4,18.7,4.32
이현승,3.76,62,8.93,4.47,2,0.43,21.5,10.8,10.8,0.368,64.7,5.31,5.74,5.22,5.53,3.76,3.3,4.11,1.55,119.01,113.06,84.22,0.286,0.37,0.399,0.769,783,12.6,18.5,4.02
박치국,4.04,63,8.29,4.27,1.94,0.63,20.8,10.7,10.1,0.294,72.2,2.89,4.27,3.91,4.25,4.04,3.28,4.19,-1.15,64.67,86.85,90.39,0.238,0.331,0.352,0.683,1230,19.5,17.2,3.88
홍건희,4.16,50,8.1,3.18,2.55,0.79,20.3,8,12.4,0.345,70.4,4.76,4.92,5.55,6.06,4.16,3.22,3.92,0.6,106.69,123.85,93.21,0.283,0.353,0.413,0.766,1023,20.5,18.1,4.08
김강률,4.58,30,9,6.43,1.4,0.32,19.9,14.2,5.7,0.398,64.4,3.54,7.07,8.28,9.23,4.58,4.25,4.72,-1.04,79.17,188.53,102.49,0.31,0.426,0.422,0.848,552,18.4,19.7,3.91
최원준,4.59,42,6.88,2.56,2.69,1.1,17.7,6.6,11.1,0.314,80,3.8,3.8,3.99,4.1,4.59,3.27,4.07,-0.79,85.2,83.87,102.87,0.277,0.332,0.43,0.762,2148,51.1,17.5,4.04
이영하,4.82,42,5.8,4.5,1.29,0.61,14,10.9,3.1,0.321,68.4,4.64,5.32,5.32,5.45,4.82,4.12,5.02,-0.18,103.82,111.34,107.86,0.284,0.366,0.39,0.756,2235,53.2,16.9,3.69
권휘,4.85,14,6.59,3.95,1.67,0.66,15.9,9.5,6.3,0.341,69.6,5.27,5.27,4.84,5.1,4.85,4.07,4.64,0.42,117.97,104.2,108.63,0.291,0.381,0.382,0.763,215,15.4,15.7,3.41
윤명준,5,42,4.39,2.85,1.54,0.88,10.8,7,3.8,0.329,69.5,4.83,5.27,5.13,5.23,5,3.95,4.95,-0.17,108.13,106.93,111.85,0.315,0.359,0.438,0.797,651,15.5,15.9,3.52
박종기,5.11,8,6.92,4.85,1.43,1.04,17.1,12,5.1,0.338,70,5.54,5.54,5.12,5.81,5.11,3.85,4.78,0.42,124.01,118.8,114.52,0.294,0.376,0.441,0.817,477,59.6,18.3,4.08
유희관,5.15,27,3.7,2.58,1.44,0.92,9,6.3,2.7,0.351,66.5,5.02,6.01,5.75,6.05,5.15,4.06,5.07,-0.13,112.34,123.7,115.21,0.335,0.378,0.491,0.869,2373,87.9,17.4,3.82
채지선,5.23,37,9.27,6.55,1.42,0.82,21.5,15.2,6.3,0.341,76.3,4.91,4.91,5.55,6.36,5.23,4.24,4.64,-0.32,109.92,129.9,117.01,0.266,0.401,0.375,0.776,654,17.7,19.8,4.14
김명신,5.95,16,6.46,2.35,2.75,1.76,15.3,5.6,9.7,0.347,91.3,3.52,3.52,3.52,3.96,5.95,3.73,4.23,-2.42,78.86,80.97,133.12,0.317,0.386,0.524,0.91,269,16.8,17.5,3.74
이용찬,6.41,5,5.06,2.03,2.5,2.36,12,4.8,7.2,0.362,59.5,8.44,8.44,8.15,8.36,6.41,3.4,4.54,2.03,188.93,170.79,143.53,0.353,0.385,0.603,0.988,467,93.4,17.5,3.74
이형범,7.1,27,4.56,5.61,0.81,1.75,10.7,13.1,-2.5,0.294,63.4,7.71,7.71,8.5,9.2,7.1,4.9,5.7,0.61,172.73,188.03,158.99,0.291,0.397,0.495,0.892,444,16.4,17.3,3.64
최세창,7.13,3,3,0,,3,6.7,0,6.7,0.308,75,3,6,6,5.56,7.13,3.37,4.6,-4.13,67.17,113.64,159.62,0.333,0.333,0.533,0.866,47,15.7,15.7,3.13
조제영,7.61,4,9,10.5,0.86,1.5,19.4,22.6,-3.2,0.313,53.8,10.5,10.5,8.18,7.58,7.61,5.75,5.79,2.89,235.11,154.99,170.44,0.261,0.452,0.435,0.887,136,34,22.7,4.39
이교훈,7.87,5,6.23,8.31,0.75,2.08,12.5,16.7,-4.2,0.313,44.4,10.38,12.46,11.01,11.58,7.87,5.3,5.9,2.51,232.53,236.65,176.27,0.316,0.417,0.579,0.996,88,17.6,20.3,3.67
장원준,8.5,2,3.18,9.53,0.33,1.59,6.7,20,-13.3,0.381,50,12.71,12.71,12.71,12.67,8.5,6.51,7,4.21,284.5,258.97,190.22,0.375,0.5,0.583,1.083,126,63,22.2,4.2
