Name,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
최원준,0.306,529,32,7.4,58.3,65.6,2.3,0.5,5.8,6.6
스탁,0.319,479,56.4,4.1,36.3,40.3,3.3,1.4,4.5,15.4
곽빈,0.313,416,37.6,8.5,51.6,60.1,2.3,0.6,5,6.3
이영하,0.342,304,47.5,5.4,43.7,49.1,3.5,1,3.2,4.6
최승용,0.318,302,44.3,5.1,49.4,54.5,1.3,0.8,4.7,12.5
김명신,0.297,236,46.7,4.9,46.7,51.6,1.6,0.9,4,5.3
박신지,0.355,217,45.2,5.2,47.4,52.6,2.2,0.9,5.8,14.3
정철원,0.267,210,53.9,5.5,37.4,42.9,3.2,1.3,4.3,10
브랜든,0.251,203,54,7.1,37.4,44.5,1.4,1.2,5.3,8.9
홍건희,0.31,171,52.7,6.6,38.5,45.1,2.2,1.2,6.1,6.9
이형범,0.303,109,50,3.6,44.5,48.2,1.8,1,1.9,5.9
이승진,0.323,93,38.8,3.1,55.1,58.2,3.1,0.7,8.8,8.6
임창민,0.264,87,48.9,3.3,44.4,47.8,3.3,1,7,7.7
김강률,0.317,82,41.2,3.5,51.8,55.3,3.5,0.7,4.3,10.7
윤명준,0.338,74,45.9,3.5,47.1,50.6,3.5,0.9,18.6,0
장원준,0.371,62,54,4.8,36.5,41.3,4.8,1.3,0,13
김지용,0.241,58,33.3,9.5,57.1,66.7,0,0.5,11.9,0
김동주,0.31,58,50.8,7.9,38.1,46,3.2,1.1,17.2,4.3
박정수,0.296,54,45.5,5.5,45.5,50.9,3.6,0.9,3.6,23.5
전창민,0.385,39,48.8,9.8,39,48.8,2.4,1,10,5.9
권휘,0.25,28,51.7,6.9,37.9,44.8,3.4,1.2,7.7,25
이현승,0.407,27,41.4,10.3,48.3,58.6,0,0.7,11.8,7.7
박치국,0.231,26,55.6,7.4,37,44.4,0,1.3,0,16.7
박웅,0.304,23,39.1,8.7,47.8,56.5,4.3,0.7,0,14.3
미란다,0.133,15,31.3,6.3,62.5,68.8,0,0.5,0,0
이병헌,0.333,15,40,0,60,60,0,0.7,0,0
최지강,0.857,7,28.6,14.3,57.1,71.4,0,0.4,0,0
